iteration,outcome,count,share
4,child_free,58,0.02602063705697622
4,day_ticket_cap_applied,211,0.09466128308658592
4,external_local_flat,14,0.006280843427545985
4,external_national_flat,11,0.00493494840735756
4,external_rail_nt,31,0.013907581875280395
4,long_distance_flat,1,4.4863167339614175E-4
4,no_pt_leg,921,0.41318977119784656
4,vrb_flat_national,134,0.060116644235083
4,vrb_flat_regional,53,0.023777478689995513
4,vrb_short_trip,119,0.05338716913414087
4,vrb_single_adult,820,0.36787797218483625
4,vrb_single_child,67,0.0300583221175415
