iteration,outcome,count,share
7,child_free,98,0.04376953997320232
7,day_ticket_cap_applied,644,0.2876284055381867
7,external_local_flat,12,0.005359535506922733
7,external_national_flat,6,0.0026797677534613666
7,external_rail_nt,21,0.009379187137114784
7,long_distance_flat,2,8.932559178204555E-4
7,no_pt_leg,950,0.4242965609647164
7,vrb_flat_national,112,0.05002233139794551
7,vrb_flat_regional,72,0.0321572130415364
7,vrb_short_trip,145,0.06476105404198303
7,vrb_single_adult,772,0.34479678427869587
7,vrb_single_child,49,0.02188476998660116
