iteration,outcome,count,share
18,child_free,72,0.03532875368007851
18,day_ticket_cap_applied,620,0.3042198233562316
18,external_local_flat,2,9.813542688910696E-4
18,external_national_flat,3,0.0014720314033366045
18,external_rail_nt,25,0.01226692836113837
18,long_distance_flat,3,0.0014720314033366045
18,no_pt_leg,810,0.3974484789008832
18,vrb_flat_national,105,0.051521099116781155
18,vrb_flat_regional,39,0.019136408243375858
18,vrb_short_trip,140,0.06869479882237488
18,vrb_single_adult,787,0.3861629048086359
18,vrb_single_child,52,0.02551521099116781
