iteration,outcome,count,share
14,child_free,67,0.024497257769652652
14,day_ticket_cap_applied,649,0.23729433272394881
14,external_local_flat,9,0.0032906764168190127
14,external_rail_nt,20,0.007312614259597806
14,long_distance_flat,2,7.312614259597807E-4
14,no_pt_leg,1139,0.41645338208409505
14,vrb_flat_national,273,0.09981718464351005
14,vrb_flat_regional,151,0.05521023765996344
14,vrb_short_trip,128,0.04680073126142596
14,vrb_single_adult,889,0.3250457038391225
14,vrb_single_child,57,0.020840950639853747
