iteration,outcome,count,share
17,child_free,83,0.030866493120119003
17,day_ticket_cap_applied,538,0.20007437709185572
17,external_local_flat,16,0.005950167348456675
17,external_national_flat,1,3.718854592785422E-4
17,external_rail_nt,35,0.013015991074748977
17,long_distance_flat,1,3.718854592785422E-4
17,no_pt_leg,1120,0.41651171439196727
17,vrb_flat_national,149,0.055410933432502786
17,vrb_flat_regional,110,0.040907400520639646
17,vrb_short_trip,158,0.05875790256600967
17,vrb_single_adult,902,0.33544068426924506
17,vrb_single_child,114,0.04239494235775381
