iteration,outcome,count,share
9,child_free,45,0.018757815756565235
9,day_ticket_cap_applied,406,0.169237182159233
9,external_local_flat,12,0.005002084201750729
9,external_national_flat,3,0.0012505210504376823
9,external_rail_nt,35,0.014589412255106295
9,long_distance_flat,2,8.336807002917883E-4
9,no_pt_leg,1054,0.4393497290537724
9,vrb_flat_national,118,0.049187161317215504
9,vrb_flat_regional,35,0.014589412255106295
9,vrb_short_trip,159,0.06627761567319716
9,vrb_single_adult,862,0.35931638182576076
9,vrb_single_child,74,0.030846185910796166
