iteration,outcome,count,share
3,child_free,78,0.02741652021089631
3,day_ticket_cap_applied,316,0.11107205623901582
3,external_local_flat,9,0.003163444639718805
3,external_national_flat,4,0.00140597539543058
3,external_rail_nt,23,0.008084358523725835
3,long_distance_flat,3,0.001054481546572935
3,no_pt_leg,1234,0.4337434094903339
3,vrb_flat_national,170,0.05975395430579965
3,vrb_flat_regional,54,0.01898066783831283
3,vrb_short_trip,187,0.06572934973637962
3,vrb_single_adult,998,0.3507908611599297
3,vrb_single_child,85,0.029876977152899824
