iteration,outcome,count,share
20,child_free,48,0.024716786817713696
20,day_ticket_cap_applied,216,0.11122554067971163
20,external_local_flat,14,0.007209062821833162
20,external_national_flat,7,0.003604531410916581
20,external_rail_nt,14,0.007209062821833162
20,long_distance_flat,1,5.149330587023687E-4
20,no_pt_leg,776,0.3995880535530381
20,vrb_flat_national,125,0.06436663233779609
20,vrb_flat_regional,58,0.029866117404737384
20,vrb_short_trip,136,0.07003089598352215
20,vrb_single_adult,695,0.35787847579814624
20,vrb_single_child,68,0.035015447991761074
