# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md), generated by
#   scripts/extract_srv_primary_distance_targets.py on 2026-09-03.
# Table: srv2023_commute_distance_quantiles_by_kreis.csv
# Universe: persons with a home<->own-workplace trip (V_ZWECK 1)
# Observation unit: PERSON -- first home->purpose trip (V_START_LAGE == 1), else first
#   purpose->home trip (V_ZIEL_LAGE == 1); business trips (V_ZWECK 2) and 'andere
#   Bildungseinrichtung' (V_ZWECK 7) excluded. Reporting days are Tue-Thu only.
# Distance: GIS_LAENGE (routed km) where GIS_LAENGE_GUELTIG > 0; GIS-invalid trips fall
#   back to the other direction (R5); a negative weight or an over-cap distance on the
#   SELECTED trip excludes the person (R6, no fallback -- see the module docstring).
# Weight: GEWICHT_W_ZENSUS >= 0 (expansion to Zensus 2022; the stratum-internal
#   GEWICHT_W must not be used across strata; GEWICHT_W_WERKTAG is undefined here).
# Kreis: first 5 digits of the household AGS. Wolfsburg (03103) is NOT surveyed: its row
#   is the RegioStaR-7 type-72 pool (Braunschweig + Salzgitter), source = proxy_rs7_72
#   -- an ASSUMPTION recorded in the reference ADR. Per R11, the Wolfsburg proxy row
#   carries the RS7-72 pool's RAW shares/quantiles in BOTH the raw and the shrunk
#   columns (a pool is not shrunk further).
# Shrinkage: share_*_shrunk = n/(n+k) * Kreis + k/(n+k) * pool, pool = dominant RS7 type
#   (itself shrunk toward ZGB), k = 100 persons.
# Coverage caveat: stratified PSU design over ~44 selected municipalities; per-Kreis rows
#   represent the covered municipalities (ASSUMPTION-grade for the full Kreis).
# Noise floor: emd_noise_95_* is the 95th percentile of the bootstrap EMD, normalised to
#   [0, 1] exactly like braunschweig.calibration.metrics.emd_on_bands (same formula,
#   re-implemented locally to avoid a pipeline import).
# distance_km_euclid_* = GIS routed km / 1.3 (euclidean-equivalent, the unit of
# synthesis.population.spatial.commute_distance targets). Percentiles 1..99, long format.
# Shrinkage is quantile-wise toward the dominant RS7 pool (monotone).
# Exclusions: n_candidate_trips=9730, n_pool_weight_negative=0, n_pool_over_cap=8, n_excluded_gis_invalid=1643, n_excluded_weight_negative=0, n_excluded_over_cap=0, n_excluded_no_kreis=0, n_missing_age=0, n_missing_regiostar7=0, n_missing_trip_ags=1, share_start_ags_equals_household_ags=1.0, n_persons_selected=4543
level_geo,code,source,n_persons,percentile,distance_km_euclid_raw,distance_km_euclid_shrunk
kreis,03101,srv,1272,62,7.146747424398547,7.283357987651337
kreis,03101,srv,1272,63,7.322703740604054,7.477496745476053
kreis,03101,srv,1272,64,7.461909344756683,7.627724172604347
kreis,03101,srv,1272,65,7.614032365987371,7.796990076319146
kreis,03101,srv,1272,66,7.971932443264735,8.16875735491942
kreis,03101,srv,1272,67,8.439327590395735,8.62278658745029
kreis,03101,srv,1272,68,8.75436662268856,8.938945508594683
kreis,03101,srv,1272,69,9.246918042086339,9.423294637158623
kreis,03101,srv,1272,70,9.500580663029401,9.689501752042112
kreis,03101,srv,1272,71,9.946357813043372,10.149962897117783
kreis,03101,srv,1272,72,10.509247515044088,10.711211101208754
kreis,03101,srv,1272,73,10.789517478997892,11.003955983900866
kreis,03101,srv,1272,74,11.08109569530379,11.302193658557055
kreis,03101,srv,1272,75,11.640140583561907,11.868516680421125
kreis,03101,srv,1272,76,12.204650907773004,12.469113911869387
kreis,03101,srv,1272,77,13.456684061303351,13.702310190241441
kreis,03101,srv,1272,78,13.875517689498942,14.120946852812567
kreis,03101,srv,1272,79,14.644584729781288,14.874721373453253
kreis,03101,srv,1272,80,16.253983553161806,16.41115649808839
kreis,03101,srv,1272,81,17.022307007587685,17.186356367825976
kreis,03101,srv,1272,82,17.934477414365727,18.112457151473293
kreis,03101,srv,1272,83,19.335936717236777,19.466483176401535
kreis,03101,srv,1272,84,20.710527755669695,20.773357083733238
kreis,03101,srv,1272,85,21.272881280663707,21.406335358478184
kreis,03101,srv,1272,86,22.818181032096934,22.9039403189889
kreis,03101,srv,1272,87,23.798421718690744,23.884342213258755
kreis,03101,srv,1272,88,24.375167566003103,24.458333592726728
kreis,03101,srv,1272,89,25.101638036945122,25.184427960846385
kreis,03101,srv,1272,90,25.62197342423517,25.72555376463158
kreis,03101,srv,1272,91,26.203656826605076,26.331608779958945
kreis,03101,srv,1272,92,27.309441879643686,27.453985968009622
kreis,03101,srv,1272,93,28.666573377304278,28.816041574490743
kreis,03101,srv,1272,94,30.01080896693607,30.126189003158327
kreis,03101,srv,1272,95,31.051304901227166,31.215817866422796
kreis,03101,srv,1272,96,32.52814939837883,33.09523920941481
kreis,03101,srv,1272,97,37.477115991041515,37.968048086610615
kreis,03101,srv,1272,98,44.82596166095453,45.01768228216779
kreis,03101,srv,1272,99,49.516005053901964,49.73366713561158
kreis,03102,srv,387,1,0.3691925148977436,0.3437822863494402
kreis,03102,srv,387,2,0.6248490546004462,0.5815435868482774
kreis,03102,srv,387,3,0.7700618035376744,0.7268440717720693
kreis,03102,srv,387,4,0.9895962640700513,0.938514123058829
kreis,03102,srv,387,5,1.0694205965707746,1.0351164526664416
kreis,03102,srv,387,6,1.1832915625495668,1.1488327449589968
kreis,03102,srv,387,7,1.21949519883495,1.1921672033288404
kreis,03102,srv,387,8,1.2815551901383224,1.264391463360991
kreis,03102,srv,387,9,1.3602608702654284,1.3451019168593377
kreis,03102,srv,387,10,1.3943862251233048,1.3850588082099757
kreis,03102,srv,387,11,1.710884701876905,1.6593958081626479
kreis,03102,srv,387,12,1.8394056660820064,1.7872245874083441
kreis,03102,srv,387,13,1.912660291026517,1.8685549509541932
kreis,03102,srv,387,14,2.053138760518821,2.008206758349138
kreis,03102,srv,387,15,2.2952228470181213,2.209096409623884
kreis,03102,srv,387,16,2.5986753298425618,2.4781058059759222
kreis,03102,srv,387,17,2.9641429947737254,2.7837986564824537
kreis,03102,srv,387,18,3.06243427647629,2.880055770169636
kreis,03102,srv,387,19,3.327893164812792,3.1161283350228217
kreis,03102,srv,387,20,3.4982165198014914,3.271618084394532
kreis,03102,srv,387,21,3.703537142559964,3.449859422274381
kreis,03102,srv,387,22,3.9785269914609325,3.6882919751344834
kreis,03102,srv,387,23,4.14879587669695,3.8462228371266898
kreis,03102,srv,387,24,4.273702460171023,3.9607623542299115
kreis,03102,srv,387,25,4.813138898574909,4.428281097396314
kreis,03102,srv,387,26,4.957692307692308,4.559216663224536
kreis,03102,srv,387,27,5.22876696112262,4.791180271466791
kreis,03102,srv,387,28,5.347197274502022,4.910425763777332
kreis,03102,srv,387,29,5.5049394081700065,5.061179567597232
kreis,03102,srv,387,30,5.96962436383011,5.452642151999903
kreis,03102,srv,387,31,6.076151135867465,5.54995649996195
kreis,03102,srv,387,32,6.288596309185299,5.727565762927653
kreis,03102,srv,387,33,6.603266253303613,6.0074816826268895
kreis,03102,srv,387,34,6.8910789377728445,6.2677563316714275
kreis,03102,srv,387,35,7.028046049618952,6.409878697111597
kreis,03102,srv,387,36,7.111295426314849,6.492096366014042
kreis,03102,srv,387,37,7.208447717533051,6.594749329296479
kreis,03102,srv,387,38,7.259937551991317,6.65255956967198
kreis,03102,srv,387,39,7.505523274910565,6.873959515949093
kreis,03102,srv,387,40,7.671051713143071,7.034979951866932
kreis,03102,srv,387,41,7.885167713000625,7.231333748791316
kreis,03102,srv,387,42,8.249965501629893,7.553584902339418
kreis,03102,srv,387,43,8.30186548092454,7.632473102973156
kreis,03102,srv,387,44,8.55285212670344,7.863593706192639
kreis,03102,srv,387,45,8.897376598166408,8.169084380548627
kreis,03102,srv,387,46,9.21784018219031,8.448604974132842
kreis,03102,srv,387,47,9.567503928619262,8.763174211233236
kreis,03102,srv,387,48,9.810540561300488,9.004726723959996
kreis,03102,srv,387,49,10.141348373187753,9.308052076935832
kreis,03102,srv,387,50,10.586004149976409,9.689971982953251
kreis,03102,srv,387,51,10.907488612915344,10.001418783836574
kreis,03102,srv,387,52,11.322065656857077,10.347826296390929
kreis,03102,srv,387,53,11.55334563824888,10.571828515721664
kreis,03102,srv,387,54,11.757028111638355,10.791876516588818
kreis,03102,srv,387,55,12.134445105126828,11.13922543833154
kreis,03102,srv,387,56,12.32861983901236,11.316985453936804
kreis,03102,srv,387,57,12.564905158590589,11.53258521803153
kreis,03102,srv,387,58,12.773258498950124,11.742866896072748
kreis,03102,srv,387,59,13.048264288247196,12.016065269909724
kreis,03102,srv,387,60,13.178908084130608,12.199646019253395
kreis,03102,srv,387,61,13.429717547171443,12.456939528180872
kreis,03102,srv,387,62,13.84464655087683,12.854173820147878
kreis,03102,srv,387,63,13.923592616516833,13.004264310753184
kreis,03102,srv,387,64,14.172374555711771,13.26159718961626
kreis,03102,srv,387,65,14.803685981997688,13.842808398782417
kreis,03102,srv,387,66,15.563697718695591,14.559318357806763
kreis,03102,srv,387,67,16.360688791109904,15.250975493137489
kreis,03102,srv,387,68,16.680773556272182,15.573179178664049
kreis,03102,srv,387,69,16.99917342615408,15.904231229095355
kreis,03102,srv,387,70,17.108404015255246,16.078460275836054
kreis,03102,srv,387,71,17.1557446567555,16.24898385794416
kreis,03102,srv,387,72,17.660351196603617,16.760933685437227
kreis,03102,srv,387,73,18.235678714808707,17.31081938245922
kreis,03102,srv,387,74,18.304736384256813,17.44433050476642
kreis,03102,srv,387,75,18.581752351523882,17.799762265475934
kreis,03102,srv,387,76,19.129699005019088,18.45277586722777
kreis,03102,srv,387,77,19.910819069065273,19.27752450669744
kreis,03102,srv,387,78,20.432508160399717,19.777538478626035
kreis,03102,srv,387,79,21.133339912652,20.449298756247206
kreis,03102,srv,387,80,21.389439336767534,20.777726199352124
kreis,03102,srv,387,81,22.07668425850152,21.500992260874316
kreis,03102,srv,387,82,22.962144173203736,22.43118220898974
kreis,03102,srv,387,83,24.84188501942918,24.079081963484224
kreis,03102,srv,387,84,25.827231175795156,24.953579217049032
kreis,03102,srv,387,85,26.53430484666763,25.829903692994264
kreis,03102,srv,387,86,27.50196761823273,26.781809677785496
kreis,03102,srv,387,87,27.659425906447087,27.108671285855046
kreis,03102,srv,387,88,28.404851904092297,27.811700682030473
kreis,03102,srv,387,89,30.663904767110264,29.754995326814615
kreis,03102,srv,387,90,31.44585614666771,30.54179855894825
kreis,03102,srv,387,91,32.720918133286574,31.743143901938236
kreis,03102,srv,387,92,36.232747610347275,34.80766324929534
kreis,03102,srv,387,93,41.70563291271788,39.4492970051172
kreis,03102,srv,387,94,42.868714380586354,40.55354162562107
kreis,03102,srv,387,95,44.459267739356086,42.16956651643106
kreis,03102,srv,387,96,45.56574150897056,44.486250769098255
kreis,03102,srv,387,97,48.779840583987784,47.8420302674091
kreis,03102,srv,387,98,52.67764515941783,51.60551444577976
kreis,03102,srv,387,99,57.006027403223875,56.081243298857146
kreis,03103,proxy_rs7_72,1659,1,0.24424136516850553,0.24424136516850553
kreis,03103,proxy_rs7_72,1659,2,0.4140041393399982,0.4140041393399982
kreis,03103,proxy_rs7_72,1659,3,0.5596173692647417,0.5596173692647417
kreis,03103,proxy_rs7_72,1659,4,0.7448119006162979,0.7448119006162979
kreis,03103,proxy_rs7_72,1659,5,0.9101587505510779,0.9101587505510779
kreis,03103,proxy_rs7_72,1659,6,1.021529876425083,1.021529876425083
kreis,03103,proxy_rs7_72,1659,7,1.0890586962377955,1.0890586962377955
kreis,03103,proxy_rs7_72,1659,8,1.1995750039805768,1.1995750039805768
kreis,03103,proxy_rs7_72,1659,9,1.2883184931695881,1.2883184931695881
kreis,03103,proxy_rs7_72,1659,10,1.3493477627659534,1.3493477627659534
kreis,03103,proxy_rs7_72,1659,11,1.4592707454907492,1.4592707454907492
kreis,03103,proxy_rs7_72,1659,12,1.585752666643786,1.585752666643786
kreis,03103,proxy_rs7_72,1659,13,1.6997791870318055,1.6997791870318055
kreis,03103,proxy_rs7_72,1659,14,1.834407495004639,1.834407495004639
kreis,03103,proxy_rs7_72,1659,15,1.8714810922208913,1.8714810922208913
kreis,03103,proxy_rs7_72,1659,16,2.010337356656033,2.010337356656033
kreis,03103,proxy_rs7_72,1659,17,2.0826335667375737,2.0826335667375737
kreis,03103,proxy_rs7_72,1659,18,2.1678674918265397,2.1678674918265397
kreis,03103,proxy_rs7_72,1659,19,2.2905938731881377,2.2905938731881377
kreis,03103,proxy_rs7_72,1659,20,2.3878708146214307,2.3878708146214307
kreis,03103,proxy_rs7_72,1659,21,2.458859042407513,2.458859042407513
kreis,03103,proxy_rs7_72,1659,22,2.552664033560958,2.552664033560958
kreis,03103,proxy_rs7_72,1659,23,2.6589079967593174,2.6589079967593174
kreis,03103,proxy_rs7_72,1659,24,2.73105154261957,2.73105154261957
kreis,03103,proxy_rs7_72,1659,25,2.9231110228804007,2.9231110228804007
kreis,03103,proxy_rs7_72,1659,26,2.998579836154683,2.998579836154683
kreis,03103,proxy_rs7_72,1659,27,3.074955770720848,3.074955770720848
kreis,03103,proxy_rs7_72,1659,28,3.1984143995389283,3.1984143995389283
kreis,03103,proxy_rs7_72,1659,29,3.319305904660863,3.319305904660863
kreis,03103,proxy_rs7_72,1659,30,3.421573576715642,3.421573576715642
kreis,03103,proxy_rs7_72,1659,31,3.482443193364877,3.482443193364877
kreis,03103,proxy_rs7_72,1659,32,3.518429089633021,3.518429089633021
kreis,03103,proxy_rs7_72,1659,33,3.664373117622364,3.664373117622364
kreis,03103,proxy_rs7_72,1659,34,3.8162780751068706,3.8162780751068706
kreis,03103,proxy_rs7_72,1659,35,3.9773251629438837,3.9773251629438837
kreis,03103,proxy_rs7_72,1659,36,4.04853891300594,4.04853891300594
kreis,03103,proxy_rs7_72,1659,37,4.167996998575237,4.167996998575237
kreis,03103,proxy_rs7_72,1659,38,4.244045280423449,4.244045280423449
kreis,03103,proxy_rs7_72,1659,39,4.365915165381325,4.365915165381325
kreis,03103,proxy_rs7_72,1659,40,4.502952317755586,4.502952317755586
kreis,03103,proxy_rs7_72,1659,41,4.624454318361038,4.624454318361038
kreis,03103,proxy_rs7_72,1659,42,4.776405180025072,4.776405180025072
kreis,03103,proxy_rs7_72,1659,43,4.95708146438645,4.95708146438645
kreis,03103,proxy_rs7_72,1659,44,5.103494173888361,5.103494173888361
kreis,03103,proxy_rs7_72,1659,45,5.250969979759855,5.250969979759855
kreis,03103,proxy_rs7_72,1659,46,5.36729990857513,5.36729990857513
kreis,03103,proxy_rs7_72,1659,47,5.543987149307075,5.543987149307075
kreis,03103,proxy_rs7_72,1659,48,5.782208720782466,5.782208720782466
kreis,03103,proxy_rs7_72,1659,49,5.972068549513042,5.972068549513042
kreis,03103,proxy_rs7_72,1659,50,6.105015785913777,6.105015785913777
kreis,03103,proxy_rs7_72,1659,51,6.3771557634482745,6.3771557634482745
kreis,03103,proxy_rs7_72,1659,52,6.449597413632574,6.449597413632574
kreis,03103,proxy_rs7_72,1659,53,6.639607202608907,6.639607202608907
kreis,03103,proxy_rs7_72,1659,54,6.922739208277911,6.922739208277911
kreis,03103,proxy_rs7_72,1659,55,7.150739378863772,7.150739378863772
kreis,03103,proxy_rs7_72,1659,56,7.254456883779104,7.254456883779104
kreis,03103,proxy_rs7_72,1659,57,7.383429202262618,7.383429202262618
kreis,03103,proxy_rs7_72,1659,58,7.587416672879332,7.587416672879332
kreis,03103,proxy_rs7_72,1659,59,7.8494887343546065,7.8494887343546065
kreis,03103,proxy_rs7_72,1659,60,8.246034455647969,8.246034455647969
kreis,03103,proxy_rs7_72,1659,61,8.526741626496745,8.526741626496745
kreis,03103,proxy_rs7_72,1659,62,8.857644191645992,8.857644191645992
kreis,03103,proxy_rs7_72,1659,63,9.280954568107331,9.280954568107331
kreis,03103,proxy_rs7_72,1659,64,9.56350393140739,9.56350393140739
kreis,03103,proxy_rs7_72,1659,65,9.9478638106535,9.9478638106535
kreis,03103,proxy_rs7_72,1659,66,10.50623640709258,10.50623640709258
kreis,03103,proxy_rs7_72,1659,67,10.785074081959388,10.785074081959388
kreis,03103,proxy_rs7_72,1659,68,11.115741294058717,11.115741294058717
kreis,03103,proxy_rs7_72,1659,69,11.487575920955681,11.487575920955681
kreis,03103,proxy_rs7_72,1659,70,11.909863891426987,11.909863891426987
kreis,03103,proxy_rs7_72,1659,71,12.565284602725114,12.565284602725114
kreis,03103,proxy_rs7_72,1659,72,13.108122966931619,13.108122966931619
kreis,03103,proxy_rs7_72,1659,73,13.547887859049695,13.547887859049695
kreis,03103,proxy_rs7_72,1659,74,13.930341100174486,13.930341100174486
kreis,03103,proxy_rs7_72,1659,75,14.599661694417975,14.599661694417975
kreis,03103,proxy_rs7_72,1659,76,15.687986570703814,15.687986570703814
kreis,03103,proxy_rs7_72,1659,77,16.703356793810386,16.703356793810386
kreis,03103,proxy_rs7_72,1659,78,17.104468261291,17.104468261291
kreis,03103,proxy_rs7_72,1659,79,17.653115638252675,17.653115638252675
kreis,03103,proxy_rs7_72,1659,80,18.255261374677566,18.255261374677566
kreis,03103,proxy_rs7_72,1659,81,19.13111642479617,19.13111642479617
kreis,03103,proxy_rs7_72,1659,82,20.239540724212485,20.239540724212485
kreis,03103,proxy_rs7_72,1659,83,20.99207041380161,20.99207041380161
kreis,03103,proxy_rs7_72,1659,84,21.40973652893652,21.40973652893652
kreis,03103,proxy_rs7_72,1659,85,22.973600902271986,22.973600902271986
kreis,03103,proxy_rs7_72,1659,86,23.87128891124097,23.87128891124097
kreis,03103,proxy_rs7_72,1659,87,24.858497426156482,24.858497426156482
kreis,03103,proxy_rs7_72,1659,88,25.360853078829656,25.360853078829656
kreis,03103,proxy_rs7_72,1659,89,26.0636130843854,26.0636130843854
kreis,03103,proxy_rs7_72,1659,90,26.85469623841323,26.85469623841323
kreis,03103,proxy_rs7_72,1659,91,27.77272243068775,27.77272243068775
kreis,03103,proxy_rs7_72,1659,92,29.106512157711137,29.106512157711137
kreis,03103,proxy_rs7_72,1659,93,30.53071326737357,30.53071326737357
kreis,03103,proxy_rs7_72,1659,94,31.390041043420343,31.390041043420343
kreis,03103,proxy_rs7_72,1659,95,33.09827721485412,33.09827721485412
kreis,03103,proxy_rs7_72,1659,96,40.33836458307091,40.33836458307091
kreis,03103,proxy_rs7_72,1659,97,44.24682252814994,44.24682252814994
kreis,03103,proxy_rs7_72,1659,98,47.462940489007686,47.462940489007686
kreis,03103,proxy_rs7_72,1659,99,52.453514933394565,52.453514933394565
kreis,03151,srv,849,1,0.3236090922750739,0.32282800587300253
kreis,03151,srv,849,2,0.4686760738071165,0.46660926640893935
kreis,03151,srv,849,3,0.5721472467335956,0.5712429991174673
kreis,03151,srv,849,4,0.7084414939428261,0.7033867997384584
kreis,03151,srv,849,5,0.7714752027284748,0.765951009511942
kreis,03151,srv,849,6,0.9248047056943062,0.9098107720567687
kreis,03151,srv,849,7,1.1138461538461537,1.089155078199284
kreis,03151,srv,849,8,1.376788101268544,1.3374720764465184
kreis,03151,srv,849,9,1.5254250626973502,1.4831941721151463
kreis,03151,srv,849,10,1.6014850384250854,1.5621516517231537
kreis,03151,srv,849,11,1.6720304112485396,1.6372823494053534
kreis,03151,srv,849,12,1.7705172081341607,1.739793934452344
kreis,03151,srv,849,13,2.1296144036099105,2.0715632166289883
kreis,03151,srv,849,14,2.3205247297747413,2.251534419982664
kreis,03151,srv,849,15,2.4962547182097907,2.41520493864171
kreis,03151,srv,849,16,2.880816274185872,2.783198397708396
kreis,03151,srv,849,17,3.135726439656241,3.018216454968126
kreis,03151,srv,849,18,3.372138578247633,3.2429044352074508
kreis,03151,srv,849,19,3.5703471592576985,3.433091527878342
kreis,03151,srv,849,20,3.99220119769371,3.8210030902769785
kreis,03151,srv,849,21,4.000065555461115,3.837263952358584
kreis,03151,srv,849,22,4.0264840310295895,3.8801354049897254
kreis,03151,srv,849,23,4.183711969208283,4.036945440432819
kreis,03151,srv,849,24,4.473001813531894,4.3153725926086555
kreis,03151,srv,849,25,4.603676621599733,4.444302605944
kreis,03151,srv,849,26,5.0472365851257,4.854241098847508
kreis,03151,srv,849,27,5.529761634690998,5.305830567454535
kreis,03151,srv,849,28,5.745587871212797,5.516138289209166
kreis,03151,srv,849,29,6.352193250902262,6.081746133994164
kreis,03151,srv,849,30,6.765388652891917,6.474050566841713
kreis,03151,srv,849,31,6.971780735466744,6.678774939135733
kreis,03151,srv,849,32,7.287882295563991,6.974633783599885
kreis,03151,srv,849,33,7.756092970315064,7.418720220436223
kreis,03151,srv,849,34,7.924717118872057,7.593141945740971
kreis,03151,srv,849,35,7.938413820193599,7.619710196119271
kreis,03151,srv,849,36,7.9820364567356545,7.6773056974668075
kreis,03151,srv,849,37,8.214856759741615,7.928646650737015
kreis,03151,srv,849,38,8.504963120570489,8.209841260819935
kreis,03151,srv,849,39,9.145206556491262,8.822694770879243
kreis,03151,srv,849,40,9.812188612153331,9.460927226969812
kreis,03151,srv,849,41,9.933246880053833,9.61027254871606
kreis,03151,srv,849,42,10.220254538146095,9.889586954044528
kreis,03151,srv,849,43,10.88905206935208,10.510935146620916
kreis,03151,srv,849,44,11.134206642914842,10.776229502013592
kreis,03151,srv,849,45,11.38799392830935,11.024471672202004
kreis,03151,srv,849,46,11.70295261693598,11.334938364901303
kreis,03151,srv,849,47,12.190532159677122,11.80873325667194
kreis,03151,srv,849,48,12.55104697122511,12.155288483099705
kreis,03151,srv,849,49,13.043076923076923,12.625492355471028
kreis,03151,srv,849,50,13.472334759492805,13.026815620347424
kreis,03151,srv,849,51,13.537740451456687,13.127371655320676
kreis,03151,srv,849,52,13.926989225017095,13.493908892458961
