# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md; files SrV2023_Personen.csv, SrV2023_Haushalte.csv), generated by
#   scripts/extract_srv_absence.py on 2026-09-09.
# Code state: eqasim-bs ada06b61, module braunschweig/calibration/srv_absence.py.
# Table: srv2023_absence_household_by_size.csv
# Role: VALIDATION-ANCHORED DRAW REFERENCE for braunschweig.synthesis.day_absence; not
#   a PopulationSim control target -- no synthesis or location stage's demand
#   distribution is controlled to these shares, they parameterise the
#   general-day-absence state draw only.
# Universe: every delivered person with a valid positive GEWICHT_P_ZENSUS (the
#   at_home_zero universe of braunschweig.calibration.srv_plan_structure -- absence IS
#   the state being measured here, so away persons are KEPT, unlike the
#   participation-universe tables of issue #368, which exclude them).
# Away from home: E_ANZ_WEGE == -7 over the WHOLE reporting day (the only negative
#   E_ANZ_WEGE code this delivery carries).
# Weights: GEWICHT_P_ZENSUS (persons) / GEWICHT_HH_ZENSUS (households); expansion to
#   Zensus 2022 counts, the stratum-internal GEWICHT_P/GEWICHT_HH must not be used
#   across strata (ADR-0055).
# Age bands (V_ALTER, bounds INCLUSIVE): 0-5: 0-5, 6-17: 6-17, 18-29: 18-29, 30-44: 30-44, 45-64: 45-64, 65-74: 65-74, 75+: 75-200.
# Universe guards (the extraction raises, it never adapts): every MITTL_WERKTAG == 1
#   (average-weekday Tuesday-Thursday delivery) and every negative E_ANZ_WEGE == -7.
# Exclusions: n_persons_raw=18223, n_persons_dropped_weight=0, n_persons_universe=18223, n_absent=954, n_persons_missing_age=2 (n_persons_raw is the raw Personen-file row count; n_persons_dropped_weight is measured on it; n_persons_universe is the resulting count with a valid positive GEWICHT_P_ZENSUS; n_absent and n_persons_missing_age are measured on n_persons_universe)
# Clustering: 0.4937 (471/954) of absent persons live in a household in which EVERY member
#   is absent, UNWEIGHTED; 0.5585 PERSON-WEIGHTED (GEWICHT_P_ZENSUS). Computed by
#   braunschweig.calibration.srv_absence.clustering_share(prepared) -- the traceable
#   source of the household-clustering figure ADR-0110 cites (issue #370 final-review
#   fix wave, ruling R12).
# ASSUMPTION: household size = the count of DELIVERED persons per HHNR in
#   SrV2023_Personen.csv, not a dedicated household-size variable from
#   SrV2023_Haushalte.csv; verified equal to V_ANZ_PERS for all 8,106 households on
#   2026-09-09 (ad-hoc check against the local raw file, not reproduced by committed
#   code).
# Household size classes: 1..5, class 5 = '5 or more' members.
# Columns: size_class, n_households_unweighted, n_all_absent_unweighted, p_all_absent
#   (weighted GEWICHT_HH_ZENSUS share of the size class's households in which EVERY
#   member is away the whole reporting day). Because this table is weighted by the
#   HOUSEHOLD weight rather than the person weight of the by-age table, its shares
#   differ slightly from the person-weighted household-composition figures quoted
#   elsewhere for the same universe; the values below are the ones this file commits.
#   A size class with no household is still emitted, with n_households_unweighted=0 and
#   a NaN share (never dropped).
# Additional columns (issue #388, PERSON-level reporting reference, added on top of the
#   four HOUSEHOLD-level columns above, which are UNCHANGED by this addition):
#   n_persons_unweighted, n_absent_persons_unweighted, p_absent_person -- the
#   GEWICHT_P_ZENSUS PERSON-weighted share of absent persons among ALL persons living in
#   a household of that size class (every delivered person counted once, whether or not
#   their own household is fully absent). This differs from p_all_absent, which is the
#   HOUSEHOLD-weighted share of households where EVERY member is absent -- the two
#   columns answer different questions and are not expected to be numerically close. A
#   size class with no persons is still emitted, with n_persons_unweighted=0 and a NaN
#   share (never dropped).
#   size 1: n_households_unweighted=1969, p_all_absent=0.0529, n_persons_unweighted=1969, p_absent_person=0.0514
#   size 2: n_households_unweighted=3750, p_all_absent=0.0340, n_persons_unweighted=7500, p_absent_person=0.0587
#   size 3: n_households_unweighted=1166, p_all_absent=0.0131, n_persons_unweighted=3498, p_absent_person=0.0543
#   size 4: n_households_unweighted=934, p_all_absent=0.0149, n_persons_unweighted=3736, p_absent_person=0.0416
#   size 5: n_households_unweighted=287, p_all_absent=0.0018, n_persons_unweighted=1520, p_absent_person=0.0175
# Rows: 5 size classes.
# Invariants (checked before writing, the extraction raises on a violation): size
#   classes 1..5 are present, in that order; every share is NaN or inside [0, 1];
#   n_absent_persons_unweighted <= n_persons_unweighted per row; sum(n_persons_unweighted)
#   equals the by-age table's 'all' row n_unweighted.
size_class,n_households_unweighted,n_all_absent_unweighted,p_all_absent,n_persons_unweighted,n_absent_persons_unweighted,p_absent_person
1,1969,99,0.05287145408,1969,99,0.05144101864
2,3750,140,0.0339529251,7500,497,0.05874678539
3,1166,17,0.01310264589,3498,196,0.05429577352
4,934,9,0.01491889836,3736,132,0.04160394108
5,287,1,0.001830625486,1520,30,0.01754164634
