# Source: SrV 2023 Braunschweig+RGB SciUse (TU Dresden), Wege table, V_ZWECK in leisure/other category map, GEWICHT_W-weighted.
# Generated by scripts/derive_srv_location_types.py; n_in_scope=13514; exclusion rates are counted against n_in_scope: excluded_invalid_mode=4/13514 (0.03%), excluded_invalid_length=3547/13514 (26.25%); thin_cells_omitted=17, cells_reported=50, min_obs=30.
# ASSUMPTION: euclid_km = GIS_LAENGE_GUELTIG / DETOUR_FACTOR (DETOUR_FACTOR=1.3), same routed->euclidean assumption as the MiD distance layers.
# Band edges (euclidean km): [0.0, 0.5, 1.0, 1.5, 2.5, 4.0, 8.0, inf].
# Marginal rows (is_marginal=1, mode="all", band [0, inf)) are the per-purpose fallback used whenever a (mode, band) cell is thinner than min_obs=30 unweighted legs; cell rows (is_marginal=0) are reported only where the cell meets that threshold.
# Regenerate there, never edit.
purpose,mode,band_lower_km,band_upper_km,is_marginal,category,probability,n_legs_unweighted
leisure,car,2.5,4.0,0,leisure_misc,0.17811661290688496,56
leisure,car,2.5,4.0,0,leisure_outdoor,0.11936450336408731,37
leisure,car,2.5,4.0,0,leisure_sports,0.31509444056190694,106
leisure,car,2.5,4.0,0,leisure_visit,0.2623557803849343,84
leisure,car,4.0,8.0,0,leisure_culture,0.02527322087734978,14
leisure,car,4.0,8.0,0,leisure_gastronomy,0.12610034872652193,55
leisure,car,4.0,8.0,0,leisure_misc,0.23072799531800722,116
leisure,car,4.0,8.0,0,leisure_outdoor,0.07022907637640523,38
leisure,car,4.0,8.0,0,leisure_sports,0.23887881366896366,155
leisure,car,4.0,8.0,0,leisure_visit,0.30879054503275205,153
leisure,car,8.0,inf,0,leisure_culture,0.04383460010615026,29
leisure,car,8.0,inf,0,leisure_gastronomy,0.09719243014906731,73
leisure,car,8.0,inf,0,leisure_misc,0.20891430851145232,158
leisure,car,8.0,inf,0,leisure_outdoor,0.06298168825278107,50
leisure,car,8.0,inf,0,leisure_sports,0.2220810861192537,159
leisure,car,8.0,inf,0,leisure_visit,0.3649958868612953,241
leisure,car_passenger,0.5,1.0,0,leisure_gastronomy,0.021190095581683447,2
leisure,car_passenger,0.5,1.0,0,leisure_misc,0.17379391073936692,9
leisure,car_passenger,0.5,1.0,0,leisure_outdoor,0.01671347904399245,1
leisure,car_passenger,0.5,1.0,0,leisure_sports,0.29887791637526745,16
