# VRB Preisstufenmatrix, official PDF printed 'Stand 01.01.2022', 48 zones, directional cells.
# Source: https://www.vrb-online.de/de/service/downloads?file=files/media/service/downloads/tarifinformationen/vrb-preisstufenmatrix.pdf&cid=658
# Source PDF SHA-256: 175c58b14f2c9e94029644fa7a8a0a036af8fa438c5cb6bc4145409b99efa7e6 (publisher Verkehrsverbund Region Braunschweig GmbH).
# Parsed on the parked branch codex/regional-pt-fares by scripts/export_vrb_price_stage_matrix.py (commit 238359cd).
# ASSUMPTION (ADR-0133): the 2022 matrix is applied to the 2026 scenario; VRB still publishes 48 zones in 2026 and
# three current-selector spot checks (40-70 = 2, 40-20 = 3, 40-40 = ST) agreed on 2026-09-23. price_stage: ST = city tariff,
# 1..4 = Preisstufe, '-' = undefined in the source (status undefined). Zones 55/56 = Haemelerwald/Dedenhausen stations.
origin_zone,destination_zone,price_stage,status
16,38,4,defined
16,40,2,defined
16,50,3,defined
16,51,2,defined
16,52,2,defined
16,53,3,defined
16,54,4,defined
16,55,4,defined
16,56,3,defined
16,60,3,defined
16,70,3,defined
16,71,3,defined
16,72,3,defined
16,73,4,defined
16,74,4,defined
16,75,4,defined
16,76,4,defined
16,77,4,defined
16,78,4,defined
16,79,4,defined
16,80,4,defined
16,81,4,defined
16,82,4,defined
16,83,4,defined
16,84,4,defined
16,85,4,defined
16,86,4,defined
16,87,4,defined
16,88,4,defined
16,89,4,defined
16,90,4,defined
17,10,2,defined
17,11,3,defined
17,12,4,defined
17,13,4,defined
17,14,4,defined
17,15,3,defined
17,16,2,defined
17,17,1,defined
17,20,3,defined
17,30,4,defined
17,31,4,defined
17,32,4,defined
17,33,4,defined
17,34,4,defined
17,35,4,defined
17,36,3,defined
17,37,4,defined
17,38,4,defined
17,40,3,defined
17,50,3,defined
17,51,2,defined
17,52,3,defined
17,53,4,defined
17,54,4,defined
17,55,4,defined
17,56,2,defined
17,60,4,defined
17,70,4,defined
17,71,4,defined
17,72,4,defined
17,73,4,defined
17,74,4,defined
17,75,4,defined
17,76,4,defined
17,77,4,defined
17,78,4,defined
17,79,4,defined
17,80,4,defined
17,81,4,defined
17,82,4,defined
17,83,4,defined
17,84,4,defined
17,85,4,defined
17,86,4,defined
17,87,4,defined
17,88,4,defined
17,89,4,defined
17,90,4,defined
20,10,3,defined
20,11,3,defined
20,12,4,defined
20,13,3,defined
20,14,2,defined
20,15,2,defined
20,16,2,defined
20,17,3,defined
20,20,ST,defined
20,30,4,defined
20,31,3,defined
20,32,4,defined
20,33,4,defined
20,34,3,defined
20,35,2,defined
20,36,2,defined
20,37,2,defined
20,38,3,defined
20,40,3,defined
20,50,4,defined
20,51,3,defined
20,52,3,defined
20,53,4,defined
20,54,4,defined
20,55,4,defined
20,56,4,defined
20,60,4,defined
20,70,4,defined
20,71,3,defined
20,72,4,defined
20,73,4,defined
20,74,4,defined
20,75,4,defined
20,76,4,defined
20,77,4,defined
20,78,4,defined
20,79,4,defined
20,80,4,defined
20,81,4,defined
20,82,4,defined
20,83,4,defined
20,84,4,defined
20,85,4,defined
20,86,4,defined
20,87,4,defined
20,88,4,defined
20,89,4,defined
20,90,4,defined
30,10,4,defined
30,11,4,defined
30,12,4,defined
30,13,4,defined
30,14,4,defined
30,15,4,defined
30,16,4,defined
30,17,4,defined
30,20,4,defined
30,30,1,defined
30,31,2,defined
30,32,2,defined
30,33,3,defined
30,34,3,defined
30,35,3,defined
30,36,4,defined
30,37,3,defined
30,38,2,defined
30,40,4,defined
30,50,4,defined
30,51,4,defined
30,52,4,defined
30,53,4,defined
30,54,4,defined
30,55,4,defined
30,56,4,defined
30,60,4,defined
30,70,4,defined
30,71,4,defined
30,72,4,defined
30,73,4,defined
30,74,4,defined
30,75,4,defined
30,76,4,defined
30,77,4,defined
30,78,4,defined
30,79,4,defined
30,80,4,defined
30,81,4,defined
30,82,4,defined
30,83,4,defined
30,84,4,defined
30,85,4,defined
30,86,4,defined
30,87,4,defined
30,88,4,defined
30,89,4,defined
30,90,4,defined
31,10,4,defined
31,11,4,defined
31,12,4,defined
31,13,4,defined
31,14,4,defined
31,15,4,defined
31,16,4,defined
31,17,4,defined
31,20,3,defined
31,30,2,defined
31,31,1,defined
31,32,2,defined
31,33,3,defined
31,34,2,defined
31,35,2,defined
31,36,3,defined
31,37,3,defined
31,38,2,defined
31,40,4,defined
31,50,4,defined
31,51,4,defined
31,52,4,defined
31,53,4,defined
31,54,4,defined
31,55,4,defined
31,56,4,defined
31,60,4,defined
31,70,4,defined
31,71,3,defined
31,72,3,defined
31,73,3,defined
31,74,4,defined
31,75,4,defined
31,76,4,defined
31,77,4,defined
31,78,4,defined
31,79,4,defined
31,80,4,defined
31,81,4,defined
31,82,4,defined
31,83,4,defined
31,84,4,defined
31,85,4,defined
31,86,4,defined
31,87,4,defined
31,88,4,defined
31,89,4,defined
31,90,4,defined
32,10,4,defined
32,11,4,defined
32,12,4,defined
32,13,4,defined
32,14,4,defined
32,15,4,defined
32,16,4,defined
32,17,4,defined
32,20,4,defined
32,30,2,defined
32,31,2,defined
32,32,1,defined
32,33,2,defined
32,34,2,defined
32,35,3,defined
32,36,4,defined
32,37,4,defined
32,38,3,defined
32,40,4,defined
32,50,4,defined
32,51,4,defined
32,52,4,defined
32,53,4,defined
32,54,4,defined
32,55,4,defined
32,56,4,defined
32,60,4,defined
32,70,4,defined
32,71,3,defined
