iteration;bicycle;car;car_passenger;outside;pt;truck;walk
0;0.11375065479308538;0.4103457307490833;0.11639601885804086;0.034101623886851756;0.06558407543216344;0.013645887899423783;0.24617600838135148
1;0.11280775275013095;0.4148507071765322;0.11731272917757989;0.034101623886851756;0.06600314300680984;0.013645887899423783;0.24127815610267156
2;0.1108171817705605;0.42063907805133577;0.11778418019905709;0.034101623886851756;0.06634363541121006;0.013645887899423783;0.23666841278156103
3;0.1105814562598219;0.4240178103719225;0.11838658983761131;0.034101623886851756;0.06665793609219486;0.013645887899423783;0.2326086956521739
4;0.1109219486642221;0.42721320062860135;0.11854374017810372;0.034101623886851756;0.06720796228391829;0.013645887899423783;0.228365636458879
5;0.11050288108957569;0.42993713986380305;0.11898899947616554;0.034101623886851756;0.0678889470927187;0.013645887899423783;0.2249345206914615
6;0.10955997904662126;0.43478260869565216;0.11930330015715034;0.034101623886851756;0.06765322158198009;0.013645887899423783;0.2209533787323206
7;0.10893137768465165;0.43758512310110004;0.11961760083813515;0.034101623886851756;0.0677841801990571;0.013645887899423783;0.21833420639078052
8;0.10790990047145102;0.44164484023048717;0.11964379256155055;0.034101623886851756;0.06825563122053431;0.013645887899423783;0.21479832372970142
9;0.10777894185437402;0.4445259298061812;0.11977475117862756;0.034101623886851756;0.06836039811419592;0.013645887899423783;0.21181246726034572
10;0.1070717653221582;0.44853326348873757;0.11898899947616554;0.034101623886851756;0.06909376636982713;0.013645887899423783;0.20856469355683604
11;0.1071503404924044;0.4512572027239392;0.11925091671031954;0.034101623886851756;0.06935568360398114;0.013645887899423783;0.20523834468308014
12;0.10673127291775798;0.4540335254059717;0.11956521739130435;0.034101623886851756;0.06966998428496594;0.013645887899423783;0.20225248821372446
13;0.10610267155578837;0.4566265060240964;0.11917234154007333;0.034101623886851756;0.06980094290204296;0.013645887899423783;0.2005500261917234
14;0.10542168674698796;0.4598480880041907;0.11980094290204295;0.034101623886851756;0.06974855945521215;0.013645887899423783;0.19743321110529072
15;0.10508119434258774;0.46162912519643795;0.12069146149816658;0.034101623886851756;0.06961760083813515;0.013645887899423783;0.19523310633839708
16;0.10481927710843374;0.4639339968569932;0.12045573598742797;0.034101623886851756;0.06985332634887376;0.013645887899423783;0.19319015191199582
17;0.1035620743844945;0.46631744368779465;0.12042954426401258;0.034101623886851756;0.07035096909376637;0.013645887899423783;0.19159245678365636
18;0.1036406495547407;0.4676270298585647;0.12048192771084337;0.034101623886851756;0.07050811943425878;0.013645887899423783;0.18999476165531692
19;0.1033787323205867;0.47024620220010477;0.12024620220010476;0.034101623886851756;0.07042954426401257;0.013645887899423783;0.18795180722891566
20;0.1033263488737559;0.47200104766893664;0.12037716081718176;0.034101623886851756;0.07032477737035096;0.013645887899423783;0.18622315348349922
