iteration;bicycle;car;car_passenger;outside;pt;truck;walk
0;0.11375065479308538;0.4103457307490833;0.11639601885804086;0.034101623886851756;0.06558407543216344;0.013645887899423783;0.24617600838135148
1;0.11286013619696177;0.414903090623363;0.11726034573074909;0.034101623886851756;0.06592456783656364;0.013645887899423783;0.24130434782608695
2;0.1108695652173913;0.420717653221582;0.1176794133053955;0.034101623886851756;0.06631744368779466;0.013645887899423783;0.23666841278156103
3;0.11063383970665269;0.4240440020953379;0.11833420639078052;0.034101623886851756;0.06665793609219486;0.013645887899423783;0.2325825039287585
4;0.1108695652173913;0.42742273441592454;0.11851754845468832;0.034101623886851756;0.06710319539025668;0.013645887899423783;0.22833944473546358
5;0.11050288108957569;0.43012048192771085;0.11898899947616554;0.034101623886851756;0.0677579884756417;0.013645887899423783;0.2248821372446307
6;0.10948140387637506;0.43512310110005237;0.11930330015715034;0.034101623886851756;0.0674960712414877;0.013645887899423783;0.22084861183865898
7;0.10869565217391304;0.43808276584599265;0.11961760083813515;0.034101623886851756;0.0676270298585647;0.013645887899423783;0.2182294394971189
8;0.10775275013095861;0.4420639078051336;0.11974855945521215;0.034101623886851756;0.0680199057097957;0.013645887899423783;0.2146673651126244
9;0.10735987427972761;0.4450235725510739;0.11985332634887376;0.034101623886851756;0.06828182294394972;0.013645887899423783;0.21173389209009952
10;0.10667888947092719;0.44895233106338395;0.11893661602933472;0.034101623886851756;0.06917234154007333;0.013645887899423783;0.20851231011000523
11;0.10662650602409639;0.45170246202200104;0.11919853326348874;0.034101623886851756;0.06959140911471975;0.013645887899423783;0.20513357778941854
12;0.10602409638554217;0.45474070193818755;0.11943425877422735;0.034101623886851756;0.06995809324253537;0.013645887899423783;0.20209533787323206
13;0.10547407019381876;0.4573074908328968;0.11904138292299633;0.034101623886851756;0.06998428496595076;0.013645887899423783;0.2004452592980618
14;0.10481927710843374;0.4605290728129911;0.11961760083813515;0.034101623886851756;0.06995809324253537;0.013645887899423783;0.19732844421162912
15;0.10437401781037192;0.46241487689889993;0.12053431115767417;0.034101623886851756;0.06985332634887376;0.013645887899423783;0.19507595599790467
16;0.10416448402304872;0.4644054478784704;0.12045573598742797;0.034101623886851756;0.07011524358302776;0.013645887899423783;0.1931115767417496
17;0.10290728129910948;0.46665793609219486;0.12050811943425878;0.034101623886851756;0.07063907805133578;0.013645887899423783;0.19154007333682557
18;0.10282870612886327;0.4678889470927187;0.12035096909376637;0.034101623886851756;0.07124148768989;0.013645887899423783;0.1899423782084861
19;0.10251440544787847;0.4705081194342588;0.12016762702985856;0.034101623886851756;0.071110529072813;0.013645887899423783;0.18795180722891566
20;0.10243583027763227;0.47252488213724464;0.12035096909376637;0.034101623886851756;0.07079622839182818;0.013645887899423783;0.186144578313253
