iteration;indicator:mode_share:bicycle;indicator:mode_share:car;indicator:mode_share:car_passenger;indicator:mode_share:pt;indicator:mode_share:walk;criterion:mode_share:bicycle;criterion:mode_share:car;criterion:mode_share:car_passenger;criterion:mode_share:pt;criterion:mode_share:walk
0;0.05171772442012552;0.5450760166552672;0.1571450856162329;0.1365419921523453;0.10951918115602914;NaN;NaN;NaN;NaN;NaN
1;0.05097622938110516;0.548584855026657;0.1575683122025691;0.13617117708097276;0.10669942630869601;NaN;NaN;NaN;NaN;NaN
2;0.04973462231068145;0.5530992323002559;0.1571888920481471;0.13593498246611696;0.1040422708747986;NaN;NaN;NaN;NaN;NaN
3;0.0493978603696583;0.555596183107064;0.15741734586758827;0.1357261650605678;0.10186244559512155;NaN;NaN;NaN;NaN;NaN
4;0.04936806991167074;0.5579543318925014;0.15685491448975755;0.13624083818831048;0.09958184551775982;NaN;NaN;NaN;NaN;NaN
5;0.04894442755944171;0.5596404273724078;0.15673438851611998;0.13704907301334954;0.09763168353868094;NaN;NaN;NaN;NaN;NaN
6;0.04826239114511272;0.5640805032031532;0.1563789835947401;0.13586950202885745;0.09540862002813659;NaN;NaN;NaN;NaN;NaN
7;0.047828757518513794;0.5661918944916383;0.15630396235817678;0.13567513066858275;0.0940002549630883;NaN;NaN;NaN;NaN;NaN
8;0.04715707875278294;0.5692417723125195;0.1556829586222012;0.13584191765968;0.09207627265281638;NaN;NaN;NaN;NaN;NaN
9;0.046957481800094306;0.5714482869662224;0.15538636703430667;0.13567411530632195;0.09053374889305471;NaN;NaN;NaN;NaN;NaN
10;0.04643920311426609;0.5744561483856194;0.15369819097778795;0.1367300206091138;0.08867643691321273;NaN;NaN;NaN;NaN;NaN
11;0.046352548876301844;0.5770030147999269;0.1535720811255253;0.1360428467019916;0.08702950849625433;NaN;NaN;NaN;NaN;NaN
12;0.04601743722825468;0.5787406952127296;0.15350907145621343;0.13621980923763347;0.0855129868651688;NaN;NaN;NaN;NaN;NaN
13;0.04557567785174013;0.5813592188970663;0.15243300862978126;0.1360806504655092;0.08455144415590307;NaN;NaN;NaN;NaN;NaN
14;0.045081272803262205;0.5837070338533136;0.15265054388957291;0.1355826904178292;0.08297845903602209;NaN;NaN;NaN;NaN;NaN
15;0.044820010140273786;0.5846318517266633;0.15368148273336713;0.1350121119936905;0.0818545434060053;NaN;NaN;NaN;NaN;NaN
16;0.04460832808705819;0.5863611835596726;0.15303759330875077;0.13517402644122672;0.08081886860329167;NaN;NaN;NaN;NaN;NaN
17;0.0439715675942328;0.5879095006390564;0.15252147005403952;0.13562571473417495;0.07997174697849631;NaN;NaN;NaN;NaN;NaN
18;0.043957151012458444;0.5888713522952416;0.15254597759047203;0.1354086212879322;0.0792168978138957;NaN;NaN;NaN;NaN;NaN
19;0.04382033773287587;0.5910660601928944;0.15200214575486987;0.1348584584092357;0.07825299791012416;NaN;NaN;NaN;NaN;NaN
19;0.043740724623126795;0.5925417601178321;0.15193206797665673;0.13439114473493344;0.07739430254745087;NaN;NaN;NaN;NaN;NaN
