# Per-source-Kreis one-seat-to-ZGB PT entry stops (rail+bus), EPSG:25832. Generated by scripts/extract_incommuter_pt_entry_stops.py from the cordon transit schedule.
source_ars5,stop_id,x,y
03155,195454.link:25017,575088.8231761816,5744488.523289489
03155,227747.link:213080,571642.7468536709,5746773.040768886
03155,227747.link:545261,571642.7468536709,5746773.040768886
03155,27178.link:214633,568178.1921128549,5728482.148147929
03155,27178.link:214634,568178.1921128549,5728482.148147929
03155,274850.link:776348,573159.9287785369,5746531.641492795
03155,305991.link:721010,575754.1152874423,5746622.772696999
03155,345085.link:502129,574487.8639701714,5745919.790231573
03155,345085.link:502130,574487.8639701714,5745919.790231573
03155,349468.link:75717,570643.211438161,5747161.543054092
03155,349468.link:75718,570643.211438161,5747161.543054092
03155,350816.link:230686,566658.8486589607,5744955.68555384
03155,350816.link:230687,566658.8486589607,5744955.68555384
03155,350816.link:266012,566658.8486589607,5744955.68555384
03155,350816.link:266013,566658.8486589607,5744955.68555384
03155,524998.link:935386,572733.3472888306,5745990.710202909
03155,524998.link:935387,572733.3472888306,5745990.710202909
03155,539201.link:692481,571199.9353391445,5746827.1366674015
03155,630388.link:480157,564586.240301418,5720097.539671317
03155,630388.link:480158,564586.240301418,5720097.539671317
03155,641515.link:890620,563632.860019209,5738993.189585389
03155,641515.link:890621,563632.860019209,5738993.189585389
03155,658568.link:874635,570245.6779778528,5746778.861200005
03155,658568.link:874636,570245.6779778528,5746778.861200005
03155,660420.link:545344,571036.008099792,5747145.289730787
03155,673976.link:200802,573058.0453111262,5746490.888788093
03155,673985.link:452734,571535.8489147209,5746354.370017201
03155,673985.link:452735,571535.8489147209,5746354.370017201
03155,9717.link:582197,575096.7243503195,5744499.209323726
03155,9717.link:582198,575096.7243503195,5744499.209323726
03159,100298.link:592140,585080.0840955656,5740069.105493155
03159,100518.link:146076,599774.1960682276,5720045.5089261215
03159,100518.link:146077,599774.1960682276,5720045.5089261215
03159,113431.link:821522,582607.904167944,5737594.415976282
03159,117623.link:830801,586030.9103590335,5732167.9976447215
03159,127650.link:784555,598677.783666165,5719967.93144927
03159,127650.link:784556,598677.783666165,5719967.93144927
03159,127765.link:420428,592554.194478492,5723003.568400355
03159,132489.link:14690,595199.9970405491,5720720.736298384
03159,133248.link:109654,592198.5375902171,5723452.398451897
03159,133248.link:109655,592198.5375902171,5723452.398451897
03159,134887.link:823053,607318.2920113965,5717836.414786642
03159,134887.link:823054,607318.2920113965,5717836.414786642
03159,137448.link:412316,596897.9217263771,5720212.759023608
03159,146852.link:667423,609557.005559307,5723785.844254105
