Tabelle: 12251-0104
Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer, Jahre, Geschlecht, Stellung im Beruf, Zeitaufwand für den Hinweg zur Arbeitsstätte;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;
;;;;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte
;;;;Unter 10 Minuten;Unter 10 Minuten;10 bis unter 30 Minuten;10 bis unter 30 Minuten;30 bis unter 60 Minuten;30 bis unter 60 Minuten;60 Minuten und mehr;60 Minuten und mehr;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;Berlin;weiblich;Beamte;/;;/;;/;;/;;/;;33;()
2024;Berlin;weiblich;Arbeiter und Angestellte;50;e;277;e;274;e;57;e;/;;750;e
2024;Berlin;weiblich;Auszubildende;/;;/;;/;;/;;/;;24;()
2024;Berlin;weiblich;Insgesamt;67;e;311;e;313;e;65;e;/;;888;e
2024;Berlin;Insgesamt;Selbstständige ohne Beschäftigte;/;;26;();23;();/;;27;();154;e
2024;Berlin;Insgesamt;Selbstständige mit Beschäftigten;/;;24;();/;;/;;/;;73;e
2024;Berlin;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Berlin;Insgesamt;Beamte;/;;26;();30;();/;;/;;71;e
2024;Berlin;Insgesamt;Arbeiter und Angestellte;99;e;518;e;551;e;125;e;30;();1520;e
2024;Berlin;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;50;e
2024;Berlin;Insgesamt;Insgesamt;134;e;609;e;642;e;146;e;63;e;1871;e
2024;Brandenburg;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;33;()
2024;Brandenburg;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;42;e
2024;Brandenburg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Beamte;/;;/;;/;;/;;/;;36;()
2024;Brandenburg;männlich;Arbeiter und Angestellte;77;e;187;e;134;e;58;e;/;;525;e
2024;Brandenburg;männlich;Auszubildende;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Insgesamt;96;e;221;e;161;e;75;e;28;();660;e
