iteration,outcome,count,share
10,child_free,73,0.026080743122543767
10,day_ticket_cap_applied,342,0.12218649517684887
10,external_local_flat,17,0.006073597713469096
10,external_national_flat,5,0.0017863522686673813
10,external_rail_nt,21,0.007502679528403001
10,no_pt_leg,1254,0.4480171489817792
10,vrb_flat_national,274,0.09789210432297249
10,vrb_flat_regional,84,0.030010718113612004
10,vrb_short_trip,155,0.055376920328688815
10,vrb_single_adult,856,0.30582350839585565
10,vrb_single_child,60,0.021436227224008574
