iteration,outcome,count,share
18,child_free,72,0.03543307086614173
18,day_ticket_cap_applied,623,0.3065944881889764
18,external_local_flat,2,9.84251968503937E-4
18,external_national_flat,3,0.0014763779527559055
18,external_rail_nt,26,0.012795275590551181
18,no_pt_leg,808,0.39763779527559057
18,vrb_flat_national,105,0.05167322834645669
18,vrb_flat_regional,39,0.019192913385826772
18,vrb_short_trip,141,0.06938976377952756
18,vrb_single_adult,784,0.3858267716535433
18,vrb_single_child,52,0.025590551181102362
