iteration,outcome,count,share
1,child_free,69,0.02313107609788803
1,day_ticket_cap_applied,561,0.18806570566543748
1,external_local_flat,10,0.003352329869259135
1,external_national_flat,1,3.3523298692591353E-4
1,external_rail_nt,31,0.01039222259470332
1,no_pt_leg,1153,0.38652363392557826
1,vrb_flat_national,237,0.07945021790144151
1,vrb_flat_regional,111,0.0372108615487764
1,vrb_short_trip,130,0.04358028830036876
1,vrb_single_adult,1138,0.3814951391216896
1,vrb_single_child,103,0.034528997653369094
