iteration,outcome,count,share
2,child_free,37,0.014063093880653743
2,day_ticket_cap_applied,314,0.1193462561763588
2,external_local_flat,14,0.005321170657544659
2,external_national_flat,3,0.0011402508551881414
2,external_rail_nt,34,0.012922843025465602
2,no_pt_leg,1109,0.42151273280121626
2,vrb_flat_national,198,0.07525655644241733
2,vrb_flat_regional,38,0.01444317749904979
2,vrb_short_trip,159,0.06043329532497149
2,vrb_single_adult,989,0.37590269859369063
2,vrb_single_child,50,0.019004180919802355
