iteration,outcome,count,share
20,child_free,48,0.02475502836513667
20,day_ticket_cap_applied,216,0.111397627643115
20,external_local_flat,14,0.007220216606498195
20,external_national_flat,7,0.0036101083032490976
20,external_rail_nt,14,0.007220216606498195
20,no_pt_leg,774,0.3991748323878288
20,vrb_flat_national,123,0.06343476018566271
20,vrb_flat_regional,58,0.029912325941206807
20,vrb_short_trip,136,0.07013924703455389
20,vrb_single_adult,697,0.3594636410520887
20,vrb_single_child,68,0.035069623517276945
