iteration,outcome,count,share
15,child_free,64,0.02574416733708769
15,day_ticket_cap_applied,825,0.33185840707964603
15,external_local_flat,6,0.002413515687851971
15,external_national_flat,4,0.0016090104585679806
15,external_rail_nt,21,0.008447304907481898
15,no_pt_leg,980,0.39420756234915527
15,vrb_flat_national,145,0.0583266291230893
15,vrb_flat_regional,89,0.03580048270313757
15,vrb_short_trip,171,0.06878519710378117
15,vrb_single_adult,944,0.3797264682220434
15,vrb_single_child,62,0.0249396621078037
