iteration,outcome,count,share
5,child_free,72,0.029788994621431527
5,day_ticket_cap_applied,223,0.09226313611915597
5,external_local_flat,14,0.005792304509722797
5,external_national_flat,8,0.0033098882912701694
5,external_rail_nt,14,0.005792304509722797
5,no_pt_leg,978,0.40463384360777827
5,vrb_flat_national,121,0.050062060405461316
5,vrb_flat_regional,97,0.04013239553165081
5,vrb_short_trip,137,0.05668183698800165
5,vrb_single_adult,891,0.3686388084402151
5,vrb_single_child,85,0.03516756309474555
