iteration,outcome,count,share
19,child_free,52,0.0196078431372549
19,day_ticket_cap_applied,237,0.08936651583710407
19,external_local_flat,6,0.0022624434389140274
19,external_national_flat,5,0.001885369532428356
19,external_rail_nt,10,0.003770739064856712
19,no_pt_leg,1079,0.4068627450980392
19,vrb_flat_national,220,0.08295625942684766
19,vrb_flat_regional,87,0.032805429864253395
19,vrb_short_trip,173,0.06523378582202112
19,vrb_single_adult,926,0.3491704374057315
19,vrb_single_child,94,0.03544494720965309
