iteration,outcome,count,share
9,child_free,45,0.018765638031693076
9,day_ticket_cap_applied,408,0.1701417848206839
9,external_local_flat,12,0.0050041701417848205
9,external_national_flat,3,0.0012510425354462051
9,external_rail_nt,36,0.015012510425354461
9,no_pt_leg,1055,0.43994995829858213
9,vrb_flat_national,118,0.04920767306088407
9,vrb_flat_regional,35,0.014595496246872394
9,vrb_short_trip,159,0.06630525437864887
9,vrb_single_adult,861,0.35904920767306087
9,vrb_single_child,74,0.030859049207673062
