iteration,outcome,count,share
6,child_free,40,0.017969451931716084
6,day_ticket_cap_applied,332,0.14914645103324348
6,external_local_flat,12,0.005390835579514825
6,external_national_flat,10,0.004492362982929021
6,external_rail_nt,31,0.013926325247079964
6,no_pt_leg,911,0.40925426774483376
6,vrb_flat_national,200,0.08984725965858041
6,vrb_flat_regional,57,0.025606469002695417
6,vrb_short_trip,106,0.047619047619047616
6,vrb_single_adult,788,0.35399820305480684
6,vrb_single_child,71,0.03189577717879605
