iteration,outcome,count,share
12,child_free,40,0.013637913399249914
12,day_ticket_cap_applied,577,0.19672690078418
12,external_local_flat,14,0.00477326968973747
12,external_national_flat,2,6.818956699624957E-4
12,external_rail_nt,34,0.011592226389362428
12,no_pt_leg,1301,0.4435731333106035
12,vrb_flat_national,257,0.0876235935901807
12,vrb_flat_regional,70,0.02386634844868735
12,vrb_short_trip,157,0.053528810092055915
12,vrb_single_adult,993,0.33856120013637914
12,vrb_single_child,65,0.02216160927378111
