iteration;bicycle;car;car_passenger;outside;pt;truck;walk
0;0.11375065479308538;0.4103457307490833;0.11639601885804086;0.034101623886851756;0.06558407543216344;0.013645887899423783;0.24617600838135148
1;0.11286013619696177;0.414903090623363;0.11726034573074909;0.034101623886851756;0.06592456783656364;0.013645887899423783;0.24130434782608695
2;0.1108695652173913;0.420717653221582;0.1176794133053955;0.034101623886851756;0.06631744368779466;0.013645887899423783;0.23666841278156103
3;0.11063383970665269;0.4239916186485071;0.11836039811419591;0.034101623886851756;0.06668412781561027;0.013645887899423783;0.2325825039287585
4;0.1108695652173913;0.427317967522263;0.11854374017810372;0.034101623886851756;0.06718177056050288;0.013645887899423783;0.22833944473546358
5;0.11050288108957569;0.42998952331063384;0.11904138292299633;0.034101623886851756;0.0678365636458879;0.013645887899423783;0.2248821372446307
6;0.10953378732320587;0.4348873755893138;0.11938187532739654;0.034101623886851756;0.06760083813514929;0.013645887899423783;0.22084861183865898
7;0.10874803562074384;0.43784704033525407;0.11969617600838135;0.034101623886851756;0.06773179675222629;0.013645887899423783;0.2182294394971189
8;0.10772655840754322;0.4419067574646412;0.11982713462545835;0.034101623886851756;0.06812467260345731;0.013645887899423783;0.2146673651126244
9;0.1074646411733892;0.44481403876375064;0.11985332634887376;0.034101623886851756;0.06838658983761131;0.013645887899423783;0.21173389209009952
10;0.10670508119434259;0.44876898899947615;0.11904138292299633;0.034101623886851756;0.06925091671031953;0.013645887899423783;0.20848611838658984
11;0.1066526977475118;0.45149292823467785;0.11932949188056574;0.034101623886851756;0.06964379256155055;0.013645887899423783;0.20513357778941854
12;0.10631220534311157;0.45426925091671033;0.11969617600838135;0.034101623886851756;0.06990570979570455;0.013645887899423783;0.20206914614981666
13;0.10560502881089576;0.4570979570455736;0.11925091671031954;0.034101623886851756;0.06987951807228916;0.013645887899423783;0.20041906757464642
14;0.10510738606600314;0.4602409638554217;0.11977475117862756;0.034101623886851756;0.06985332634887376;0.013645887899423783;0.1972760607647983
15;0.10460974332111053;0.46233630172865375;0.12048192771084337;0.034101623886851756;0.06974855945521215;0.013645887899423783;0.19507595599790467
16;0.10419067574646412;0.4644054478784704;0.12027239392352017;0.034101623886851756;0.07019381875327396;0.013645887899423783;0.19319015191199582
17;0.10293347302252488;0.4667365112624411;0.12029858564693557;0.034101623886851756;0.07071765322158198;0.013645887899423783;0.19156626506024096
18;0.10293347302252488;0.4680722891566265;0.12019381875327396;0.034101623886851756;0.07113672079622839;0.013645887899423783;0.18991618648507072
19;0.10261917234154007;0.4706652697747512;0.12006286013619696;0.034101623886851756;0.07097957045573598;0.013645887899423783;0.18792561550550027
20;0.10240963855421686;0.47270822420115244;0.12032477737035097;0.034101623886851756;0.07061288632792037;0.013645887899423783;0.18619696176008382
