code,cdf,distance_km_euclid
03101,0.0,0.015489996128648294
03101,0.05263157894736842,0.7530842192899617
03101,0.10526315789473684,1.4647930107777352
03101,0.15789473684210525,2.038587905677508
03101,0.21052631578947367,2.327836088799335
03101,0.2631578947368421,2.922481296784084
03101,0.3157894736842105,3.546812108255085
03101,0.3684210526315789,4.151996936115271
03101,0.42105263157894735,4.767853104541168
03101,0.47368421052631576,5.2127795337875
03101,0.5263157894736842,5.942857952865825
03101,0.5789473684210527,6.922768632291457
03101,0.631578947368421,8.307323273797289
03101,0.6842105263157894,11.281790017730351
03101,0.7368421052631579,16.801573898524953
03101,0.7894736842105263,22.367017581699013
03101,0.8421052631578947,24.794228273018756
03101,0.894736842105263,38.19231538995297
03101,0.9473684210526315,115.251455908635
03101,1.0,493.14871707088463
03102,0.0,0.05411264362475878
03102,0.05263157894736842,1.0167332794881558
03102,0.10526315789473684,1.7286348943982384
03102,0.15789473684210525,2.5248935739786456
03102,0.21052631578947367,3.7669700755462716
03102,0.2631578947368421,5.08243789171389
03102,0.3157894736842105,6.373249251139311
03102,0.3684210526315789,7.015853370194753
03102,0.42105263157894735,7.377277283937519
03102,0.47368421052631576,8.067012724605682
03102,0.5263157894736842,8.912445197072255
03102,0.5789473684210527,10.246259701727356
03102,0.631578947368421,12.672703639992
03102,0.6842105263157894,15.371153070527837
03102,0.7368421052631579,18.265459205344968
03102,0.7894736842105263,20.770871583606866
03102,0.8421052631578947,26.474672622229566
03102,0.894736842105263,36.158572682746765
03102,0.9473684210526315,59.44469215891355
03102,1.0,476.60154750760074
03103,0.0,0.15483226559533184
03103,0.05263157894736842,1.13556363988138
03103,0.10526315789473684,1.5073368829910732
03103,0.15789473684210525,1.87436635161964
03103,0.21052631578947367,2.1908808403372038
03103,0.2631578947368421,2.4150706162304427
03103,0.3157894736842105,2.660286096725007
03103,0.3684210526315789,3.0180749403718585
03103,0.42105263157894735,3.660456268009662
03103,0.47368421052631576,4.155616416704405
03103,0.5263157894736842,4.524175988195327
03103,0.5789473684210527,4.916020085212591
03103,0.631578947368421,5.259865060977123
03103,0.6842105263157894,5.848329209809198
03103,0.7368421052631579,7.307082956438782
03103,0.7894736842105263,10.968614036378131
03103,0.8421052631578947,18.268840795922408
03103,0.894736842105263,24.542079562225947
03103,0.9473684210526315,71.32077757533973
03103,1.0,504.88892533748555
03151,0.0,0.03195945621138231
03151,0.05263157894736842,1.1880898568329243
03151,0.10526315789473684,2.079944165172257
03151,0.15789473684210525,2.9319290682519545
03151,0.21052631578947367,3.9428267765219105
03151,0.2631578947368421,5.420789507358628
03151,0.3157894736842105,7.416720451370937
03151,0.3684210526315789,9.495823051517522
03151,0.42105263157894735,11.231242268374393
03151,0.47368421052631576,13.162446900229064
03151,0.5263157894736842,14.623646568236726
03151,0.5789473684210527,16.562763488393283
03151,0.631578947368421,18.264673593560616
03151,0.6842105263157894,21.499591012362043
03151,0.7368421052631579,24.428267852027716
