code,scope,n_model,is_aggregate,model_share_0_5,model_share_5_10,model_share_10_20,model_share_20_30,model_share_30_50,model_share_50_100,model_share_100_plus,n_reference_persons,source,emd,noise_floor,target_share_0_5,target_share_5_10,target_share_10_20,target_share_20_30,target_share_30_50,target_share_50_100,target_share_100_plus,target_share_raw_0_5,target_share_raw_5_10,target_share_raw_10_20,target_share_raw_20_30,target_share_raw_30_50,target_share_raw_50_100,target_share_raw_100_plus,classification,variant
03101,inter_zgb,17605,False,0.008293098551547856,0.026696961090599262,0.29094007384265835,0.28099971598977563,0.37898324339676226,0.014086907128656631,0.0,310,srv,0.014028117947623023,0.02297251973,0.001635924496,0.03230117161,0.2566280529,0.2803559559,0.420076829,0.009002066106,0.0,0.0,0.0227066807,0.2587036216,0.2741244041,0.4405187958,0.003946497891,0.0,ok,inter_zgb
03102,inter_zgb,8273,False,0.005922881663241871,0.04085579596277046,0.2668923002538378,0.41992022241025023,0.20355372899794513,0.0617671944880938,0.0010878762238607518,135,srv,0.0292078373294186,0.03969869795,0.0112007324,0.09061914991,0.2011885778,0.3465531451,0.3067313036,0.04370709115,0.0,0.01452920793,0.1117858584,0.1648884207,0.3812786106,0.2697124678,0.05780543455,0.0,ok,inter_zgb
03103,inter_zgb,4812,False,0.0020781379883624274,0.03740648379052369,0.19181213632585203,0.48960931005818786,0.2485453034081463,0.03054862842892768,0.0,445,proxy_rs7_72,0.03471037848564448,0.02076494433,0.005072428477,0.05380595053,0.2259509141,0.3115340173,0.3808869916,0.02274969799,0.0,0.005072428477,0.05380595053,0.2259509141,0.3115340173,0.3808869916,0.02274969799,0.0,ok,inter_zgb
03151,inter_zgb,29021,False,0.017607939078598256,0.09076186209985872,0.35277902208745393,0.2540918645119052,0.24682126735812,0.03773129802556769,0.00020674683849626133,600,srv,0.01921325378029627,0.03809352426,0.01780725179,0.132473785,0.3430863805,0.2440026259,0.24330619,0.01932376684,0.0,0.01684940844,0.1321119172,0.3226489766,0.2512188022,0.2575831674,0.01958772808,0.0,ok,inter_zgb
03153,inter_zgb,11129,False,0.025608769880492408,0.1107017701500584,0.2820558900170725,0.17045556653787403,0.24665288884895317,0.16227873124269926,0.002246383322850211,246,srv,0.05393838654272043,0.0291856659,0.01358790862,0.1189180459,0.3568319618,0.2279179042,0.224372244,0.05837193535,0.0,0.0123005818,0.1307086901,0.3575414235,0.2310495391,0.2077337562,0.06066600929,0.0,ok,inter_zgb
03154,inter_zgb,14805,False,0.003850050658561297,0.051536643026004726,0.3739952718676123,0.2210739614994934,0.31570415400202634,0.033772374197906116,6.754474839581223e-05,336,srv,0.04075592497418611,0.03291102922,0.01530734043,0.07961834572,0.4675119399,0.1216099551,0.2552880916,0.06066432721,0.0,0.01285288465,0.06324136778,0.4680479923,0.09806959418,0.2843487363,0.07343942477,0.0,ok,inter_zgb
03157,inter_zgb,16214,False,0.015048723325521155,0.09571974836560997,0.3482792648328605,0.3055384235845566,0.18305168373010977,0.05236215616134205,0.0,344,srv,0.04749972824035833,0.02773162629,0.02218901099,0.1374668065,0.4333396608,0.2504563184,0.1203434047,0.03620479853,0.0,0.02464892861,0.1461104851,0.4420316122,0.2476223267,0.1026802871,0.0369063602,0.0,ok,inter_zgb
03158,inter_zgb,20795,False,0.009136811733589805,0.07747054580427988,0.38018754508295266,0.2578023563356576,0.24361625390718922,0.031690310170714116,9.617696561673479e-05,330,srv,0.05698375727719766,0.02259190085,0.0186825839,0.08941916275,0.5149540122,0.2412658367,0.1186729298,0.01700547476,0.0,0.020184308,0.0838696509,0.5487463345,0.2355266206,0.09975426325,0.01191882277,0.0,ok,inter_zgb
zgb,inter_zgb,122654,True,0.012164299574412575,0.07158347872878178,0.331990803398177,0.2742348394671189,0.2622662122719194,0.047409786880166976,0.00035057967942341874,2301,srv,0.0213889923819242,0.01308821128,0.01398242615,0.09870382928,0.3580745871,0.2468956515,0.2491045767,0.0332389292,0.0,0.01398242615,0.09870382928,0.3580745871,0.2468956515,0.2491045767,0.0332389292,0.0,ok,inter_zgb
03101,all,72754,False,0.3528603238309921,0.2670093740550348,0.11167770844214751,0.06821618055364653,0.09527998460565743,0.04515215658245595,0.059804271930065704,1419,srv,0.047301098507595535,0.01913008701,0.3715193318,0.2615214637,0.1570545891,0.07193788247,0.1078349995,0.02666159342,0.003470140006,0.374671876,0.2632258276,0.1547582155,0.07011492634,0.1079789269,0.02581127727,0.003438950469,ok,all_gis_fallback
