kreis_ags5,ags8,gemeinde,stichtag,ev_share,bev_share,phev_share,fuelcell_share,gemeinde_norm
03154,03154019,Schöningen,2026-04-01,0.043,0.0,0.0,0.0,SCHOENINGEN
03154,03154027,Söllingen,2026-04-01,0.043,0.0,0.0,0.0,SOELLINGEN
03154,03154021,Süpplingen,2026-04-01,0.04,0.0,0.0,0.0,SUEPPLINGEN
03154,03154022,Süpplingenburg,2026-04-01,0.076,0.0,0.0,0.0,SUEPPLINGENBURG
03154,03154024,Velpke,2026-04-01,0.063,0.0,0.0,0.0,VELPKE
03154,03154025,Warberg,2026-04-01,0.04,0.0,0.0,0.0,WARBERG
03154,03154026,Wolsdorf,2026-04-01,0.043,0.0,0.0,0.0,WOLSDORF
03157,03157001,Edemissen,2026-04-01,0.069,0.0,0.0,0.0,EDEMISSEN
03157,03157002,Hohenhameln,2026-04-01,0.065,0.0,0.0,0.0,HOHENHAMELN
03157,03157009,Ilsede,2026-04-01,0.057,0.0,0.0,0.0,ILSEDE
03157,03157005,Lengede,2026-04-01,0.064,0.0,0.0,0.0,LENGEDE
03157,03157006,Peine,2026-04-01,0.059000000000000004,0.0,0.0,0.0,PEINE
03157,03157007,Vechelde,2026-04-01,0.075,0.0,0.0,0.0,VECHELDE
03157,03157008,Wendeburg,2026-04-01,0.07200000000000001,0.0,0.0,0.0,WENDEBURG
03158,03158002,Baddeckenstedt,2026-04-01,0.063,0.0,0.0,0.0,BADDECKENSTEDT
03158,03158004,Burgdorf,2026-04-01,0.054000000000000006,0.0,0.0,0.0,BURGDORF
03158,03158038,Börßum,2026-04-01,0.047,0.0,0.0,0.0,BOERSSUM
03158,03158005,Cramme,2026-04-01,0.068,0.0,0.0,0.0,CRAMME
03158,03158006,Cremlingen,2026-04-01,0.071,0.0,0.0,0.0,CREMLINGEN
03158,03158007,Dahlum,2026-04-01,0.038,0.0,0.0,0.0,DAHLUM
03158,03158008,Denkte,2026-04-01,0.068,0.0,0.0,0.0,DENKTE
03158,03158009,Dettum,2026-04-01,0.045,0.0,0.0,0.0,DETTUM
03158,03158010,Dorstadt,2026-04-01,0.054000000000000006,0.0,0.0,0.0,DORSTADT
03158,03158011,Elbe,2026-04-01,0.055999999999999994,0.0,0.0,0.0,ELBE
03158,03158012,Erkerode,2026-04-01,0.09,0.0,0.0,0.0,ERKERODE
03158,03158013,Evessen,2026-04-01,0.06,0.0,0.0,0.0,EVESSEN
03158,03158014,Flöthe,2026-04-01,0.063,0.0,0.0,0.0,FLOETHE
03158,03158016,Haverlah,2026-04-01,0.05,0.0,0.0,0.0,HAVERLAH
03158,03158017,Hedeper,2026-04-01,0.040999999999999995,0.0,0.0,0.0,HEDEPER
03158,03158018,Heere,2026-04-01,0.046,0.0,0.0,0.0,HEERE
03158,03158019,Heiningen,2026-04-01,0.044000000000000004,0.0,0.0,0.0,HEININGEN
03158,03158021,Kissenbrück,2026-04-01,0.08,0.0,0.0,0.0,KISSENBRUECK
03158,03158022,Kneitlingen,2026-04-01,0.068,0.0,0.0,0.0,KNEITLINGEN
03158,03158023,Ohrum,2026-04-01,0.053,0.0,0.0,0.0,OHRUM
03158,03158040,Remlingen-Semmenstedt,2026-04-01,0.054000000000000006,0.0,0.0,0.0,REMLINGEN-SEMMENSTEDT
03158,03158025,Roklum,2026-04-01,0.048,0.0,0.0,0.0,ROKLUM
03158,03158039,Schladen-Werla,2026-04-01,0.054000000000000006,0.0,0.0,0.0,SCHLADEN-WERLA
03158,03158027,Schöppenstedt,2026-04-01,0.049,0.0,0.0,0.0,SCHOEPPENSTEDT
03158,03158028,Sehlde,2026-04-01,0.038,0.0,0.0,0.0,SEHLDE
03158,03158030,Sickte,2026-04-01,0.079,0.0,0.0,0.0,SICKTE
03158,03158031,Uehrde,2026-04-01,0.026000000000000002,0.0,0.0,0.0,UEHRDE
03158,03158032,Vahlberg,2026-04-01,0.05,0.0,0.0,0.0,VAHLBERG
03158,03158033,Veltheim (Ohe),2026-04-01,0.075,0.0,0.0,0.0,VELTHEIM
03158,03158035,Winnigstedt,2026-04-01,0.033,0.0,0.0,0.0,WINNIGSTEDT
03158,03158036,Wittmar,2026-04-01,0.05,0.0,0.0,0.0,WITTMAR
03158,03158037,Wolfenbüttel,2026-04-01,0.066,0.0,0.0,0.0,WOLFENBUETTEL
