cell_id,stichtag,ev_share,minx,miny,maxx,maxy,suppressed
5kmN3155E4320,2026-04-01,0.071,1111590.0368999988,6711231.421400003,1119614.3907999992,6719275.115199998,False
5kmN3155E4325,2026-04-01,0.076,1119608.0689999983,6711221.116800003,1127638.7331000008,6719272.732199997,False
5kmN3155E4330,2026-04-01,0.052000000000000005,1127624.5091999993,6711202.885600001,1135663.0494999997,6719262.405699998,False
5kmN3155E4335,2026-04-01,0.085,1135640.9235999994,6711176.727899998,1143687.3255999982,6719244.135799997,False
5kmN3155E4340,2026-04-01,0.06,1143657.297699999,6711142.6439,1151711.5469999984,6719217.922700003,False
5kmN3155E4345,2026-04-01,0.047,1151673.6174000017,6711100.6338,1159735.6992000006,6719183.766400002,False
5kmN3155E4350,2026-04-01,0.04,1159689.8682000004,6711050.697800003,1167759.7679999992,6719141.667199999,False
5kmN3155E4355,2026-04-01,0.03,1167706.0357999988,6710992.836199999,1175783.7388000004,6719091.625299998,False
5kmN3155E4360,2026-04-01,0.022000000000000002,1175722.105799999,6710927.0493,1183807.5973000005,6719033.641000003,False
5kmN3155E4365,2026-04-01,0.028999999999999998,1183738.0639000013,6710853.3376,1191831.3291000016,6718967.7146999985,False
5kmN3155E4370,2026-04-01,0.028999999999999998,1191753.8957999982,6710771.701399997,1199854.9197999984,6718893.846699998,False
5kmN3155E4375,2026-04-01,0.031,1199769.5870999992,6710682.1413,1207878.3550000004,6718812.0374,False
5kmN3155E4380,2026-04-01,0.025,1207785.1235000007,6710584.657700002,1215901.6202999987,6718722.2874,False
5kmN3155E4385,2026-04-01,0.021,1215800.490699999,6710479.251199998,1223924.7014000006,6718624.597199999,False
5kmN3155E4390,2026-04-01,0.022000000000000002,1223815.6743,6710365.922499999,1231947.5837999992,6718518.967200004,False
5kmN3155E4395,2026-04-01,0.023,1231830.6598999985,6710244.6721,1239970.2531999983,6718405.3983,False
5kmN3155E4400,2026-04-01,0.042,1239845.4332999997,6710115.5009,1247992.6950999983,6718283.890900001,False
5kmN3155E4405,2026-04-01,0.023,1247859.9802,6709978.409400001,1256014.895300001,6718154.445799999,False
5kmN3155E4410,2026-04-01,0.039,1255874.2862000018,6709833.398599997,1264036.8394000009,6718017.0638,False
5kmN3155E4415,2026-04-01,0.031,1263888.3368999995,6709680.469300002,1272058.5128999986,6717871.7456,False
5kmN3155E4420,2026-04-01,0.027000000000000003,1271902.1182000004,6709519.622299999,1280079.9015000015,6717718.492200002,False
5kmN3155E4425,2026-04-01,0.027000000000000003,1279915.615600001,6709350.8587,1288100.9908999987,6717557.304300003,False
5kmN3155E4430,2026-04-01,0.039,1287928.8148999996,6709174.179300003,1296121.7666999996,6717388.182999998,False
5kmN3155E4435,2026-04-01,0.027000000000000003,1295941.7016999982,6708989.585199997,1304142.2144999988,6717211.129299998,False
5kmN3160E4320,2026-04-01,0.067,1111588.4525999986,6719272.732199997,1119620.7280000001,6727324.311099999,False
5kmN3160E4325,2026-04-01,0.07400000000000001,1119614.3907999992,6719262.405699998,1127652.991700001,6727321.923,False
5kmN3160E4330,2026-04-01,0.054000000000000006,1127638.7331000008,6719244.135799997,1135685.2294999994,6727311.574600004,False
5kmN3160E4335,2026-04-01,0.042,1135663.0494999997,6719217.922700003,1143717.4268000014,6727293.265900001,False
5kmN3160E4340,2026-04-01,0.061,1143687.3255999982,6719183.766400002,1151749.5691,6727266.997100003,False
5kmN3160E4345,2026-04-01,0.04,1151711.5469999984,6719141.667199999,1159781.642099999,6727232.768299997,False
5kmN3160E4350,2026-04-01,0.034,1159735.6992000006,6719091.625299998,1167813.6312000006,6727190.579700001,False
5kmN3160E4355,2026-04-01,0.027999999999999997,1167759.7679999992,6719033.641000003,1175845.5221000016,6727140.431500003,False
5kmN3160E4360,2026-04-01,0.04,1175783.7388000004,6718967.7146999985,1183877.3002000004,6727082.324100003,False
5kmN3160E4365,2026-04-01,0.036000000000000004,1183807.5973000005,6718893.846699998,1191908.951200001,6727016.257799998,False
5kmN3160E4370,2026-04-01,0.026000000000000002,1191831.3291000016,6718812.0374,1199940.4604999982,6726942.232900001,False
5kmN3160E4375,2026-04-01,0.04,1199854.9197999984,6718722.2874,1207971.8137999997,6726860.25,False
5kmN3160E4380,2026-04-01,0.0,1207878.3550000004,6718624.597199999,1216002.9965000004,6726770.3094,True
5kmN3160E4385,2026-04-01,0.03,1215901.6202999987,6718518.967200004,1224033.9943000004,6726672.411799997,False
5kmN3160E4390,2026-04-01,0.043,1223924.7014000006,6718405.3983,1232064.7928000018,6726566.557599999,False
5kmN3160E4395,2026-04-01,0.017,1231947.5837999992,6718283.890900001,1240095.3773000017,6726452.747500002,False
5kmN3160E4400,2026-04-01,0.0,1239970.2531999983,6718154.445799999,1248125.7336999997,6726330.9821000025,True
5kmN3160E4405,2026-04-01,0.018000000000000002,1247992.6950999983,6718017.0638,1256155.8473000005,6726201.2623,False
5kmN3160E4410,2026-04-01,0.008,1256014.895300001,6717871.7456,1264185.7038999982,6726063.588600002,False
5kmN3160E4415,2026-04-01,0.031,1264036.8394000009,6717718.492200002,1272215.288899999,6725917.9619999975,False
5kmN3160E4420,2026-04-01,0.028999999999999998,1272058.5128999986,6717557.304300003,1280244.5879999995,6725764.383299999,False
5kmN3160E4425,2026-04-01,0.027000000000000003,1280079.9015000015,6717388.182999998,1288273.5866999999,6725602.853299998,False
5kmN3160E4430,2026-04-01,0.026000000000000002,1288100.9908999987,6717211.129299998,1296302.2707000002,6725433.373099998,False
5kmN3160E4435,2026-04-01,0.016,1296121.7666999996,6717026.144000001,1304330.625500001,6725255.943599999,False
5kmN3165E4320,2026-04-01,0.055,1111586.864500001,6727321.923,1119627.080600001,6735381.408799998,False
5kmN3165E4325,2026-04-01,0.043,1119620.7280000001,6727311.574600004,1127667.2851999998,6735379.015600003,False
5kmN3165E4330,2026-04-01,0.054000000000000006,1127652.991700001,6727293.265900001,1135707.4635999985,6735368.645199999,False
5kmN3165E4335,2026-04-01,0.046,1135685.2294999994,6727266.997100003,1143747.601399999,6735350.297600001,False
5kmN3165E4340,2026-04-01,0.040999999999999995,1143717.4268000014,6727232.768299997,1151787.6840999983,6735323.972900003,False
5kmN3165E4345,2026-04-01,0.04,1151749.5691,6727190.579700001,1159827.6970999986,6735289.671300001,False
5kmN3165E4350,2026-04-01,0.042,1159781.642099999,6727140.431500003,1167867.6259999983,6735247.392999999,False
5kmN3165E4355,2026-04-01,0.040999999999999995,1167813.6312000006,6727082.324100003,1175907.4563000016,6735197.1382,False
5kmN3165E4360,2026-04-01,0.052000000000000005,1175845.5221000016,6727016.257799998,1183947.1733999997,6735138.907200001,False
5kmN3165E4365,2026-04-01,0.033,1183877.3002000004,6726942.232900001,1191986.7628000006,6735072.700400002,False
5kmN3165E4370,2026-04-01,0.013999999999999999,1191908.951200001,6726860.25,1200026.2100999989,6734998.518100001,False
5kmN3165E4375,2026-04-01,0.0,1199940.4604999982,6726770.3094,1208065.5007999986,6734916.360799998,True
5kmN3165E4385,2026-04-01,0.013999999999999999,1216002.9965000004,6726566.557599999,1224143.5540999994,6734728.123199999,False
5kmN3165E4390,2026-04-01,0.035,1224033.9943000004,6726452.747500002,1232182.2879000008,6734622.043899998,False
5kmN3165E4395,2026-04-01,0.034,1232064.7928000018,6726330.9821000025,1240220.807,6734507.991899997,False
5kmN3165E4400,2026-04-01,0.022000000000000002,1240095.3773000017,6726201.2623,1248259.0969999991,6734385.967600003,False
5kmN3165E4405,2026-04-01,0.011000000000000001,1248125.7336999997,6726063.588600002,1256297.1433999985,6734255.972000003,False
5kmN3165E4410,2026-04-01,0.016,1256155.8473000005,6725917.9619999975,1264334.9318000004,6734118.0057,False
5kmN3165E4415,2026-04-01,0.026000000000000002,1264185.7038999982,6725764.383299999,1272372.4475999996,6733972.069499999,False
5kmN3165E4420,2026-04-01,0.03,1272215.288899999,6725602.853299998,1280409.6763999984,6733818.164300002,False
5kmN3165E4425,2026-04-01,0.023,1280244.5879999995,6725433.373099998,1288446.6037999988,6733656.291000001,False
5kmN3165E4430,2026-04-01,0.024,1288273.5866999999,6725255.943599999,1296483.2151999995,6733486.450499997,False
5kmN3165E4435,2026-04-01,0.033,1296302.2707000002,6725070.565800004,1304519.496199999,6733308.6439,False
5kmN3170E4320,2026-04-01,0.022000000000000002,1111585.2723999992,6735379.015600003,1119633.4488000013,6743446.430200003,False
5kmN3170E4325,2026-04-01,0.057999999999999996,1119627.080600001,6735368.645199999,1127681.613499999,6743444.031900004,False
5kmN3170E4330,2026-04-01,0.048,1127667.2851999998,6735350.297600001,1135729.7520999983,6743433.639399998,False
5kmN3170E4335,2026-04-01,0.049,1135707.4635999985,6735323.972900003,1143777.8498000018,6743415.252700001,False
5kmN3170E4340,2026-04-01,0.049,1143747.601399999,6735289.671300001,1151825.8922000006,6743388.8719,False
5kmN3170E4345,2026-04-01,0.057999999999999996,1151787.6840999983,6735247.392999999,1159873.8647000007,6743354.497299999,False
5kmN3170E4350,2026-04-01,0.034,1159827.6970999986,6735197.1382,1167921.752799999,6743312.128899999,False
5kmN3170E4355,2026-04-01,0.19,1167867.6259999983,6735138.907200001,1175969.5419000015,6743261.767099999,False
5kmN3170E4360,2026-04-01,0.031,1175907.4563000016,6735072.700400002,1184017.2173000015,6743203.412100002,False
5kmN3170E4365,2026-04-01,0.067,1183947.1733999997,6734998.518100001,1192064.7646999992,6743137.064300001,False
5kmN3170E4370,2026-04-01,0.028999999999999998,1191986.7628000006,6734916.360799998,1200112.169300001,6743062.723999999,False
5kmN3170E4375,2026-04-01,0.0,1200026.2100999989,6734826.229000002,1208159.4167999998,6742980.391800001,True
5kmN3170E4380,2026-04-01,0.024,1208065.5007999986,6734728.123199999,1216206.4924000017,6742890.068000004,False
5kmN3170E4385,2026-04-01,0.03,1216104.6202999987,6734622.043899998,1224253.3817000017,6742791.753300004,False
5kmN3170E4390,2026-04-01,0.034,1224143.5540999994,6734507.991899997,1232300.0700999983,6742685.448200002,False
5kmN3170E4395,2026-04-01,0.034,1232182.2879000008,6734385.967600003,1240346.5432000011,6742571.1532000005,False
5kmN3170E4400,2026-04-01,0.03,1240220.807,6734255.972000003,1248392.7862000018,6742448.869199999,False
5kmN3170E4405,2026-04-01,0.04,1248259.0969999991,6734118.0057,1256438.7848000005,6742318.5967999995,False
5kmN3170E4410,2026-04-01,0.012,1256297.1433999985,6733972.069499999,1264484.5243000016,6742180.3367,False
5kmN3170E4415,2026-04-01,0.012,1264334.9318000004,6733818.164300002,1272529.9902999997,6742034.0898,False
