n,c_inf,a,tau,r2
556,1.1974320081183367,0.41017268941333646,1.4238672238877408,0.22202824625051887
1108,1.1886800856620143,0.4264861654224056,1.6661985175870198,0.213327630670073
1655,1.2044822480331083,0.549810639378744,0.998560008025895,0.20724287347654302
2202,1.1987659580456473,0.4699543150609488,1.2248863055420176,0.19510177436013854
