code,n_workers,n_workers_not_employed,share_at_workplace,share_home,share_absent,share_no_workplace,n_employed,share_employed_no_work_trip,srv_share_home_office_day,srv_share_work_trip,srv_share_neither,delta_no_work_trip_pp,n_absent_general
03101,87075,6025,0.6322445784202159,0.0075946506541407395,0.06292825839568049,0.29723251252996297,123903,0.3675617216693704,0.1781074898,0.6275275302,0.19436498,-0.4910748130629583,6879
03102,35013,1287,0.6984760442933888,0.007674597083653108,0.061594123451375944,0.23225523517158206,45605,0.30137046376493803,0.05934990208,0.7138834791,0.2267666188,1.5253942884938032,2454
03103,38573,2849,0.6519096738221355,0.0037171266610909765,0.06127683300808475,0.2830963665086888,53805,0.348071740544559,,,,,2822
03151,60061,2139,0.6146434129817816,0.014419115627574842,0.0582600933809393,0.3126773780097043,87384,0.38501327474137137,0.1787013602,0.6441429156,0.1771557242,2.91561903413714,4663
03153,43674,1131,0.6546812782901678,0.02234285130857979,0.06616070516965593,0.2568151652315965,58766,0.34487628901065237,0.07836139891,0.6923515291,0.229287072,3.7227818100652343,3207
03154,29295,1188,0.6207864500321145,0.014963008777981303,0.06113661774151343,0.3031139234483907,42037,0.37871399005637896,0.1211166383,0.6670583375,0.2118250242,4.577232755637894,2297
03157,44851,2036,0.6012296079863647,0.01938763087411736,0.06192171901631361,0.3174610421232043,65712,0.3982986364743122,0.1469785561,0.6118816927,0.2411397512,1.018032917431222,3600
03158,42438,2017,0.6514476044068666,0.012332393885045692,0.061098300452643264,0.27512170125544455,58545,0.3483303441796909,0.1501351788,0.6603275151,0.1895373061,0.8657859279690872,3155
zgb,380980,18672,0.6368428223989607,0.012485137851675293,0.06177800756686334,0.28889403218250065,535757,0.3628716003710637,0.1417722931,0.6511223931,0.2071053138,1.399399347106367,29077
