code,scope,n_model,is_aggregate,model_share_0_1,model_share_1_2,model_share_2_5,model_share_5_10,model_share_10_20,model_share_20_plus,n_reference_persons,source,emd,noise_floor,target_share_0_1,target_share_1_2,target_share_2_5,target_share_5_10,target_share_10_20,target_share_20_plus,target_share_raw_0_1,target_share_raw_1_2,target_share_raw_2_5,target_share_raw_5_10,target_share_raw_10_20,target_share_raw_20_plus,classification,education_level
03101,education,6920,False,0.3565028901734104,0.2748554913294798,0.33829479768786125,0.030346820809248554,0.0,0.0,188,srv,0.03002232955889015,0.03651678016,0.3994670129,0.2459510948,0.2476492404,0.09063478526,0.0160937655,0.0002041012233,0.4034564607,0.2398002628,0.2465660944,0.097251987,0.01292519517,0.0,ok,kindergarten
03102,education,3864,False,0.22722567287784678,0.21765010351966874,0.3408385093167702,0.20315734989648032,0.011128364389233954,0.0,53,srv,0.10655043855622356,0.06282420068,0.3963496872,0.2728239452,0.240040191,0.06421121791,0.02619076822,0.0003841905381,0.4046191896,0.3017093907,0.2218413913,0.0378277687,0.03400225971,0.0,gap,kindergarten
03103,education,4464,False,0.41801075268817206,0.23431899641577061,0.26187275985663083,0.08579749103942652,0.0,0.0,241,proxy_rs7_72,0.011233964526960539,0.03196553135,0.4038050699,0.2583618481,0.2391531376,0.07943542687,0.01924451747,0.0,0.4038050699,0.2583618481,0.2391531376,0.07943542687,0.01924451747,0.0,ok,kindergarten
03151,education,7357,False,0.30256898192197906,0.18553758325404376,0.23297539758053554,0.2699469892619274,0.008971047981514204,0.0,140,srv,0.05736763497878509,0.0476695326,0.3270178786,0.2399248446,0.3073732192,0.0867201121,0.03863770247,0.0003262430492,0.3264702676,0.2388892089,0.2886058397,0.102552805,0.04348187885,0.0,ok,kindergarten
03153,education,3131,False,0.1855637176620888,0.12104758862983073,0.30916640051101885,0.36250399233471736,0.0217183008623443,0.0,68,srv,0.17739419147014182,0.05564216752,0.4106890585,0.2493413677,0.2521155206,0.05499527842,0.03194099209,0.0009177826439,0.4325731573,0.266095123,0.2292088983,0.03830145777,0.03382136359,0.0,gap,kindergarten
03154,education,3050,False,0.2577049180327869,0.22295081967213115,0.20852459016393443,0.28557377049180327,0.025245901639344263,0.0,37,srv,0.06785469963881971,0.06718404428,0.2961280686,0.2637942487,0.3459778214,0.06456152312,0.02896681752,0.0005715206701,0.2105700538,0.3243875303,0.379302878,0.06458093129,0.02115860665,0.0,ok,kindergarten
03157,education,5031,False,0.2291790896442059,0.15146094215861658,0.3385012919896641,0.25144106539455374,0.02941761081295965,0.0,94,srv,0.09240055429350509,0.04679318194,0.3273980251,0.2450657693,0.3168460897,0.07988459163,0.03040192462,0.0004035996485,0.3269868454,0.2489924022,0.2989721952,0.09619336773,0.0288551896,0.0,gap,kindergarten
03158,education,4180,False,0.2291866028708134,0.1992822966507177,0.2772727272727273,0.27870813397129185,0.01555023923444976,0.0,67,srv,0.08643709487178948,0.06712182178,0.3062288718,0.2407475502,0.357150326,0.0506499387,0.03664582562,0.008577487622,0.2740562416,0.2398114544,0.3922290954,0.02989709781,0.04379503468,0.02021107614,gap,kindergarten
zgb,education,37997,True,0.2872595204884596,0.20548990709792878,0.2896807642708635,0.20527936416032844,0.012290443982419665,0.0,647,srv,0.06688351821909608,0.0202454461,0.3634367433,0.2554729332,0.2750686802,0.07520368206,0.02881352397,0.002004437294,0.3634367433,0.2554729332,0.2750686802,0.07520368206,0.02881352397,0.002004437294,ok,kindergarten
03101,education,8563,False,0.35314726147378256,0.2683638911596403,0.3008291486628518,0.07380590914399159,0.0038537895597337384,0.0,143,srv,0.08009014018895719,0.03690886446,0.5372353502,0.2852570972,0.1085647264,0.05887111182,0.009625194252,0.0004465201137,0.5613968413,0.2952023131,0.07817868906,0.05454931508,0.0106728415,0.0,gap,grundschule
03102,education,4178,False,0.4202967927237913,0.2843465773097176,0.2520344662517951,0.04260411680229775,0.0007180469123982767,0.0,57,srv,0.025741310638721093,0.06848370802,0.4770499843,0.2565995766,0.1859217496,0.07456110831,0.005176470502,0.0006911107492,0.4320772937,0.2312735029,0.2454041878,0.09124501561,0.0,0.0,ok,grundschule
03103,education,4456,False,0.3505385996409336,0.29690305206463197,0.30341113105924594,0.04914721723518851,0.0,0.0,200,proxy_rs7_72,0.06835123417266245,0.03259648002,0.5171953019,0.2733513874,0.1353365171,0.06709193901,0.007024854535,0.0,0.5171953019,0.2733513874,0.1353365171,0.06709193901,0.007024854535,0.0,ok,grundschule
03151,education,6833,False,0.257866237377433,0.1723986535928582,0.25054880725889067,0.21235182204009953,0.10683447973071857,0.0,107,srv,0.15658223615036246,0.05893905192,0.4343311135,0.2452381151,0.2597438455,0.04934683116,0.008191888602,0.003148206139,0.4164155033,0.1973214131,0.3364813383,0.04047832524,0.009303419989,0.0,gap,grundschule
03153,education,3464,False,0.29359122401847576,0.22113163972286373,0.24307159353348728,0.1651270207852194,0.0770785219399538,0.0,57,srv,0.12614489982306235,0.07053079012,0.4953597891,0.2410439713,0.1670356407,0.07945350474,0.01544842839,0.001658665798,0.4984249665,0.2122299649,0.1817696059,0.07952483288,0.02805062977,0.0,gap,grundschule
03154,education,2569,False,0.22537952510704554,0.18567536006228105,0.18606461658232776,0.26741922927209033,0.13546126897625535,0.0,55,srv,0.21126169473564574,0.04936051964,0.4398664763,0.3429072525,0.1596283957,0.04275228402,0.01064121287,0.004204378521,0.4150767673,0.4272677367,0.1268896093,0.01350892316,0.01725696351,0.0,gap,grundschule
03157,education,5272,False,0.2545523520485584,0.1451062215477997,0.3273899848254932,0.212443095599393,0.06050834597875569,0.0,97,srv,0.15225496283899753,0.05519691444,0.4525898867,0.2722353505,0.1833401851,0.07479808751,0.003554593917,0.01348189639,0.451650784,0.2472109837,0.1892220992,0.09125371124,0.0,0.02066242183,gap,grundschule
03158,education,4234,False,0.19414265470004724,0.12281530467642891,0.3079829948039679,0.22177609825224373,0.15328294756731223,0.0,55,srv,0.22523579067606897,0.05775714817,0.4406157359,0.302408139,0.1934887294,0.04806837617,0.01121464103,0.004204378521,0.4171883171,0.3131338713,0.2223141859,0.02849063741,0.01887298834,0.0,gap,grundschule
zgb,education,39569,True,0.2998306755288231,0.21519371224948824,0.27908210973236625,0.1465288483408729,0.05936465414844955,0.0,571,srv,0.11584878058612749,0.0206160341,0.4736626498,0.266403541,0.1853772452,0.06096996542,0.010331467,0.003255131629,0.4736626498,0.266403541,0.1853772452,0.06096996542,0.010331467,0.003255131629,gap,grundschule
03101,education,9395,False,0.10239489089941459,0.14167110164981372,0.40851516764236295,0.294944119212347,0.04896221394358701,0.0035125066524747204,204,srv,0.0160404454123395,0.03763044374,0.09925433767,0.1353300126,0.3629771278,0.3392460607,0.05783734578,0.005355115482,0.09704789563,0.1264503627,0.3664166985,0.3607714037,0.04709739963,0.00221623977,ok,sekundar_1
03102,education,4518,False,0.18813634351482958,0.23240371845949534,0.2886232846392209,0.216688800354139,0.07104913678618859,0.003098716246126605,75,srv,0.0590214893048517,0.05780702113,0.1132540344,0.1825960734,0.3623606875,0.236128943,0.0894913222,0.01616893953,0.1259187744,0.2214648404,0.3708943994,0.1571883856,0.1024839706,0.02204962967,ok,sekundar_1
03103,education,5072,False,0.11494479495268138,0.1837539432176656,0.3980678233438486,0.25433753943217663,0.0473186119873817,0.0015772870662460567,279,proxy_rs7_72,0.028061138825470067,0.0330284016,0.1064663944,0.1574467778,0.3678774514,0.2943568542,0.06516606859,0.008686453582,0.1064663944,0.1574467778,0.3678774514,0.2943568542,0.06516606859,0.008686453582,ok,sekundar_1
03151,education,7529,False,0.0931066542701554,0.1281710718554921,0.19537787222738742,0.2664364457431266,0.2609908354363129,0.05591712046752557,126,srv,0.03985641754482646,0.05261195866,0.07387363501,0.1088237501,0.2397673414,0.3639533262,0.1899984175,0.02358352979,0.04638677377,0.07594873158,0.1710893515,0.419600907,0.2553969406,0.03157729552,ok,sekundar_1
03153,education,4429,False,0.16053285165951683,0.20185143373221948,0.25649130729284264,0.20185143373221948,0.12147211560171596,0.05780085798148566,70,srv,0.08565103450410388,0.05891199148,0.05764634998,0.1243750639,0.3276857754,0.3277234999,0.123902186,0.03866712473,0.02155349341,0.1070533016,0.3559131558,0.3232137913,0.1405104437,0.05175581416,gap,sekundar_1
03154,education,3487,False,0.18497275595067394,0.1720676799541153,0.12532262689991397,0.1935761399483797,0.2887869228563235,0.03527387439059363,79,srv,0.06277507805765412,0.09157914304,0.161274147,0.1895166692,0.2515263408,0.2244281662,0.1511477494,0.02210692738,0.2280679026,0.2392260309,0.156874103,0.1365684088,0.2062761939,0.03298736079,ok,sekundar_1
03157,education,6455,False,0.12935708752904726,0.11402013942680093,0.23718048024786986,0.30333075135553833,0.17443841982958946,0.04167312161115414,93,srv,0.03939939794661508,0.05654906395,0.1054223197,0.1264130743,0.2997535467,0.3391637373,0.1111991364,0.01804818562,0.1021053729,0.1007859786,0.2712072436,0.3879017618,0.1150731772,0.02292646588,ok,sekundar_1
03158,education,4779,False,0.10880937434609751,0.10964636953337518,0.2299644277045407,0.2243147101904164,0.27767315337936804,0.04959196484620213,71,srv,0.09336133112287674,0.05969816173,0.09380368892,0.1557917629,0.387410776,0.2317833989,0.1176388695,0.01357150391,0.07309468717,0.1636023114,0.4734800257,0.1443834332,0.1317833641,0.01365617844,gap,sekundar_1
zgb,education,45664,True,0.12716800981079188,0.15399439383321653,0.2810748072880168,0.2550148913805186,0.15294323756131745,0.029804660126138752,718,srv,0.025238076414084088,0.02282651094,0.09619202663,0.1422781382,0.3227118399,0.2980616049,0.1204271768,0.02032921364,0.09619202663,0.1422781382,0.3227118399,0.2980616049,0.1204271768,0.02032921364,ok,sekundar_1
03101,education,4485,False,0.1286510590858417,0.1690078037904125,0.3502787068004459,0.19487179487179487,0.031438127090301006,0.12575250836120402,92,srv,0.059667214916301024,0.05671024379,0.1186215927,0.1162114442,0.3702853768,0.307997753,0.07348614903,0.01339768422,0.1262687341,0.1147606663,0.3921020556,0.3325452953,0.03432324868,0.0,ok,upper_secondary
03102,education,1941,False,0.1226172076249356,0.11128284389489954,0.13858835651725915,0.16331787738279238,0.2302936630602782,0.23390005151983514,28,srv,0.1468175010735909,0.1086187079,0.1120259772,0.123596597,0.3440380631,0.2656833218,0.1258198387,0.02883620227,0.1135965295,0.1452053011,0.3219810297,0.1952165634,0.1840477719,0.03995280433,gap,upper_secondary
03103,education,2371,False,0.130746520455504,0.17376634331505694,0.2922817376634331,0.20455504006748207,0.04006748207507381,0.15858287642345,120,proxy_rs7_72,0.06984489705280898,0.05348569187,0.1228263912,0.1230308037,0.373054019,0.2952406114,0.07499518915,0.0108529855,0.1228263912,0.1230308037,0.373054019,0.2952406114,0.07499518915,0.0108529855,ok,upper_secondary
03151,education,2514,False,0.06364359586316627,0.12251392203659507,0.14598249801113763,0.24781225139220367,0.2756563245823389,0.14439140811455847,76,srv,0.05974394059343034,0.1014205858,0.08236125801,0.1006009227,0.2417763136,0.2862645087,0.1977630784,0.09123391856,0.07444182915,0.06647820254,0.1124889284,0.3009051276,0.2977231438,0.1479627686,ok,upper_secondary
03153,education,1378,False,0.14658925979680695,0.16545718432510886,0.19448476052249636,0.19811320754716982,0.15892597968069666,0.13642960812772134,26,srv,0.08438055979985484,0.0804362654,0.0720884922,0.1056583511,0.3196758655,0.3121981096,0.152967102,0.03741207948,0.0,0.07200720674,0.3366952489,0.3613874892,0.2037628963,0.02614715893,gap,upper_secondary
03154,education,1236,False,0.063915857605178,0.10841423948220065,0.08090614886731391,0.19498381877022652,0.3818770226537217,0.16990291262135923,40,srv,0.17588897036983817,0.1341843175,0.1224598382,0.1422541466,0.2802916249,0.2206333041,0.1837869443,0.05057414192,0.2076593737,0.1815540383,0.1309338711,0.08437246859,0.338770733,0.05670951531,gap,upper_secondary
03157,education,2463,False,0.09947218838814453,0.09541209906617945,0.17864393016646365,0.19163621599675193,0.20787657328461226,0.22695899309784814,57,srv,0.12226516888666827,0.07293660377,0.09825558238,0.11046675,0.3214143549,0.2972367212,0.1231213474,0.04950524409,0.1155811235,0.08227825892,0.2887470363,0.3360070421,0.1254510292,0.05193550991,gap,upper_secondary
03158,education,1733,False,0.04616272360069244,0.09521061742642815,0.1765724177726486,0.1777264858626659,0.3848817080207732,0.11944604731679169,41,srv,0.16249238403535488,0.06282250687,0.06817176783,0.1331600841,0.4126629176,0.2350620032,0.1125580062,0.03838522103,0.01888333831,0.1493208015,0.5898048472,0.1373165517,0.09003258544,0.01464187584,gap,upper_secondary
zgb,education,18121,True,0.10435406434523481,0.13553335908614314,0.22151095414160366,0.19827824071519232,0.17912918713095305,0.16119419458087303,360,srv,0.07419824645726604,0.03261940955,0.09809802019,0.1109645872,0.3228060484,0.2736220974,0.1509410112,0.04356823553,0.09809802019,0.1109645872,0.3228060484,0.2736220974,0.1509410112,0.04356823553,ok,upper_secondary
03101,education,10586,False,0.03816361231815606,0.10976761760816173,0.3327035707538258,0.3638768184394483,0.129038352541092,0.02645002833931608,74,srv,0.12979496838913163,0.08961174527,0.08660436261,0.2581239652,0.2892674989,0.07149996516,0.1566940393,0.1378101688,0.1029081912,0.2887914977,0.3353016329,0.08441355203,0.1465826809,0.04200244534,gap,university
03102,education,2924,False,0.0013679890560875513,0.0010259917920656635,0.09165526675786594,0.19733242134062928,0.27838577291381666,0.43023255813953487,10,srv,0.2396064852965253,0.01887629595,0.06776320862,0.2140272647,0.2320020362,0.05631264625,0.1534362518,0.2764585925,0.0,0.0,0.0,0.0,0.04603432515,0.9539656749,gap,university
03103,education,3926,False,0.007131940906775344,0.009424350483953133,0.032093734080489045,0.03897096281202241,0.015792154865002548,0.8965868568517575,84,proxy_rs7_72,0.4822198959299593,0.09603011552,0.09184683165,0.2577499786,0.2992608487,0.0753401378,0.1357749745,0.1400272287,0.09184683165,0.2577499786,0.2992608487,0.0753401378,0.1357749745,0.1400272287,gap,university
03151,education,4813,False,0.0,0.0,0.0006233118637024725,0.016206108456264284,0.1495948472885934,0.8335757323914399,17,srv,0.29279889022155414,0.04785050129,0.04135745496,0.1707986253,0.1640932218,0.0349400884,0.1957298327,0.3930807768,0.0,0.0,0.0,0.0,0.1977242639,0.8022757361,gap,university
03153,education,3674,False,0.02939575394665215,0.07076755579749591,0.03293413173652695,0.026401741970604246,0.2256396298312466,0.6148611867174741,8,srv,0.24677055818294394,0.2793935356,0.05446749788,0.2209353257,0.2026910864,0.04601586806,0.1849635053,0.2909267167,0.0,0.3272200136,0.06239574186,0.0,0.1926730168,0.4177112277,within_noise,university
