code,scope,n_model,is_aggregate,model_share_0_5,model_share_5_10,model_share_10_20,model_share_20_30,model_share_30_50,model_share_50_100,model_share_100_plus,n_reference_persons,source,emd,noise_floor,target_share_0_5,target_share_5_10,target_share_10_20,target_share_20_30,target_share_30_50,target_share_50_100,target_share_100_plus,target_share_raw_0_5,target_share_raw_5_10,target_share_raw_10_20,target_share_raw_20_30,target_share_raw_30_50,target_share_raw_50_100,target_share_raw_100_plus,classification,model_share_intra,target_share_intra
03101,all,71042,False,0.361363700346274,0.27344387826919286,0.11422820303482446,0.06909996903240337,0.09657667295402719,0.04381914923566341,0.04146842712761465,1272,srv,0.03754368531269428,0.0205243945,0.3881481567,0.2593157621,0.1455889301,0.068792527,0.1094932435,0.02866138058,0.0,0.3917864345,0.2610239723,0.1431938199,0.06672732008,0.1095409835,0.02772746972,0.0,ok,0.6683370400608091,0.7290625747
03102,all,26431,False,0.21724490181983278,0.24145889296659226,0.23461087359539934,0.13533350989368545,0.08259241042714993,0.05425447391320797,0.03450493738413227,387,srv,0.019603393220899837,0.03668688844,0.2420791645,0.1960881711,0.2388806633,0.1513205222,0.104070441,0.06756103792,0.0,0.2162936091,0.1853648749,0.2551147543,0.1658576186,0.1028261126,0.07454303049,0.0,ok,0.597328894101623,0.5686424142
03103,all,33352,False,0.4453705924682178,0.31980091148956585,0.0653334132885584,0.07025065963060687,0.03666946509954425,0.028034300791556728,0.03454065723195011,1659,proxy_rs7_72,0.07636953473912488,0.01850190425,0.3445961845,0.2406791422,0.1732895054,0.09338358686,0.1077353459,0.04031623517,0.0,0.3445961845,0.2406791422,0.1732895054,0.09338358686,0.1077353459,0.04031623517,0.0,ok,0.7972235548093067,0.6859253839
03151,all,44883,False,0.21166143083127242,0.1194438874406791,0.23111200231713566,0.1628010605351692,0.16641044493460777,0.0741483412427868,0.03442283269834904,849,srv,0.027684731392577027,0.03980889124,0.2070008298,0.1316545098,0.2427067773,0.1789914892,0.1960701319,0.04357626207,0.0,0.1968529907,0.1297644435,0.2436329695,0.1821428813,0.2043349479,0.04327176707,0.0,ok,0.26716128601029343,0.245568684
03153,all,32515,False,0.31496232508073196,0.1387667230508996,0.18825157619560204,0.0633246194064278,0.11314777794863909,0.13473781331693066,0.04680916500076888,570,srv,0.07935845964586845,0.02438933836,0.3316375467,0.1796093276,0.2089333313,0.1233332484,0.1136803213,0.04280622463,0.0,0.3320927334,0.1760380328,0.2097316675,0.1265014564,0.112738979,0.04289713097,0.0,ok,0.4977395048439182,0.4860368929
03154,all,22927,False,0.26209272909669823,0.055305971125746936,0.24325031622104942,0.14219043049679417,0.20866227591922187,0.05255811924804815,0.035940157892441225,430,srv,0.04103855846390008,0.0392377993,0.2607791772,0.09572935623,0.3004776613,0.09685208392,0.180195242,0.06596647935,0.0,0.2532496874,0.08364288725,0.3157414418,0.08397206392,0.1928216136,0.07057230605,0.0,ok,0.28582021197714486,0.2859253739
03157,all,33926,False,0.2161763838943583,0.12011436656251842,0.17729764782172966,0.157224547544656,0.18148322820255852,0.10537640747509285,0.04232741849908624,581,srv,0.0812093612133603,0.02727412364,0.2251170145,0.1767456386,0.2481387529,0.1627214493,0.1316666172,0.05561052736,0.0,0.2134063486,0.1817446861,0.2504271089,0.1645261446,0.1326588329,0.05723687896,0.0,gap,0.29119259564935446,0.310424862
03158,all,31522,False,0.24700209377577564,0.08007106148087051,0.24789036228665695,0.1671848232980141,0.1609986675972337,0.06544635492671785,0.0314066366347313,454,srv,0.08971586816485644,0.02938841415,0.3039450785,0.09864754296,0.3337553416,0.1532184829,0.07920413334,0.03122942063,0.0,0.3063215312,0.08784277866,0.3555421118,0.1534348514,0.06891829396,0.02794043299,0.0,gap,0.27054120931412984,0.3518420003
zgb,all,296599,True,0.29379060617196956,0.18278551175155683,0.17665265223416127,0.11483180995215762,0.1262040667702858,0.06754574357971538,0.03818960954015354,4543,srv,0.03669510227783227,0.01226836262,0.2966296485,0.1862941235,0.221929825,0.1229061517,0.1279752106,0.04426504057,0.0,0.2966296485,0.1862941235,0.221929825,0.1229061517,0.1279752106,0.04426504057,0.0,ok,0.48210546900023266,0.4976835099
03101,inter,23562,False,0.006196417961123844,0.01994737288854936,0.21725659960954077,0.20825906120023768,0.2911892029539088,0.13211951447245565,0.12503183091418385,353,srv,0.05820318482760143,0.02451641707,0.001275663318,0.02758289348,0.2264300229,0.2505086529,0.3875772093,0.1066255581,0.0,0.0,0.02016527115,0.2297486253,0.2434434609,0.4043036259,0.1023390168,0.0,ok,,
03102,inter,10643,False,0.004603965047449027,0.03175796298036268,0.209715305834821,0.3283848538945786,0.20511134078737198,0.13473644649065114,0.08569012496476558,156,srv,0.03624360951525006,0.04072753385,0.009459511748,0.07817186132,0.1656090263,0.3202972658,0.2735947157,0.1528676191,0.0,0.01181897131,0.09381593888,0.1341306094,0.3490462948,0.2383778934,0.1728102923,0.0,ok,,
03103,inter,6763,False,0.0014786337424220022,0.026615407363596036,0.1363300310513086,0.34614815910099067,0.18083690669821084,0.1382522549164572,0.17033860712701465,509,proxy_rs7_72,0.07947781866073376,0.022091915,0.004364929093,0.04736560304,0.1944354116,0.2824442224,0.3430246839,0.1283651499,0.0,0.004364929093,0.04736560304,0.1944354116,0.2824442224,0.3430246839,0.1283651499,0.0,ok,,
03151,inter,32892,False,0.015535692569621793,0.0800802626778548,0.3070655478535814,0.2220904779277636,0.22707649276419797,0.1011796181442296,0.04697190806275082,670,srv,0.04275949183212557,0.03561568431,0.01684070026,0.1156646133,0.3014311128,0.2428024721,0.2632784115,0.05998269011,0.0,0.01745604605,0.1191100739,0.293800055,0.2414307008,0.270846323,0.05735680128,0.0,ok,,
03153,inter,16331,False,0.017635172371563285,0.07592921437756414,0.1945379952238075,0.1251607372481783,0.22527708039924071,0.2682628130549262,0.09319698732471986,295,srv,0.1370115451421256,0.02809066918,0.01178081311,0.1037581265,0.3282285904,0.2393917416,0.2308629991,0.08597772918,0.0,0.0105641235,0.1122567019,0.332545357,0.2418180944,0.2193522792,0.08346344393,0.0,gap,,
03154,inter,16374,False,0.003603273482350067,0.04696470013435935,0.3346769268352266,0.1986686209844876,0.2921705142298766,0.0735922804446073,0.05032368388909246,348,srv,0.04963288345422895,0.03771698515,0.01220358434,0.06674362902,0.4221665716,0.1475951279,0.2572049131,0.09408617405,0.0,0.01205579724,0.05931937675,0.4421686898,0.1175956418,0.2700300592,0.09883043519,0.0,ok,,
03157,inter,24047,False,0.010188381087037884,0.0648313718967023,0.23874079926809996,0.22181561109493908,0.256040254501601,0.14866719341289975,0.059716388738720004,430,srv,0.10028387539182372,0.02443105485,0.01927492018,0.1090314758,0.3524068788,0.2411194173,0.196188156,0.08197915195,0.0,0.02079981245,0.1128573942,0.3523714552,0.2385905981,0.1923776331,0.08300310699,0.0,gap,,
03158,inter,22994,False,0.008263025136992258,0.07006175524049753,0.33900147864660346,0.22919022353657476,0.22070975036966164,0.08971905714534226,0.04305470992432808,341,srv,0.08144870965245922,0.02947068998,0.01755973285,0.0819741979,0.4789347435,0.2401867898,0.130421062,0.05092347402,0.0,0.01897963004,0.0788639841,0.5159950201,0.2367244584,0.1063294659,0.04310744139,0.0,gap,,
zgb,inter,153607,True,0.009752159732303867,0.057295565957280595,0.26408952716998574,0.22101206325232575,0.24368681114792945,0.13042374370959656,0.07374012903057803,2593,srv,0.06939515757456634,0.01291498992,0.01297512784,0.08635072146,0.3179402772,0.2398419824,0.2547700766,0.08812181453,0.0,0.01297512784,0.08635072146,0.3179402772,0.2398419824,0.2547700766,0.08812181453,0.0,ok,,
03101,intra,47480,False,0.5376158382476832,0.3992417860151643,0.06310025273799494,4.212299915754002e-05,0.0,0.0,0.0,919,srv,0.00985439044022888,0.009741062428,0.5344007369,0.3481089295,0.1158849272,0.00160540641,0.0,0.0,0.0,0.5373838242,0.3505329372,0.1110279443,0.001055294292,0.0,0.0,0.0,ok,,
03102,intra,15788,False,0.3605903217633646,0.38282239675703067,0.2513934633899164,0.005193818089688371,0.0,0.0,0.0,231,srv,0.020357142987890386,0.02455276119,0.4123645676,0.2762679732,0.2905852068,0.02078225238,0.0,0.0,0.0,0.3714028376,0.2548115553,0.3468902311,0.02689537602,0.0,0.0,0.0,ok,,
03103,intra,26589,False,0.5582759787882207,0.3943736131482944,0.04727518898792734,7.52190755575614e-05,0.0,0.0,0.0,1150,proxy_rs7_72,0.031284326747363,0.01025585314,0.50038281,0.3291944195,0.1636071223,0.006815648245,0.0,0.0,0.0,0.50038281,0.3291944195,0.1636071223,0.006815648245,0.0,0.0,0.0,ok,,
03151,intra,11991,False,0.749645567508965,0.22742056542406805,0.02276707530647986,0.00016679176048703195,0.0,0.0,0.0,179,srv,0.012705516509951886,0.02115289206,0.7307814197,0.1891404094,0.07968673175,0.0003914391406,0.0,0.0,0.0,0.7479927811,0.1624965897,0.08951062913,0.0,0.0,0.0,0.0,ok,,
03153,intra,16184,False,0.6149901136925359,0.20217498764211567,0.1819080573405833,0.0009268413247652002,0.0,0.0,0.0,275,srv,0.020659354506007848,0.01492002055,0.6471725905,0.2576438694,0.09013440713,0.005049132976,0.0,0.0,0.0,0.6720954076,0.2434840465,0.07986147372,0.004559072187,0.0,0.0,0.0,ok,,
03154,intra,6553,False,0.9079810773691439,0.07614832900961392,0.014802380589043186,0.0010682130321989928,0.0,0.0,0.0,82,srv,0.02620081758235021,0.01500290048,0.7700957449,0.1951822383,0.03412195353,0.000600063298,0.0,0.0,0.0,0.8556111866,0.1443888134,0.0,0.0,0.0,0.0,0.0,ok,,
03157,intra,9879,False,0.7175827512906164,0.2546816479400749,0.027735600769308633,0.0,0.0,0.0,0.0,151,srv,0.01087107884773462,0.01524699319,0.6646521859,0.2957514113,0.03916129714,0.0004351056583,0.0,0.0,0.0,0.6412608636,0.3347703282,0.02396880821,0.0,0.0,0.0,0.0,ok,,
03158,intra,8528,False,0.8907129455909943,0.10705909943714821,0.002227954971857411,0.0,0.0,0.0,0.0,113,srv,0.02975312001552277,0.02212522461,0.7719563868,0.1665662271,0.06096465595,0.000512730142,0.0,0.0,0.0,0.8356584259,0.1043833779,0.05995819623,0.0,0.0,0.0,0.0,ok,,
zgb,intra,142992,True,0.5989146245943829,0.31759119391294616,0.08272490768714334,0.0007692738055275819,0.0,0.0,0.0,1950,srv,0.011085924655197421,0.007827294659,0.5829247345,0.2871679075,0.125025603,0.004881754955,0.0,0.0,0.0,0.5829247345,0.2871679075,0.125025603,0.004881754955,0.0,0.0,0.0,ok,,
