# education_by_age per-Kreis control target for the 'education_0_5' age band (0-5),
# Plan B issue #368, ADR-0109, decision Q2 (three 2-cell age-range controls incl. 0-5).
# Built by scripts/build_participation_universe_targets.py from ONE committed input, NO raw
# microdata, NO MiD blending and NO margin (unlike work_by_employment, decision Q2's shares are
# a direct SrV conditional rate):
#   eqasim-data/data/braunschweig/srv/srv2023_education_by_age_by_kreis.csv, band == 'education_0_5'
#   (p_education = weighted share of the age band's persons with >= 1 education-purpose leg on
#   the reporting day, E_ZWECK_9 in {3, 4}).
#
# FORMULA: edu = round(p_education, 4); noedu = round(1 - p_education, 4).
#
# ASSUMPTION (Wolfsburg 03103, SrV region-total convention -- same as target2026_has_ebike /
# target2026_work_participation): 03103 is not covered by SrV; its row uses the 03ZGB
# (region-total) p_education directly (source = "srv_region_total").
# ASSUMPTION (Gesamt): the Gesamt row also uses the 03ZGB p_education directly (source = "srv"),
# the same convention as scripts/build_participation_target.py.
#
# CONSUMER NOTE: FINAL target - use with kreis_attribute_control prior_n = 0 (this control is
# registered tier="hard"). Age universe (KreisAttributeControl.min_age / max_age) must match
# kreis_attribute_control.EDUCATION_AGE_BOUNDS['education_0_5'] = (0, 5).
# Columns: ars5, source, n_effective (the SrV row's n_unweighted), edu, noedu
# (kreis_attribute_control.EDUCATION_FLAG_CATEGORIES).
ars5,source,n_effective,edu,noedu
03101,srv,288,0.6722,0.3278
03102,srv,100,0.6563,0.3437
03151,srv,229,0.6666,0.3334
03153,srv,95,0.7582,0.2418
03154,srv,75,0.6765,0.3235
03157,srv,149,0.6974,0.3026
03158,srv,114,0.6492,0.3508
03103,srv_region_total,1050,0.6785,0.3215
Gesamt,srv,1050,0.6785,0.3215
