home_ars5,dest_ars5,n_model,model_km_median,model_km_p10,model_km_p90,centroid_km,class_model_median,class_centroid,same_class,ba_flow
03101,01002,50,294.8751579955333,294.4139694528639,301.84147277756534,298.6051631820536,gt200,gt200,True,60.0
03101,01003,26,226.41151750602262,226.29805982192755,226.52883103599322,231.73766961174715,gt200,gt200,True,40.0
03101,01056,23,209.13171961848175,194.81233461484345,233.85351663618556,219.71750906299678,gt200,gt200,True,40.0
03101,01060,26,235.2982071401898,204.26242854445547,239.57216296588408,240.199920205063,gt200,gt200,True,40.0
03101,01062,8,189.20374137047824,181.87604325413974,198.5669457120461,209.7248054620099,100_200,gt200,False,20.0
03101,02000,441,187.02242298439984,186.67306582100628,187.9291976785751,189.33061519437888,100_200,100_200,True,680.0
03101,03155,37,94.98335293374467,80.82025650405133,110.58791140138014,97.84968121467607,50_100,50_100,True,50.0
03101,03159,167,120.5451788234068,94.75328253374448,136.18753813930044,110.01608404586457,100_200,100_200,True,200.0
03101,03241,2407,70.69428585908847,56.613179866158866,91.08565185318601,74.31793665404449,50_100,50_100,True,3540.0
03101,03251,14,179.08665673608783,165.52847380684497,189.784218951346,173.69119409177299,100_200,100_200,True,20.0
03101,03252,14,101.01684990509263,88.60164520743942,111.32265490940541,104.13376836159236,100_200,100_200,True,30.0
03101,03254,475,56.939409956081384,46.12652871394858,74.0789052314351,58.15273897723984,50_100,50_100,True,680.0
03101,03256,10,137.4162286682326,126.74949121796769,150.48521069879905,133.6461608428132,100_200,100_200,True,10.0
03101,03257,15,118.62241654874715,111.45246564471223,134.77306615374556,116.89147261641894,100_200,100_200,True,20.0
03101,03351,149,67.58525428674807,58.640609592128726,84.96718129224143,73.40881250939468,50_100,50_100,True,190.0
03101,03352,13,242.4847866667773,230.59149628400237,274.3402327173975,244.89416345992467,gt200,gt200,True,20.0
03101,03353,17,173.27703285671993,158.53866764250733,180.19965616961613,158.3272932213814,100_200,100_200,True,20.0
03101,03355,26,145.4727273669161,143.48583234107303,155.664794990794,138.54097434620715,100_200,100_200,True,50.0
03101,03358,22,118.74162567255425,100.00638302524841,142.71280108403164,115.48542850643518,100_200,100_200,True,30.0
03101,03359,12,195.7056307691626,180.2436470922357,209.4030489209149,212.52708551078862,100_200,gt200,False,20.0
03101,03360,29,102.23909813037011,94.20747215981223,122.40519762956075,102.45049191765504,100_200,100_200,True,40.0
03101,03361,15,158.82737266002482,142.84897051990197,174.03499386457742,155.77309423116202,100_200,100_200,True,20.0
03101,03403,17,233.03348140780946,233.0208883417042,239.56288771947754,237.90128113191224,gt200,gt200,True,40.0
03101,03404,26,217.08685616349223,217.03446145597147,217.62664941124604,219.71280584602002,gt200,gt200,True,30.0
03101,03454,21,285.17338973457765,269.14454429565546,302.1794567129257,283.4203647050936,gt200,gt200,True,30.0
03101,03459,13,218.5862626547809,197.87206312940913,229.38753321145575,220.0621751255968,gt200,gt200,True,20.0
03101,03460,12,208.72824195268774,202.33576434127642,217.54665762199542,210.71634067533486,gt200,gt200,True,20.0
03101,04011,93,188.80490214536553,188.6128877408414,191.60715423924432,195.87708966941912,100_200,100_200,True,140.0
03101,05111,70,373.1088562647042,369.71159463057575,373.8875170549988,365.583293025735,gt200,gt200,True,110.0
03101,05112,23,361.1007566992941,360.5759436491394,361.23555359427604,360.1223709162605,gt200,gt200,True,40.0
03101,05113,45,339.73653589621927,335.4387558719254,339.99872832178363,336.728383243011,gt200,gt200,True,60.0
03101,05120,19,337.96251604897793,337.8704031480354,338.02288951443654,335.7520844013285,gt200,gt200,True,30.0
03101,05122,12,356.7491101895948,356.6423208372181,356.81104976134185,349.7246956996152,gt200,gt200,True,20.0
03101,05124,20,339.281322523687,338.88225160179996,339.3138305689978,335.47692842454114,gt200,gt200,True,30.0
03101,05158,48,360.421403209789,342.1445193554053,366.64017266307394,351.2559748622572,gt200,gt200,True,70.0
03101,05162,15,380.2055852417839,377.8128231168036,396.02988441697096,384.5665143771481,gt200,gt200,True,20.0
03101,05170,13,362.41706965961987,357.38151667770455,375.2849194040608,361.3179389659822,gt200,gt200,True,10.0
03101,05314,26,385.8255037935257,385.6755595003711,392.52508986090515,382.6485172279605,gt200,gt200,True,40.0
03101,05315,98,376.9536251869407,375.23023384127714,377.3824844665042,372.95625226694017,gt200,gt200,True,160.0
03101,05316,16,364.12461548968713,364.0106819407375,364.2897239694812,361.5648951967349,gt200,gt200,True,30.0
03101,05334,31,455.5624748241831,437.9861160588615,457.947657969597,448.3766627785915,gt200,gt200,True,50.0
03101,05362,22,393.8014915452171,386.6459176596431,401.6828486575764,395.9804012371136,gt200,gt200,True,40.0
03101,05374,33,322.89058217432915,312.5527620012435,339.9304730665021,326.3185366973161,gt200,gt200,True,40.0
03101,05382,16,381.6297791762699,368.170558399259,399.85766213808773,368.7722574253813,gt200,gt200,True,20.0
03101,05515,53,264.4670541706682,261.1468245911434,265.0171496447117,262.3299071511776,gt200,gt200,True,60.0
03101,05554,7,350.97010837114624,314.2095865964914,357.29588942027874,325.8377878847047,gt200,gt200,True,10.0
03101,05562,18,313.5442822656313,299.73014201549364,327.2907509373213,312.8451428262063,gt200,gt200,True,20.0
03101,05566,8,265.4927082887797,260.7331707058666,277.67143176537854,261.5500327650721,gt200,gt200,True,10.0
03101,05711,77,179.36888097671925,178.920286913771,179.64366108246236,180.5358252265426,100_200,100_200,True,110.0
03101,05754,28,200.494234375433,173.77241909128148,215.26845019306194,199.72808737712765,gt200,100_200,False,30.0
03101,05758,6,168.64184907914785,163.04464617219134,173.47955144332818,167.69671292542162,100_200,100_200,True,10.0
03101,05766,13,141.39445905369442,132.74881279810694,166.29069017098644,146.3194832001863,100_200,100_200,True,20.0
03101,05770,33,149.3597423123944,139.1111141649974,171.48463390511492,158.55286521188114,100_200,100_200,True,40.0
03101,05774,18,181.1607204805407,172.11951015091267,210.7983908259602,183.79553091492295,100_200,100_200,True,20.0
03101,05911,16,314.3666733485534,312.82806966955195,316.312341037955,317.3908443238186,gt200,gt200,True,20.0
03101,05913,28,298.11925398840594,297.9507567545106,302.4203358643195,294.013541927631,gt200,gt200,True,40.0
03101,05974,37,234.1736619872968,213.9341728563117,256.69518452503337,230.41921188421463,gt200,gt200,True,60.0
03101,05978,31,276.880789154748,273.24308197345914,285.72410596819753,277.0815444332009,gt200,gt200,True,40.0
03101,06412,156,362.85863204681004,360.97216795236704,363.24824939066616,355.56288648688803,gt200,gt200,True,220.0
03101,06414,18,389.38388168856665,386.4577348460148,389.44902344517624,378.27814646857576,gt200,gt200,True,30.0
03101,06431,17,420.7230270695987,415.78436437193454,427.9578101189038,420.18516116122254,gt200,gt200,True,20.0
03101,06432,10,395.1879263938298,382.6439214034287,404.0053085958034,383.6279058350482,gt200,gt200,True,20.0
03101,06433,15,387.8805318295052,375.85232216066845,401.80797852257064,390.43193777537095,gt200,gt200,True,30.0
03101,06434,34,352.13302595289366,340.5734129206701,359.38978290530133,341.4602494045946,gt200,gt200,True,60.0
03101,06436,23,374.6200351801097,363.85000047309757,378.0515250740871,367.0008634185068,gt200,gt200,True,40.0
03101,06438,22,372.1523273797998,360.69925568592356,378.4426849748603,361.09956396662767,gt200,gt200,True,30.0
03101,06532,3,305.00190152180744,304.05865794371687,312.23458867485954,305.51598058548916,gt200,gt200,True,10.0
03101,06534,22,260.6045381688142,243.71416787419085,282.3779560778347,262.97823462100524,gt200,gt200,True,30.0
03101,06611,56,175.08827576177333,170.62878258071106,178.2443550016999,168.8721685022119,100_200,100_200,True,100.0
03101,06633,32,164.6536028838949,151.92091227673393,173.77616483670732,161.22273212725514,100_200,100_200,True,50.0
03101,08111,159,528.8301912049751,528.192671048389,530.1366008267017,521.1548264894548,gt200,gt200,True,210.0
03101,08115,83,541.766802442319,533.3539616029535,558.1301539068085,540.037477062627,gt200,gt200,True,120.0
03101,08116,28,538.6466935163269,522.2969324982355,554.2350432969412,535.0613337191761,gt200,gt200,True,40.0
03101,08118,71,499.6804917160632,490.12960989750803,520.6785371671152,498.9446611349494,gt200,gt200,True,100.0
03101,08119,5,514.6149418756897,513.5580193553534,520.6668216700295,497.08123572659446,gt200,gt200,True,10.0
03101,08125,36,469.1776851178203,455.67885608717984,485.098080468511,464.2818232424364,gt200,gt200,True,50.0
03101,08136,14,510.7573009931149,493.35578654212526,518.8824794073024,492.8223177351365,gt200,gt200,True,20.0
