code,n_workers,n_workers_not_employed,share_at_workplace,share_home,share_absent,share_no_workplace,n_employed,share_employed_no_work_trip,srv_share_home_office_day,srv_share_work_trip,srv_share_neither,delta_no_work_trip_pp,n_absent_general
03101,87114,6025,0.629944391984052,0.0075704381653390156,0.0655674196750684,0.29691775017554056,123903,0.3698538372759336,0.1781074898,0.6275275302,0.19436498,-0.2618632524066411,7202
03102,35034,1287,0.6992654314219932,0.0076526696634141,0.06128713956802982,0.23179475934656288,45605,0.3005591492160947,0.05934990208,0.7138834791,0.2267666188,1.444262833609472,2441
03103,38572,2849,0.65189108818883,0.0037357122943964317,0.06125824737477929,0.2831149521419942,53805,0.3480903261778645,,,,,2820
03151,60022,2139,0.6172411425432573,0.014567884280875217,0.05506728920626201,0.31312368396960544,87384,0.3823926576947725,0.1787013602,0.6441429156,0.1771557242,2.653557329477252,4391
03153,43716,1131,0.6545621617942348,0.0225300343736174,0.06680733757614947,0.25610046625599836,58766,0.34501242214886163,0.07836139891,0.6923515291,0.229287072,3.7363951238861604,3235
03154,29306,1188,0.6222613411994196,0.015177105882912672,0.059709303708637626,0.30285224920903014,42037,0.37726288745628855,0.1211166383,0.6670583375,0.2118250242,4.432122495628854,2231
03157,44802,2036,0.6033905527148771,0.019433284635987338,0.05896944241538836,0.31820672023374724,65712,0.3961072559045532,0.1469785561,0.6118816927,0.2411397512,0.7988948604553237,3400
03158,42456,2017,0.652711589375694,0.012264070373217183,0.06021009479887266,0.2748142454522162,58545,0.3470834400888205,0.1501351788,0.6603275151,0.1895373061,0.7410955188820512,3106
zgb,381022,18672,0.6373057188240191,0.012539266869121636,0.06133937587376367,0.2888156384330956,535757,0.36240310439247647,0.1417722931,0.6511223931,0.2071053138,1.3525497492476446,28826
