code,n_employed,n_with_work_trip,share_work_trip,share_no_work_trip,srv_n_persons,srv_share_work_trip,srv_share_home_office_day,srv_share_neither,delta_work_trip_pp
03101,123903,78077,0.6301461627240664,0.3698538372759336,2268,0.6275275302,0.1781074898,0.19436498,0.26186325240664665
03102,45605,31898,0.6994408507839053,0.3005591492160947,663,0.7138834791,0.05934990208,0.2267666188,-1.4442628316094774
03103,53805,35076,0.6519096738221355,0.3480903261778645,0,,,,
03151,87384,53969,0.6176073423052275,0.3823926576947725,1521,0.6441429156,0.1787013602,0.1771557242,-2.653557329477252
03153,58766,38491,0.6549875778511384,0.34501242214886163,935,0.6923515291,0.07836139891,0.229287072,-3.7363951248861604
03154,42037,26178,0.6227371125437114,0.37726288745628855,754,0.6670583375,0.1211166383,0.2118250242,-4.432122495628854
03157,65712,39683,0.6038927440954468,0.3961072559045532,1067,0.6118816927,0.1469785561,0.2411397512,-0.7988948604553237
03158,58545,38225,0.6529165599111795,0.3470834400888205,808,0.6603275151,0.1501351788,0.1895373061,-0.7410955188820512
zgb,535757,341597,0.6375968956075235,0.36240310439247647,8016,0.6511223931,0.1417722931,0.2071053138,-1.3525497492476446
