# Generated by scripts/report_mid_implied_reporting_day_bands.py on 2026-09-06.
# Code state: eqasim-bs 34ff1801.
# Purpose: maintainer decision of 2026-09-06 on ADR-0104 check 2 (issue #244) -- the
#   pre-registered 100_plus < 3% bound is WITHDRAWN because every 100_plus column of the
#   committed SrV reference is exactly 0.0 (a structural survey blind spot, ADR-0102
#   Assumption 2); the long band is instead judged by CONSISTENCY with MiD. This table is
#   the evidence for that judgement, not a validation against observed behaviour.
# Inputs: assigned-workplace view (flag OFF, code='zgb' scope='inter' row) eqasim-data/data/braunschweig/calibration/commute_day_state_phase_b_proof_100pct_2026-09-06_rerun/off/commute_by_kreis.csv
#   reporting-day model view (flag ON, same row) eqasim-data/data/braunschweig/calibration/commute_day_state_phase_b_proof_100pct_2026-09-06_rerun/on/commute_by_kreis.csv
#   MiD reporting-day work-location shares by commute-distance class eqasim-data/data/braunschweig/mid/mid2023_workday_location_by_commute_distance.csv
# Formula: unnormalised(b) = assigned_share_off(b) * mid_share_at_workplace(mid_class(b));
#   mid_implied_reporting_day_share(b) = unnormalised(b) / sum_b' unnormalised(b'),
#   renormalised over the seven bands below. mid_share_at_workplace is read BY COLUMN NAME
#   from the MiD table, the same column ADR-0104's keep-probability rule reads.
# Band -> MiD class mapping (by upper edge, km): 0_5, 5_10 -> lt10; 10_20 -> 10_25; 20_30,
#   30_50 -> 25_50; 50_100 -> 50_100; 100_plus -> 100_200. MiD HAS NO CLASS BEYOND 100_200
#   (P_ARB_ENTF top-codes at 200 km); the 100_plus band is therefore a READING against
#   MiD's 100_200 class, not an exact reference.
# Columns: band, assigned_share_off (the register-anchored ASSIGNED distribution before
#   any commute-day-state re-draw), mid_share_at_workplace (the MiD class this band reads),
#   mid_implied_reporting_day_share (the formula above), model_on_reporting_day_share (the
#   model's own realised reporting-day share for this band, flag ON, read directly, no
#   computation).
band,assigned_share_off,mid_share_at_workplace,mid_implied_reporting_day_share,model_on_reporting_day_share
0_5,0.009258057538,0.5905731318,0.01048380941,0.009752159732
5_10,0.05439263311,0.5905731318,0.0615941299,0.05729556596
10_20,0.2535521152,0.5681892902,0.2762395374,0.2640895272
20_30,0.2132134359,0.5485568909,0.2242651549,0.2210120633
30_50,0.2365316276,0.5485568909,0.2487920232,0.2436868111
50_100,0.1329686969,0.4646267951,0.1184620438,0.1304237437
100_plus,0.1000834338,0.3135045918,0.06016330144,0.07374012903
