# MiD 2023 P24.1 (Fahrkartenart) x Pkw-Verfuegbarkeit cross-tab.
# Generated by scripts/extract_mid_p24_by_car_availability.py from
# mid2023_P24_1_by_car_availability.xlsx (sheet index 0).
# Each row is P(ticket | car_availability) over PT_TICKET_CATEGORIES;
# the 9 ticket columns sum to 1 per row. car_availability in
# {none, some, all} (MiD jederzeit->all, gelegentlich->some,
# gar nicht->none; 'keine Angabe' dropped).
car_availability,einzelfahrschein,mehrfachkarte,deutschlandticket,wochen_monat_ohne_abo,monat_abo_jahreskarte,jobticket_semesterticket,anderes,fahre_nie,keine_angabe
all,0.38448628767262943,0.06176625128418279,0.10725573078823336,0.007367876216542627,0.018927481903805887,0.03305153200065876,0.025640522927074104,0.36026130669029827,0.0012430105165747807
some,0.24990089920928002,0.05326406709645115,0.33788153804427196,0.020091381360706016,0.06624105484967975,0.1097410861446663,0.034048945358953496,0.12634829233690095,0.002482735599090359
none,0.23766237054667916,0.046134758058390096,0.2921783607221533,0.03225888132074038,0.08274884156685995,0.05089509533335022,0.051173625705821284,0.20279543210189147,0.004152634644114147
