# Source: MiD 2023 "Handbuch zur Datennutzung", Abbildung 2 (p.16):
#   "Bestimmung des oekonomischen Status ueber Haushaltsnettoeinkommen und
#   gewichtete Haushaltsgroesse". Extracted from the PDF VECTOR FILLS by
#   scripts/extract_mid_status_matrix.py (cell rectangle colour -> class),
#   not transcribed visually.
# wsize_row: weighted household size (1.0 first member 14+, +0.5 per further
#   member 14+, +0.3 per member <14); the 30 achievable values; sizes above
#   4.5 use the 4.5 row.
# income_col 0..14 with [income_lo_eur, income_hi_eur) monthly net household
#   income; income_hi_eur = -1 means open top class (>= 7000).
wsize_row,income_col,income_lo_eur,income_hi_eur,status
2.6,14,7000,-1,very_high
2.7,0,0,500,very_low
2.7,1,500,900,very_low
2.7,2,900,1500,very_low
2.7,3,1500,2000,very_low
2.7,4,2000,2600,very_low
2.7,5,2600,3000,low
2.7,6,3000,3600,low
2.7,7,3600,4000,low
2.7,8,4000,4600,medium
2.7,9,4600,5000,medium
2.7,10,5000,5600,medium
2.7,11,5600,6000,high
2.7,12,6000,6600,high
2.7,13,6600,7000,high
2.7,14,7000,-1,very_high
2.8,0,0,500,very_low
2.8,1,500,900,very_low
2.8,2,900,1500,very_low
2.8,3,1500,2000,very_low
2.8,4,2000,2600,very_low
2.8,5,2600,3000,low
2.8,6,3000,3600,low
2.8,7,3600,4000,low
2.8,8,4000,4600,medium
2.8,9,4600,5000,medium
2.8,10,5000,5600,medium
2.8,11,5600,6000,high
2.8,12,6000,6600,high
2.8,13,6600,7000,high
2.8,14,7000,-1,very_high
2.9,0,0,500,very_low
2.9,1,500,900,very_low
2.9,2,900,1500,very_low
2.9,3,1500,2000,very_low
2.9,4,2000,2600,very_low
2.9,5,2600,3000,low
2.9,6,3000,3600,low
2.9,7,3600,4000,low
2.9,8,4000,4600,medium
2.9,9,4600,5000,medium
2.9,10,5000,5600,medium
2.9,11,5600,6000,high
2.9,12,6000,6600,high
2.9,13,6600,7000,high
2.9,14,7000,-1,very_high
3.0,0,0,500,very_low
3.0,1,500,900,very_low
3.0,2,900,1500,very_low
3.0,3,1500,2000,very_low
3.0,4,2000,2600,very_low
3.0,5,2600,3000,very_low
3.0,6,3000,3600,low
3.0,7,3600,4000,low
3.0,8,4000,4600,medium
3.0,9,4600,5000,medium
3.0,10,5000,5600,medium
3.0,11,5600,6000,high
3.0,12,6000,6600,high
3.0,13,6600,7000,high
3.0,14,7000,-1,very_high
3.1,0,0,500,very_low
3.1,1,500,900,very_low
3.1,2,900,1500,very_low
3.1,3,1500,2000,very_low
3.1,4,2000,2600,very_low
3.1,5,2600,3000,very_low
3.1,6,3000,3600,low
3.1,7,3600,4000,low
3.1,8,4000,4600,medium
3.1,9,4600,5000,medium
3.1,10,5000,5600,medium
3.1,11,5600,6000,high
3.1,12,6000,6600,high
3.1,13,6600,7000,high
3.1,14,7000,-1,very_high
3.2,0,0,500,very_low
3.2,1,500,900,very_low
3.2,2,900,1500,very_low
3.2,3,1500,2000,very_low
3.2,4,2000,2600,very_low
3.2,5,2600,3000,very_low
3.2,6,3000,3600,low
3.2,7,3600,4000,low
3.2,8,4000,4600,medium
3.2,9,4600,5000,medium
3.2,10,5000,5600,medium
3.2,11,5600,6000,high
3.2,12,6000,6600,high
3.2,13,6600,7000,high
3.2,14,7000,-1,very_high
3.3,0,0,500,very_low
3.3,1,500,900,very_low
3.3,2,900,1500,very_low
3.3,3,1500,2000,very_low
3.3,4,2000,2600,very_low
3.3,5,2600,3000,very_low
3.3,6,3000,3600,low
3.3,7,3600,4000,low
3.3,8,4000,4600,medium
3.3,9,4600,5000,medium
3.3,10,5000,5600,medium
3.3,11,5600,6000,high
3.3,12,6000,6600,high
3.3,13,6600,7000,high
3.3,14,7000,-1,very_high
3.4,0,0,500,very_low
3.4,1,500,900,very_low
3.4,2,900,1500,very_low
3.4,3,1500,2000,very_low
3.4,4,2000,2600,very_low
3.4,5,2600,3000,very_low
3.4,6,3000,3600,low
3.4,7,3600,4000,low
3.4,8,4000,4600,medium
3.4,9,4600,5000,medium
3.4,10,5000,5600,medium
3.4,11,5600,6000,high
3.4,12,6000,6600,high
3.4,13,6600,7000,high
3.4,14,7000,-1,very_high
3.5,0,0,500,very_low
3.5,1,500,900,very_low
3.5,2,900,1500,very_low
3.5,3,1500,2000,very_low
3.5,4,2000,2600,very_low
3.5,5,2600,3000,very_low
3.5,6,3000,3600,very_low
3.5,7,3600,4000,low
3.5,8,4000,4600,medium
3.5,9,4600,5000,medium
3.5,10,5000,5600,medium
3.5,11,5600,6000,high
3.5,12,6000,6600,high
3.5,13,6600,7000,high
3.5,14,7000,-1,very_high
3.6,0,0,500,very_low
3.6,1,500,900,very_low
3.6,2,900,1500,very_low
3.6,3,1500,2000,very_low
3.6,4,2000,2600,very_low
3.6,5,2600,3000,very_low
3.6,6,3000,3600,very_low
3.6,7,3600,4000,low
3.6,8,4000,4600,medium
3.6,9,4600,5000,medium
3.6,10,5000,5600,medium
3.6,11,5600,6000,high
3.6,12,6000,6600,high
3.6,13,6600,7000,high
3.6,14,7000,-1,very_high
3.7,0,0,500,very_low
3.7,1,500,900,very_low
3.7,2,900,1500,very_low
3.7,3,1500,2000,very_low
3.7,4,2000,2600,very_low
3.7,5,2600,3000,very_low
3.7,6,3000,3600,very_low
3.7,7,3600,4000,low
3.7,8,4000,4600,medium
3.7,9,4600,5000,medium
3.7,10,5000,5600,medium
3.7,11,5600,6000,high
3.7,12,6000,6600,high
3.7,13,6600,7000,high
3.7,14,7000,-1,very_high
3.8,0,0,500,very_low
3.8,1,500,900,very_low
3.8,2,900,1500,very_low
3.8,3,1500,2000,very_low
3.8,4,2000,2600,very_low
3.8,5,2600,3000,very_low
3.8,6,3000,3600,very_low
3.8,7,3600,4000,low
3.8,8,4000,4600,medium
3.8,9,4600,5000,medium
3.8,10,5000,5600,medium
3.8,11,5600,6000,high
3.8,12,6000,6600,high
3.8,13,6600,7000,high
3.8,14,7000,-1,very_high
3.9,0,0,500,very_low
3.9,1,500,900,very_low
3.9,2,900,1500,very_low
3.9,3,1500,2000,very_low
3.9,4,2000,2600,very_low
3.9,5,2600,3000,very_low
3.9,6,3000,3600,very_low
3.9,7,3600,4000,low
3.9,8,4000,4600,medium
3.9,9,4600,5000,medium
3.9,10,5000,5600,medium
3.9,11,5600,6000,high
3.9,12,6000,6600,high
3.9,13,6600,7000,high
3.9,14,7000,-1,very_high
4.0,0,0,500,very_low
4.0,1,500,900,very_low
4.0,2,900,1500,very_low
4.0,3,1500,2000,very_low
