# Source: MiD 2023 B1 household microdata (MiD2023_Haushalte.csv, national sample,
#   local-only raw -- never committed). Generated by
#   scripts/extract_mid_ownership_by_rs7_haustyp.py.
# Construct: P(number of bicycles incl. pedelecs | RegioStaR7 x haustyp), H_GEW-weighted shares. haustyp
#   (Gebaeudetyp, Raumbezug Siedlungsblock): 1 Ein-/Zweifamilienhaus, 2 Mehrfamilienhaus,
#   3 Geschosswohnungsbau, 4 sonstiges; code 95 excluded (3.82% of rows).
# Universe: households with H_GEW > 0, RegioStaR7 71..77, haustyp 1..4 and a valid
#   count (anzpedrad <= 30; the missing code 99, 0.029% of rows, excluded).
# Categories capped at 4 (4plus), matching the target2026 categories.
# n_unweighted: raw respondent households per (rs7, ht) cell.
# Thinnest cells (lowest n_unweighted): rs7=74 ht=3 n=62; rs7=77 ht=3 n=136 -- they matter only for rare
#   cell compositions (see the #240 ADR).
rs7,ht,bikes_0,bikes_1,bikes_2,bikes_3,bikes_4plus,n_unweighted
71,1,0.19681688963952468,0.1993238110744786,0.22475237848605187,0.12962288369235384,0.24948403710759096,11631
71,2,0.2342627238194035,0.28724178915993553,0.2229455720241823,0.10203742837163379,0.15351248662484485,14554
71,3,0.3200967794748497,0.27999163499896645,0.21579049222463176,0.09112397630883169,0.09299711699272047,2116
71,4,0.25822524665214996,0.2904500770868098,0.21629935388151456,0.09249619216367605,0.1425291302158496,7488
72,1,0.23683169779379293,0.20411254773171167,0.2218454505944139,0.11165620744417193,0.2255540964359096,22712
72,2,0.27264418685555686,0.25972303324829943,0.22221069994373832,0.10068176745521702,0.14474031249718827,12888
72,3,0.32831259283008174,0.33243749780298887,0.18621758788731174,0.05002998072516614,0.10300234075445149,1538
72,4,0.3188660483971669,0.2597630287657636,0.20253144957963876,0.09562524789544001,0.12321422536199053,6609
73,1,0.2022094492645156,0.20120927156447338,0.22497749848583296,0.13145102056843283,0.24015276011674522,50218
73,2,0.30378852216287866,0.27803627951965065,0.2001662931610561,0.09198449441640426,0.12602441074001033,6313
73,3,0.33396814974253325,0.3131623319095642,0.22381117344463333,0.09084395109016546,0.038214393813103695,985
73,4,0.28838664395530006,0.2639879197299783,0.19893098198359327,0.0921316345912018,0.15656281973992658,6320
74,1,0.2080173978520216,0.19584247576202507,0.22251660978531893,0.12911191384619888,0.2445116027544354,10230
74,2,0.3489909517111725,0.22546587102318935,0.24409091552643206,0.08733208925985268,0.09412017247935353,386
74,3,0.3592995926260675,0.39157347743426113,0.11595822763204591,0.10702308571561453,0.02614561659201093,62
74,4,0.33478189182605056,0.2646636655490092,0.1814930303345294,0.09322166046790141,0.1258397518225093,661
75,1,0.19308792292820454,0.1994220294872522,0.254189575781852,0.12850019665312687,0.2248002751495645,8219
75,2,0.268090783462538,0.2885679125599465,0.20946066658206045,0.10901813708096969,0.12486250031448533,2689
75,3,0.4429229600926927,0.2623398620910791,0.18957152484649514,0.04638584511256408,0.058779807857169054,539
75,4,0.31602413610473706,0.2701706794045301,0.2134074456725633,0.08400256053685602,0.11639517828131352,1794
76,1,0.22834881481745628,0.20398252943111145,0.22516124342728244,0.12146455750901344,0.22104285481513622,20049
76,2,0.3276875538589504,0.2894336830221737,0.2129232658676876,0.07572686577503128,0.09422863147615697,1955
76,3,0.3832994125324307,0.33578521700759045,0.20359304088609154,0.05243600623935187,0.02488632333453545,372
76,4,0.3134620174725775,0.3042724857317508,0.1821426198317424,0.07501256030857308,0.12511031665535619,2149
77,1,0.24313534782952922,0.21019477351299054,0.21430061485593938,0.1234528497953524,0.20891641400618846,15381
77,2,0.3717039386216001,0.27276923668155134,0.21028211574525604,0.06255652868339671,0.08268818026819583,570
77,3,0.2988715416827221,0.34383544578293396,0.2328724256453588,0.08754208595528368,0.0368785009337014,136
77,4,0.32970613996567066,0.2526147058449965,0.2073112287341858,0.08984933602672876,0.12051858942841821,1153
