# MiD 2023 oekonomischer Status x Haushaltstyp x Region.
# Generated by scripts/extract_mid_status_by_hhtype.py from
# mid2023_status_by_hhtype_bundesland.xlsx (sheet 'MiD Tabellen').
# share_pct = P(hhtype | status, region) in percent; base_weighted =
# weighted base (persons) of the (status, region) cell.
region,hhtype,status,share_pct,base_weighted
berlin,three_plus_adults,very_low,2.0,1672.0
brandenburg,three_plus_adults,very_low,4.0,1158.0
mecklenburg_vorpommern,three_plus_adults,very_low,4.0,885.0
sachsen,three_plus_adults,very_low,1.0,2236.0
sachsen_anhalt,three_plus_adults,very_low,0.0,1206.0
thueringen,three_plus_adults,very_low,7.0,1220.0
schleswig_holstein,child_under_6,very_low,5.0,1067.0
hamburg,child_under_6,very_low,6.0,755.0
niedersachsen,child_under_6,very_low,8.0,3254.0
bremen,child_under_6,very_low,19.0,415.0
nordrhein_westfalen,child_under_6,very_low,15.0,8237.0
hessen,child_under_6,very_low,14.0,2337.0
rheinland_pfalz,child_under_6,very_low,4.0,1730.0
baden_wuerttemberg,child_under_6,very_low,6.0,3824.0
bayern,child_under_6,very_low,5.0,4281.0
saarland,child_under_6,very_low,20.0,558.0
berlin,child_under_6,very_low,2.0,1672.0
brandenburg,child_under_6,very_low,4.0,1158.0
mecklenburg_vorpommern,child_under_6,very_low,2.0,885.0
sachsen,child_under_6,very_low,8.0,2236.0
sachsen_anhalt,child_under_6,very_low,2.0,1206.0
thueringen,child_under_6,very_low,5.0,1220.0
schleswig_holstein,child_under_14,very_low,6.0,1067.0
hamburg,child_under_14,very_low,2.0,755.0
niedersachsen,child_under_14,very_low,8.0,3254.0
bremen,child_under_14,very_low,1.0,415.0
nordrhein_westfalen,child_under_14,very_low,9.0,8237.0
hessen,child_under_14,very_low,6.0,2337.0
rheinland_pfalz,child_under_14,very_low,9.0,1730.0
baden_wuerttemberg,child_under_14,very_low,10.0,3824.0
bayern,child_under_14,very_low,6.0,4281.0
saarland,child_under_14,very_low,7.0,558.0
berlin,child_under_14,very_low,5.0,1672.0
brandenburg,child_under_14,very_low,5.0,1158.0
mecklenburg_vorpommern,child_under_14,very_low,4.0,885.0
sachsen,child_under_14,very_low,2.0,2236.0
sachsen_anhalt,child_under_14,very_low,5.0,1206.0
thueringen,child_under_14,very_low,5.0,1220.0
schleswig_holstein,child_under_18,very_low,0.0,1067.0
hamburg,child_under_18,very_low,1.0,755.0
niedersachsen,child_under_18,very_low,2.0,3254.0
bremen,child_under_18,very_low,2.0,415.0
nordrhein_westfalen,child_under_18,very_low,1.0,8237.0
hessen,child_under_18,very_low,4.0,2337.0
rheinland_pfalz,child_under_18,very_low,1.0,1730.0
baden_wuerttemberg,child_under_18,very_low,3.0,3824.0
bayern,child_under_18,very_low,2.0,4281.0
saarland,child_under_18,very_low,0.0,558.0
berlin,child_under_18,very_low,0.0,1672.0
brandenburg,child_under_18,very_low,2.0,1158.0
mecklenburg_vorpommern,child_under_18,very_low,0.0,885.0
sachsen,child_under_18,very_low,3.0,2236.0
sachsen_anhalt,child_under_18,very_low,6.0,1206.0
thueringen,child_under_18,very_low,4.0,1220.0
schleswig_holstein,single_parent,very_low,6.0,1067.0
hamburg,single_parent,very_low,6.0,755.0
niedersachsen,single_parent,very_low,4.0,3254.0
bremen,single_parent,very_low,4.0,415.0
nordrhein_westfalen,single_parent,very_low,4.0,8237.0
hessen,single_parent,very_low,4.0,2337.0
rheinland_pfalz,single_parent,very_low,6.0,1730.0
baden_wuerttemberg,single_parent,very_low,3.0,3824.0
bayern,single_parent,very_low,3.0,4281.0
saarland,single_parent,very_low,4.0,558.0
berlin,single_parent,very_low,2.0,1672.0
brandenburg,single_parent,very_low,6.0,1158.0
mecklenburg_vorpommern,single_parent,very_low,2.0,885.0
sachsen,single_parent,very_low,5.0,2236.0
sachsen_anhalt,single_parent,very_low,8.0,1206.0
thueringen,single_parent,very_low,5.0,1220.0
schleswig_holstein,not_classifiable,very_low,1.0,1067.0
hamburg,not_classifiable,very_low,5.0,755.0
niedersachsen,not_classifiable,very_low,3.0,3254.0
bremen,not_classifiable,very_low,5.0,415.0
nordrhein_westfalen,not_classifiable,very_low,4.0,8237.0
hessen,not_classifiable,very_low,3.0,2337.0
rheinland_pfalz,not_classifiable,very_low,7.0,1730.0
baden_wuerttemberg,not_classifiable,very_low,4.0,3824.0
bayern,not_classifiable,very_low,5.0,4281.0
saarland,not_classifiable,very_low,2.0,558.0
berlin,not_classifiable,very_low,0.0,1672.0
brandenburg,not_classifiable,very_low,1.0,1158.0
mecklenburg_vorpommern,not_classifiable,very_low,3.0,885.0
sachsen,not_classifiable,very_low,3.0,2236.0
sachsen_anhalt,not_classifiable,very_low,2.0,1206.0
thueringen,not_classifiable,very_low,1.0,1220.0
schleswig_holstein,single_18_29,low,1.0,1682.0
hamburg,single_18_29,low,9.0,900.0
niedersachsen,single_18_29,low,4.0,4142.0
bremen,single_18_29,low,2.0,479.0
nordrhein_westfalen,single_18_29,low,3.0,10138.0
hessen,single_18_29,low,3.0,3011.0
rheinland_pfalz,single_18_29,low,2.0,2124.0
baden_wuerttemberg,single_18_29,low,4.0,4839.0
bayern,single_18_29,low,4.0,6190.0
saarland,single_18_29,low,4.0,610.0
berlin,single_18_29,low,6.0,1948.0
brandenburg,single_18_29,low,1.0,1466.0
mecklenburg_vorpommern,single_18_29,low,5.0,1060.0
sachsen,single_18_29,low,4.0,3440.0
sachsen_anhalt,single_18_29,low,2.0,1251.0
thueringen,single_18_29,low,1.0,1622.0
schleswig_holstein,single_30_59,low,9.0,1682.0
hamburg,single_30_59,low,13.0,900.0
niedersachsen,single_30_59,low,10.0,4142.0
bremen,single_30_59,low,7.0,479.0
nordrhein_westfalen,single_30_59,low,9.0,10138.0
hessen,single_30_59,low,7.0,3011.0
rheinland_pfalz,single_30_59,low,8.0,2124.0
baden_wuerttemberg,single_30_59,low,6.0,4839.0
bayern,single_30_59,low,9.0,6190.0
saarland,single_30_59,low,8.0,610.0
berlin,single_30_59,low,17.0,1948.0
brandenburg,single_30_59,low,9.0,1466.0
mecklenburg_vorpommern,single_30_59,low,9.0,1060.0
sachsen,single_30_59,low,11.0,3440.0
sachsen_anhalt,single_30_59,low,11.0,1251.0
thueringen,single_30_59,low,7.0,1622.0
schleswig_holstein,single_60_plus,low,16.0,1682.0
hamburg,single_60_plus,low,21.0,900.0
niedersachsen,single_60_plus,low,19.0,4142.0
bremen,single_60_plus,low,15.0,479.0
nordrhein_westfalen,single_60_plus,low,16.0,10138.0
hessen,single_60_plus,low,18.0,3011.0
rheinland_pfalz,single_60_plus,low,15.0,2124.0
baden_wuerttemberg,single_60_plus,low,17.0,4839.0
bayern,single_60_plus,low,18.0,6190.0
saarland,single_60_plus,low,15.0,610.0
berlin,single_60_plus,low,24.0,1948.0
brandenburg,single_60_plus,low,19.0,1466.0
mecklenburg_vorpommern,single_60_plus,low,23.0,1060.0
sachsen,single_60_plus,low,20.0,3440.0
sachsen_anhalt,single_60_plus,low,20.0,1251.0
thueringen,single_60_plus,low,19.0,1622.0
schleswig_holstein,couple_youngest_18_29,low,4.0,1682.0
hamburg,couple_youngest_18_29,low,6.0,900.0
niedersachsen,couple_youngest_18_29,low,4.0,4142.0
bremen,couple_youngest_18_29,low,5.0,479.0
nordrhein_westfalen,couple_youngest_18_29,low,4.0,10138.0
hessen,couple_youngest_18_29,low,7.0,3011.0
rheinland_pfalz,couple_youngest_18_29,low,5.0,2124.0
baden_wuerttemberg,couple_youngest_18_29,low,4.0,4839.0
bayern,couple_youngest_18_29,low,4.0,6190.0
saarland,couple_youngest_18_29,low,6.0,610.0
berlin,couple_youngest_18_29,low,11.0,1948.0
brandenburg,couple_youngest_18_29,low,4.0,1466.0
mecklenburg_vorpommern,couple_youngest_18_29,low,2.0,1060.0
sachsen,couple_youngest_18_29,low,3.0,3440.0
sachsen_anhalt,couple_youngest_18_29,low,3.0,1251.0
thueringen,couple_youngest_18_29,low,2.0,1622.0
schleswig_holstein,couple_youngest_30_59,low,5.0,1682.0
hamburg,couple_youngest_30_59,low,4.0,900.0
niedersachsen,couple_youngest_30_59,low,5.0,4142.0
bremen,couple_youngest_30_59,low,5.0,479.0
nordrhein_westfalen,couple_youngest_30_59,low,6.0,10138.0
hessen,couple_youngest_30_59,low,7.0,3011.0
rheinland_pfalz,couple_youngest_30_59,low,7.0,2124.0
baden_wuerttemberg,couple_youngest_30_59,low,6.0,4839.0
bayern,couple_youngest_30_59,low,4.0,6190.0
saarland,couple_youngest_30_59,low,5.0,610.0
berlin,couple_youngest_30_59,low,4.0,1948.0
brandenburg,couple_youngest_30_59,low,6.0,1466.0
mecklenburg_vorpommern,couple_youngest_30_59,low,7.0,1060.0
sachsen,couple_youngest_30_59,low,7.0,3440.0
sachsen_anhalt,couple_youngest_30_59,low,6.0,1251.0
thueringen,couple_youngest_30_59,low,6.0,1622.0
schleswig_holstein,couple_youngest_60_plus,low,31.0,1682.0
hamburg,couple_youngest_60_plus,low,16.0,900.0
niedersachsen,couple_youngest_60_plus,low,28.0,4142.0
bremen,couple_youngest_60_plus,low,12.0,479.0
nordrhein_westfalen,couple_youngest_60_plus,low,24.0,10138.0
hessen,couple_youngest_60_plus,low,25.0,3011.0
