sex,n_weighted,n_unweighted,einzelfahrschein,mehrfachkarte,deutschlandticket,wochen_monat_ohne_abo,monat_abo_jahreskarte,jobticket_semesterticket,anderes,fahre_nie,keine_angabe
male,2348.0,4906.0,37.0,5.0,10.0,2.0,2.0,6.0,3.0,36.0,0.0
female,2369.0,4731.0,38.0,6.0,10.0,3.0,2.0,3.0,3.0,35.0,0.0
