# MiD 2023 oekonomischer Status x Haushaltstyp x Region.
# Generated by scripts/extract_mid_status_by_hhtype.py from
# mid2023_status_by_hhtype_raumtyp.xlsx (sheet 'MiD Tabellen').
# share_pct = P(hhtype | status, region) in percent; base_weighted =
# weighted base (persons) of the (status, region) cell.
region,hhtype,status,share_pct,base_weighted
laendlich_zentrale_stadt,single_18_29,low,4.0,2953.0
laendlich_mittelstadt,single_18_29,low,2.0,7488.0
laendlich_kleinstaedtisch,single_18_29,low,2.0,7803.0
stadtregion_metropole,single_30_59,low,13.0,6872.0
stadtregion_regiopole_grossstadt,single_30_59,low,8.0,6997.0
stadtregion_mittelstadt,single_30_59,low,9.0,10144.0
stadtregion_kleinstaedtisch,single_30_59,low,12.0,2646.0
laendlich_zentrale_stadt,single_30_59,low,7.0,2953.0
laendlich_mittelstadt,single_30_59,low,8.0,7488.0
laendlich_kleinstaedtisch,single_30_59,low,9.0,7803.0
stadtregion_metropole,single_60_plus,low,21.0,6872.0
stadtregion_regiopole_grossstadt,single_60_plus,low,17.0,6997.0
stadtregion_mittelstadt,single_60_plus,low,18.0,10144.0
stadtregion_kleinstaedtisch,single_60_plus,low,17.0,2646.0
laendlich_zentrale_stadt,single_60_plus,low,20.0,2953.0
laendlich_mittelstadt,single_60_plus,low,20.0,7488.0
laendlich_kleinstaedtisch,single_60_plus,low,13.0,7803.0
stadtregion_metropole,couple_youngest_18_29,low,8.0,6872.0
stadtregion_regiopole_grossstadt,couple_youngest_18_29,low,7.0,6997.0
stadtregion_mittelstadt,couple_youngest_18_29,low,4.0,10144.0
stadtregion_kleinstaedtisch,couple_youngest_18_29,low,2.0,2646.0
laendlich_zentrale_stadt,couple_youngest_18_29,low,4.0,2953.0
laendlich_mittelstadt,couple_youngest_18_29,low,3.0,7488.0
laendlich_kleinstaedtisch,couple_youngest_18_29,low,3.0,7803.0
stadtregion_metropole,couple_youngest_30_59,low,5.0,6872.0
stadtregion_regiopole_grossstadt,couple_youngest_30_59,low,6.0,6997.0
stadtregion_mittelstadt,couple_youngest_30_59,low,5.0,10144.0
stadtregion_kleinstaedtisch,couple_youngest_30_59,low,5.0,2646.0
laendlich_zentrale_stadt,couple_youngest_30_59,low,9.0,2953.0
laendlich_mittelstadt,couple_youngest_30_59,low,5.0,7488.0
laendlich_kleinstaedtisch,couple_youngest_30_59,low,6.0,7803.0
stadtregion_metropole,couple_youngest_60_plus,low,18.0,6872.0
stadtregion_regiopole_grossstadt,couple_youngest_60_plus,low,21.0,6997.0
stadtregion_mittelstadt,couple_youngest_60_plus,low,29.0,10144.0
stadtregion_kleinstaedtisch,couple_youngest_60_plus,low,27.0,2646.0
laendlich_zentrale_stadt,couple_youngest_60_plus,low,29.0,2953.0
laendlich_mittelstadt,couple_youngest_60_plus,low,34.0,7488.0
laendlich_kleinstaedtisch,couple_youngest_60_plus,low,34.0,7803.0
stadtregion_metropole,three_plus_adults,low,3.0,6872.0
stadtregion_regiopole_grossstadt,three_plus_adults,low,6.0,6997.0
stadtregion_mittelstadt,three_plus_adults,low,6.0,10144.0
stadtregion_kleinstaedtisch,three_plus_adults,low,3.0,2646.0
laendlich_zentrale_stadt,three_plus_adults,low,6.0,2953.0
laendlich_mittelstadt,three_plus_adults,low,6.0,7488.0
laendlich_kleinstaedtisch,three_plus_adults,low,7.0,7803.0
stadtregion_metropole,child_under_6,low,11.0,6872.0
stadtregion_regiopole_grossstadt,child_under_6,low,12.0,6997.0
stadtregion_mittelstadt,child_under_6,low,10.0,10144.0
stadtregion_kleinstaedtisch,child_under_6,low,8.0,2646.0
laendlich_zentrale_stadt,child_under_6,low,8.0,2953.0
laendlich_mittelstadt,child_under_6,low,8.0,7488.0
laendlich_kleinstaedtisch,child_under_6,low,10.0,7803.0
stadtregion_metropole,child_under_14,low,8.0,6872.0
stadtregion_regiopole_grossstadt,child_under_14,low,9.0,6997.0
stadtregion_mittelstadt,child_under_14,low,8.0,10144.0
stadtregion_kleinstaedtisch,child_under_14,low,12.0,2646.0
