# Source: MiD 2023 B1 household microdata (MiD2023_Haushalte.csv, national sample,
#   local-only raw -- never committed). Generated by
#   scripts/extract_mid_ownership_by_rs7_haustyp.py.
# Construct: P(number of cars | RegioStaR7 x haustyp), H_GEW-weighted shares. haustyp
#   (Gebaeudetyp, Raumbezug Siedlungsblock): 1 Ein-/Zweifamilienhaus, 2 Mehrfamilienhaus,
#   3 Geschosswohnungsbau, 4 sonstiges; code 95 excluded (3.82% of rows).
# Universe: households with H_GEW > 0, RegioStaR7 71..77, haustyp 1..4 and a valid
#   count (H_ANZAUTO <= 20; the missing code 99, 0.029% of rows, excluded).
# Categories capped at 3 (3plus), matching the target2026 categories.
# n_unweighted: raw respondent households per (rs7, ht) cell.
# Thinnest cells (lowest n_unweighted): rs7=74 ht=3 n=62; rs7=77 ht=3 n=136 -- they matter only for rare
#   cell compositions (see the #240 ADR).
rs7,ht,cars_0,cars_1,cars_2,cars_3plus,n_unweighted
71,1,0.18433653659688,0.5518970072176168,0.22840847887120116,0.035357977314302076,11631
71,2,0.4491655676122468,0.46342490393277946,0.07768073343968618,0.009728795015287475,14554
71,3,0.5241930646732939,0.41707293632561326,0.0559018754040054,0.0028321235970875775,2116
71,4,0.45747161217873605,0.44370742352435716,0.0868966094264675,0.011924354870439132,7488
72,1,0.15915549706039717,0.5519694554981641,0.2508594721301221,0.03801557531131654,22712
72,2,0.345896963039714,0.5371056392568984,0.10436496903852369,0.012632428664863925,12888
72,3,0.4430036966863244,0.4847776492983355,0.06815919989318522,0.004059454122155049,1538
72,4,0.3472306342934543,0.5070785837439875,0.12964927174915583,0.01604151021340239,6609
73,1,0.09657099272968735,0.5152152886175984,0.32826878194405307,0.059944936708661155,50218
73,2,0.2362673869803343,0.578474073990927,0.16312261534386122,0.022135923684877407,6313
73,3,0.300821024890766,0.596715732291112,0.09285056999758326,0.009612672820538655,985
73,4,0.21539959630053687,0.5611277115972305,0.19824260341289088,0.0252300886893417,6320
74,1,0.06521225820657929,0.4929055227375222,0.3751244473689486,0.06675777168694998,10230
74,2,0.23261430017464363,0.5451825841020198,0.2056293263017826,0.016573789421553874,386
74,3,0.3446676536500113,0.5221133849324097,0.1310009193650521,0.0022180420525269888,62
74,4,0.1841907918517025,0.5644298876719136,0.21226661512843004,0.039112705347953955,661
75,1,0.12555893555230385,0.5431493612666713,0.2847125789967249,0.04657912418429995,8219
75,2,0.28163837567200783,0.5832700549491584,0.11454079201837128,0.020550777360462433,2689
75,3,0.38334233309450816,0.5528932071157461,0.06323349425383643,0.0005309655359092522,539
75,4,0.26434852948268217,0.5653567221788529,0.14967004629856032,0.020624702039904748,1794
76,1,0.09142797137178074,0.5221698019157146,0.32457847053247346,0.06182375618003121,20049
76,2,0.21034355731898532,0.6139790556587077,0.15543980759746326,0.02023757942484363,1955
76,3,0.31914317126095665,0.6004137270085642,0.07198332305080737,0.008459778679671778,372
76,4,0.2365207075751138,0.5316665673115287,0.2002590046958646,0.03155372041749274,2149
77,1,0.06539268557784866,0.49872829613824377,0.3533694396454693,0.08250957863843834,15381
77,2,0.21883389512985738,0.6013791236950581,0.16233660001503683,0.017450381160047688,570
77,3,0.27455766328034586,0.6714848123044231,0.053957524415230995,0.0,136
77,4,0.18325730771220994,0.5345758631443535,0.22433125313243585,0.05783557601100076,1153
