# Source: MiD 2023 scientific-use microdata (SUF B1, infas/DLR/IVT/infas 360), server-only raw
#   files MiD2023_Personen.csv / MiD2023_Wege.csv; generated by scripts/extract_mid_workday_location.py on 2026-09-04.
# Table: mid2023_workday_location_by_commute_distance.csv
# Universe (ruling R4): arbwo == 1 (reporting day is a weekday) AND M_HOFF == 1 (asked the
#   home-office module) AND P_STARB1 in (1, 2, 9) (worked / did not work / no answer). The
#   module/weekday filter alone still keeps ~100k not-applicable, filter-coded persons
#   (P_STARB1 codes such as 202/206/402/404/407 mean 'not employed'/'not asked'); the
#   P_STARB1 filter removes them -- see _mid_universe in commute_day_state_reference.py.
# States (ruling R4): did_not_work = P_STARB1 == 2; missing = P_STARB1 == 9 (no answer) or
#   an unmapped starb2 code (e.g. 99) among P_STARB1 == 1 workers; at_workplace = P_STARB1
#   == 1 & starb2 == 2; at_home = P_STARB1 == 1 & starb2 == 1; other_place = P_STARB1 == 1
#   & starb2 in (3, 4, 5, 96).
# Weight: P_GEW (person weight). Distance: P_ARB_ENTF (ruling R5) cleaned by
#   clean_mid_commute_distance_km in the module -- codes 996, 999 and every value >= 1000
#   (MiD filter/skip codes, e.g. 2202/2206/4402/4404/4407) become missing (counted in
#   n_missing_distance, excluded from class rows); 200.0 is a legitimate top-code, classed
#   100_200.
# Classes (km): lt10 [0,10), 10_25, 25_50, 50_100, 100_200 (incl. the 200 top-code); gt200 cannot occur in MiD.
# Purpose: reference for the commute-day-state model (spec 2026-09-04); NOT a control target.
# Columns: distance_class, n_unweighted, n_missing_distance (all row only), share_at_workplace,
# share_at_home, share_did_not_work, share_other_place, share_missing (weighted row shares, sum 1).
distance_class,n_unweighted,n_missing_distance,share_at_workplace,share_at_home,share_did_not_work,share_other_place,share_missing
lt10,19100,0,0.5905731318,0.08150119053,0.2612968649,0.06570606794,0.0009227448621
10_25,14269,0,0.5681892902,0.1061767109,0.2670021249,0.05816689489,0.0004649791334
25_50,8016,0,0.5485568909,0.1411899239,0.2602080158,0.04838908498,0.001656084412
50_100,2724,0,0.4646267951,0.2342352012,0.2295895303,0.07154847346,0
100_200,783,0,0.3135045918,0.3285042909,0.2696989,0.080099134,0.00819308329
all,49527,4635,0.5208613377,0.1337670831,0.2633659158,0.08049799053,0.001507672941
