# MiD 2023 Anzahl Autos im HH x oekonomischer Status x Haushaltstyp.
# Generated by scripts/extract_mid_cars_by_status.py from
# mid2023_cars_by_status_hhtype.xlsx (sheet 'MiD Tabellen').
# num_cars folded to 0/1/2/3 (3 == '3 or more' = MiD '3 Autos' + '4 Autos
# und mehr'), matching the MiD H7 Kreis control. share_pct = P(hhtype |
# num_cars, status) in percent; base_weighted = weighted household base
# of the (num_cars, status) cell.
num_cars,hhtype,status,share_pct,base_weighted
2,couple_youngest_60_plus,low,35.0,2189.0
2,not_classifiable,low,0.0,2189.0
2,single_18_29,low,0.0,2189.0
2,single_30_59,low,2.0,2189.0
2,single_60_plus,low,4.0,2189.0
2,single_parent,low,1.0,2189.0
2,three_plus_adults,low,8.0,2189.0
2,child_under_14,medium,16.0,9955.0
2,child_under_18,medium,6.0,9955.0
2,child_under_6,medium,22.0,9955.0
2,couple_youngest_18_29,medium,4.0,9955.0
2,couple_youngest_30_59,medium,11.0,9955.0
2,couple_youngest_60_plus,medium,26.0,9955.0
2,not_classifiable,medium,0.0,9955.0
2,single_18_29,medium,1.0,9955.0
2,single_30_59,medium,3.0,9955.0
2,single_60_plus,medium,3.0,9955.0
2,single_parent,medium,1.0,9955.0
2,three_plus_adults,medium,7.0,9955.0
2,child_under_14,very_high,23.0,13305.0
2,child_under_18,very_high,5.0,13305.0
2,child_under_6,very_high,24.0,13305.0
2,couple_youngest_18_29,very_high,4.0,13305.0
2,couple_youngest_30_59,very_high,24.0,13305.0
2,couple_youngest_60_plus,very_high,10.0,13305.0
2,not_classifiable,very_high,0.0,13305.0
2,single_18_29,very_high,0.0,13305.0
2,single_30_59,very_high,2.0,13305.0
2,single_60_plus,very_high,1.0,13305.0
2,single_parent,very_high,0.0,13305.0
2,three_plus_adults,very_high,5.0,13305.0
2,child_under_14,very_low,9.0,777.0
2,child_under_18,very_low,3.0,777.0
2,child_under_6,very_low,12.0,777.0
2,couple_youngest_18_29,very_low,7.0,777.0
2,couple_youngest_30_59,very_low,10.0,777.0
2,couple_youngest_60_plus,very_low,29.0,777.0
2,not_classifiable,very_low,2.0,777.0
2,single_18_29,very_low,3.0,777.0
2,single_30_59,very_low,5.0,777.0
2,single_60_plus,very_low,8.0,777.0
2,single_parent,very_low,1.0,777.0
2,three_plus_adults,very_low,12.0,777.0
3,child_under_14,high,10.0,4798.0
3,child_under_18,high,9.165694,4798.0
3,child_under_6,high,8.497082,4798.0
3,couple_youngest_18_29,high,2.165694,4798.0
3,couple_youngest_30_59,high,10.834306,4798.0
3,couple_youngest_60_plus,high,6.834306,4798.0
3,not_classifiable,high,0.0,4798.0
3,single_18_29,high,0.0,4798.0
3,single_30_59,high,2.165694,4798.0
3,single_60_plus,high,2.165694,4798.0
3,single_parent,high,0.0,4798.0
3,three_plus_adults,high,48.17153,4798.0
3,child_under_14,low,16.30137,219.0
3,child_under_18,low,8.0,219.0
3,child_under_6,low,8.821918,219.0
3,couple_youngest_18_29,low,1.0,219.0
3,couple_youngest_30_59,low,6.794521,219.0
3,couple_youngest_60_plus,low,19.712329,219.0
3,not_classifiable,low,0.205479,219.0
3,single_18_29,low,1.589041,219.0
3,single_30_59,low,2.671233,219.0
3,single_60_plus,low,1.794521,219.0
3,single_parent,low,0.794521,219.0
3,three_plus_adults,low,33.109589,219.0
3,child_under_14,medium,14.223423,1665.0
3,child_under_18,medium,13.0,1665.0
3,child_under_6,medium,14.553153,1665.0
3,couple_youngest_18_29,medium,0.741141,1665.0
3,couple_youngest_30_59,medium,4.964565,1665.0
3,couple_youngest_60_plus,medium,9.929129,1665.0
3,not_classifiable,medium,0.0,1665.0
3,single_18_29,medium,0.741141,1665.0
3,single_30_59,medium,6.741141,1665.0
3,single_60_plus,medium,2.741141,1665.0
3,single_parent,medium,0.0,1665.0
3,three_plus_adults,medium,32.847447,1665.0
3,child_under_14,very_high,13.324596,2785.0
3,child_under_18,very_high,8.549731,2785.0
3,child_under_6,very_high,11.099461,2785.0
3,couple_youngest_18_29,very_high,2.0,2785.0
3,couple_youngest_30_59,very_high,16.649192,2785.0
3,couple_youngest_60_plus,very_high,6.0,2785.0
3,not_classifiable,very_high,0.450269,2785.0
3,single_18_29,very_high,0.0,2785.0
3,single_30_59,very_high,2.225135,2785.0
3,single_60_plus,very_high,1.0,2785.0
3,single_parent,very_high,0.0,2785.0
3,three_plus_adults,very_high,37.701616,2785.0
3,child_under_14,very_low,6.23913,92.0
3,child_under_18,very_low,4.054348,92.0
3,child_under_6,very_low,21.956522,92.0
3,couple_youngest_18_29,very_low,9.184783,92.0
3,couple_youngest_30_59,very_low,3.0,92.0
3,couple_youngest_60_plus,very_low,8.23913,92.0
3,not_classifiable,very_low,5.413043,92.0
3,single_18_29,very_low,2.119565,92.0
3,single_30_59,very_low,6.173913,92.0
3,single_60_plus,very_low,4.119565,92.0
3,single_parent,very_low,0.0,92.0
3,three_plus_adults,very_low,28.793478,92.0
