# Source: MiD 2023 Wege (local raw MiD2023_Wege.csv), W_ZWECK in {6, 13},
# W_GEW-weighted. Code 6 = active Bringen/Holen; code 13 = the escorted
# person's own (passive) leg (issue #256; 100% minors, verified 2026-08-11).
# Day universe: weekday reporting days kernwo in [1, 2, 3], as the PopulationSim seed
#   (braunschweig.popsim.seed.MID_SEED_COLUMNS.day_filter_values; config key
#   braunschweig.population.popsim.seed_day_filter, default "default"). EVERY row --
#   code_6 and 'both' included -- is measured on that universe, because only a weekday
#   MiD diary can become a synthetic person's plan source (ruling C-R18).
# Leg universe (pairing and fold only): on top of the day filter, the TRIP BUILD's own
#   filters -- rbW summary legs excluded, leading arrive-home leg dropped.
# Exclusions: n_legs_raw=1087393 -> weekday 836178/1087393 (76.90%);
#   passive legs kept by the trip build 6781/6781 (100.00% of the
#   weekday passive legs); kernwo values that failed the numeric coercion and were dropped: 0.
# share_weighted over ALL weekday escort legs (n=42069); length stats
# (wegkm_imp >= 0, < 1000 km) cover 1.0000 of the escort weight.
# weight_coercion_failures=0.
# Band columns follow mid2023_W12_triplength_by_purpose.csv (row-%).
# code_13_to_<purpose>_share_under_pairing (code_13 row only; issue #372, ADR-0112):
# the W_GEW purpose FOLD of the passive (code 13) legs once escort_passive_from_adult
# pairs each with the accompanying adult's leg and gives it that adult's purpose; the
# education member keeps the name code_13_to_education_share_under_pairing. The columns
# sum to 1 over the passive legs. The education member decomposes into
# 0.1947 paired with an ACTIVE escort leg
# + 0.0738 left unpaired (kept on the escort_passive_education rule).
# Pairing rate: 6384/6781 legs (0.9415) within 15 min.
# Universe: the 6781 passive legs the TRIP BUILD keeps out of the 6781 weekday
# passive legs; the adult candidate pool is filtered the same way, so this describes the
# production leg universe, not the raw one.
# The two decomposition figures above are rounded independently of the row value, so
# their sum can differ from it by one unit in the last place.
# ASSUMED flag values (the production state, set in configs/base_bs.yml; a run configured
# differently does NOT match these numbers):
#   escort_purpose = True
#   escort_passive_education = True
#   escort_passive_from_adult = True
#   w_zweck_10_as_leisure = True
#   exclude_rbw_legs = True
#   drop_leading_arrive_home_leg = True
#   escort_passive_pair_max_gap_minutes = 15
# Generated by scripts/derive_escort_w_zweck_split.py; regenerate there, never edit.
w_zweck,n_legs_unweighted,share_weighted,mean_km,median_km,d_unter_0_5km,d_0_5_1km,d_1_2km,d_2_5km,d_5_10km,d_10_20km,d_20_50km,d_50_100km,d_100km_plus,code_13_to_education_share_under_pairing,code_13_to_escort_share_under_pairing,code_13_to_home_share_under_pairing,code_13_to_leisure_share_under_pairing,code_13_to_other_share_under_pairing,code_13_to_shop_share_under_pairing
code_6,35288,0.7819,7.3458,2.85,8.88,16.63,17.23,25.85,15.13,9.8,4.94,1.0,0.52,,,,,,
code_13,6781,0.2181,9.3577,2.76,11.75,16.61,17.43,21.39,14.89,10.43,4.91,1.46,1.12,0.2684,0.0,0.1283,0.2451,0.1804,0.1778
both,42069,1.0,7.7847,2.85,9.51,16.63,17.28,24.88,15.08,9.94,4.93,1.1,0.65,,,,,,
