school_id,name,level,capacity,ags8,kreis5,x,y,geocode_quality,dist_to_osm_edu_m,validated
abs_25926,Grundschule Danndorf,grundschule,164.0,03154004,03154,630529.2676165379,5810214.908031902,address,2405.278858614116,False
abs_25963,Grundschule Grasleben,grundschule,165.0,03154008,03154,637502.9494408802,5797263.068678131,address,1.1483453795279206,True
abs_25975,Grundschule Am See,grundschule,330.0,03154009,03154,630432.3532877609,5804488.745770548,address,9.201745289761682,True
abs_25987,Grundschule Lessingstraße,grundschule,247.0,03154028,03154,637738.119141456,5788866.539657657,address,20.310845409022868,True
abs_25999,Grundschule St. Ludgeri,grundschule,129.0,03154028,03154,637585.5251432825,5788063.299525312,address,5.6010621098910205,True
abs_26013,Grundschule Pestalozzistraße,grundschule,272.0,03154028,03154,636319.1556278697,5787825.409236648,address,11.918318330665155,True
abs_26049,Grundschule Heeseberg,grundschule,131.0,03154012,03154,630111.4296008528,5771747.084051504,address,273.1871969566237,True
abs_26086,Grundschule Königslutter,grundschule,500.0,03154013,03154,624140.8050527445,5790067.4941983465,address,26.421829682635664,True
abs_26165,Grundschule An der Schunter,grundschule,242.0,03154021,03154,630493.3321277568,5788038.59223661,address,148.28759453860766,True
abs_26189,Grundschule Offleben,grundschule,93.0,03154028,03154,638201.5046506841,5781050.135019543,plz_centroid,2823.4550367460356,False
abs_26190,Grundschule Schöningen,grundschule,419.0,03154019,03154,634744.7451893487,5778032.100598732,address,6.170506866610609,True
abs_26244,Grundschule Börßum,grundschule,177.0,03158038,03158,608740.4541489098,5770088.483494201,address,10.300339289220053,True
abs_26281,Grundschule Hohenassel,grundschule,79.0,03158004,03158,583123.2797294711,5776952.75779289,address,11.84071359600271,True
abs_26311,Grundschule Cramme,grundschule,79.0,03158005,03158,599042.9789526644,5774671.12782252,address,127.75143438312685,True
abs_26323,Grundschule Dettum,grundschule,170.0,03158009,03158,613840.220810319,5781679.512276999,address,3571.5419088734952,False
abs_26347,Grundschule Denkte,grundschule,95.0,03158008,03158,610390.3908547881,5778183.790034926,address,13.426182027691826,True
abs_26359,Clemens-Schule Hornburg,grundschule,346.0,03158039,03158,610008.6273992546,5766045.3507323945,address,3683.407175927889,False
abs_26372,Grundschule Kissenbrück,grundschule,91.0,03158021,03158,609085.8470614593,5774395.697797135,address,20.460997206981528,True
abs_26384,Grundschule Remlingen,grundschule,162.0,03158040,03158,615173.5013920999,5775439.049063016,address,116.87862449071072,True
abs_26414,Grundschule Schöppenstedt,grundschule,307.0,03158027,03158,621715.1868539683,5778747.910148081,address,68.15802510725302,True
abs_26438,Grundschule Winnigstedt,grundschule,80.0,03158035,03158,621456.3327377584,5769866.854006198,address,2212.6184499746664,False
abs_26451,Grundschule Fümmelse,grundschule,143.0,03158037,03158,601222.2515664254,5779999.92845512,address,13.809365426967611,True
abs_26463,Grundschule Groß Stöckheim,grundschule,73.0,03158037,03158,603775.3823156877,5781588.299088998,address,2.9268640392353737,True
abs_26487,Grundschule am Geitelplatz,grundschule,484.0,03158037,03158,606702.6289511549,5780976.141437305,address,9.448218780340394,True
abs_26499,Schunterschule,grundschule,278.0,03154014,03154,616416.0219978679,5802059.339829728,address,3.8257361117640674,True
abs_26517,Sandbachschule,grundschule,208.0,03158006,03158,615415.2008856001,5792548.132524356,address,1.5729682351037595,True
abs_26529,Erich-Kästner-Schule,grundschule,158.0,03158006,03158,610948.23354161,5792924.260495407,address,2.626946848504462,True
abs_26530,Grundschule Friedrichstraße,grundschule,242.0,03154028,03154,636862.4790078059,5788917.008188062,address,160.00044470626537,True
abs_26554,Grundschule Elbe,grundschule,235.0,03158011,03158,586897.9628527124,5771462.735229508,address,4.334116780729604,True
abs_26670,Grundschule Abbensen,grundschule,94.0,03157001,03157,580499.3166731972,5804675.63532106,address,6.158232757004036,True
abs_26700,Grundschule Salzdahlum,grundschule,98.0,03158037,03158,608355.4970124793,5784294.775908295,address,1.3946545277654587,True
abs_26736,Grundschule Plockhorst,grundschule,68.0,03157001,03157,586901.0940711978,5810438.865018974,address,0.8000491080056071,True
abs_26797,Grundschule Halchter,grundschule,50.0,03158037,03158,606015.8332426011,5777889.890475466,address,238.17198609688418,True
abs_26840,Grundschule in der Südstadt,grundschule,346.0,03157006,03157,584527.8385586996,5796226.915662053,address,171.59351804279157,True
abs_26852,Wallschule Sally PEREL,grundschule,257.0,03157006,03157,583537.2306565272,5797388.087301484,address,548.2361334312193,True
abs_26864,Schule unterm Regenbogen,grundschule,120.0,03157006,03157,587862.9196311,5792420.856020767,address,2498.119976485778,False
abs_26876,Grundschule Löwenherz,grundschule,177.0,03157007,03157,596522.2663565057,5792029.277515056,address,5.5167822310338686,True
abs_26906,Grundschule Essinghausen,grundschule,136.0,03157006,03157,587026.5508805678,5798769.31155569,address,37.8159684261346,True
abs_26979,Heinrich-Kielhorn-Schule,grundschule,226.0,03157007,03157,593336.198908315,5785770.033320414,address,11.569040869125963,True
abs_26992,Alte Dorfschule Bortfeld,grundschule,95.0,03157008,03157,595841.2041972674,5794757.555458749,address,13.530446221047232,True
abs_27637,Freie Schule Beuchte,grundschule,34.0,03158039,03158,604458.1642146338,5760658.170675501,address,3724.2858375203273,False
abs_33054,Grundschule Adenbüttel,grundschule,154.0,03151001,03151,599061.4539090311,5804721.026498438,address,16.794993809331068,True
abs_33121,Grundschule Ehmen-Mörse,grundschule,414.0,03103000,03103,616057.974205674,5806314.70179749,address,10.494787421612662,True
abs_33133,Grundschule Hasenwinkel,grundschule,220.0,03103000,03103,624700.6529762871,5799642.222882772,address,21.629789329940934,True
abs_33169,Friedrich-von-Schiller-Schule,grundschule,182.0,03103000,03103,622454.4527823741,5808918.1243949495,address,70.61429986437153,True
abs_33704,Grundschule Brome,grundschule,147.0,03151005,03151,631085.4996646179,5829388.810011341,address,31.414369997734358,True
abs_33728,Wilhelm-Busch-Schule,grundschule,220.0,03151009,03151,604418.6443929423,5818807.625863123,address,1175.52531243235,False
abs_33741,Freiherr-vom-Stein-Schule,sekundar_1,370.0,03151009,03151,605183.2748959017,5816223.909698849,address,16.21983465780011,True
abs_33777,Albert-Schweitzer-Schule,grundschule,355.0,03151009,03151,605643.5102237724,5815317.57015043,address,157.3009286725404,True
abs_33789,Astrid-Lindgren-Schule,grundschule,135.0,03151009,03151,599972.1263052035,5818997.671101282,address,20.86958199854758,True
abs_33807,Regenbogenschule Groß Oesingen,grundschule,184.0,03151010,03151,599193.9579633423,5833871.236790784,address,21.09258540030124,True
abs_33819,Karl-Soehle-Schule,grundschule,251.0,03151011,03151,608508.5996285671,5843214.434857284,address,14.567206584996631,True
abs_33856,Grundschule Leiferde,grundschule,248.0,03151015,03151,597343.8991916962,5810843.227298515,address,11.180936619236975,True
abs_33868,Grundschule am Zellberg,grundschule,334.0,03151016,03151,604949.3430318537,5804804.621018647,address,24.319328303465515,True
abs_33881,Grundschule Meinersen,grundschule,357.0,03151017,03151,592044.2250135042,5814062.751897785,address,1001.7103863485943,False
